Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
"Neftalí Feliz","PIT",53.2,0.70053476,,,,,0.03101604,0.24919786,,,,0.01925134,,,,"Neftali Feliz",18,491703
"Xavier Cedeño","TBR",41.1,0.72173913,,,,,0.0173913,,0.24927536,,,0.0115942,,,,"Xavier Cedeno",36,458584
"Bartolo Colon","NYM",191.2,0.25888146,,,,,0.63524446,0.0633134,,,,0.04256068,,,,"Bartolo Colon",375,112526
"CC Sabathia","NYY",179.2,0.35729023,,,,,0.35660248,0.2286795,,,,0.05742779,,,,"CC Sabathia",404,282332
"Fernando Rodney","- - -",65.1,0.09155556,,,,,0.48266667,,,,,0.42577778,,,,"Fernando Rodney",494,407845
"Jason Grilli","- - -",59,0.59363296,,,,,0.0252809,0.35674157,,,,0.02434457,,,,"Jason Grilli",521,276351
"Ryan Vogelsong","PIT",82.1,0.37219406,,,,,0.12092686,0.22230268,0.15568429,,,0.12889211,,,,"Ryan Vogelsong",1011,285064
"Jake Peavy","SFG",118.2,0.27096774,,0.33399504,,,0.17369727,0.00694789,0.14640199,,,0.06799007,,,,"Jake Peavy",1051,408241
"Marco Estrada","TOR",176,0.41340388,,0.19929453,,,,,0.1005291,,,0.28677249,,,,"Marco Estrada",1118,462136
"Tommy Hunter","- - -",34,0.25104603,,0.21129707,,,0.33472803,,0.19665272,,,0.00627615,,,,"Tommy Hunter",1157,488984
"R.A. Dickey","TOR",169.2,0.12682749,,,,,,,,,0.02704678,,,0.84612573,,"R.A. Dickey",1245,285079
"Matt Bush","TEX",61.2,0.67587673,,,,,0.0053135,0.13283741,0.18490967,,,0.0010627,,,,"Matt Bush",1246,456713
"Adam Ottavino","COL",27,0.02844639,,0.06126915,,,0.50547046,0.404814,,,,,,,,"Adam Ottavino",1247,493603
