Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,NameASCII,PlayerId,MLBAMID
"Ryan Buchter","SDP",63,136.0872081814204,136.72493412865967,99.53357006274933,51.4753998622317,148.18490371173982,148.87933400577637,63.5491291751967,77.74408414281456,76.36875309980906,105.65017744748724,70.67080427027346,75.25650554810619,104.75953276003307,101.12851641235632,45.596950455972205,172.0533050571883,"Ryan Buchter",9456,488748
"Neil Ramírez","- - -",24,111.00893444738719,216.30940702619347,45.09510191901329,254.79448692199554,106.13594003486644,206.7399592717181,97.875533192368,125.88347855596471,82.57006016741862,110.39281007233015,141.08137275360573,181.67373924727445,143.57036206861318,67.97416199733114,59.637383082848714,170.05966643047984,"Neil Ramirez",7677,519166
"Koji Uehara","BOS",47,150.52970344433746,69.47656230850261,216.6625695399789,125.37383044598356,163.6091028351943,75.51331783150054,78.35273603729468,72.41839303733542,87.42248774964176,110.57544805405786,78.22524935660923,83.51302322741255,80.36102681652953,100.03808341645606,48.31004083101925,164.52417047264797,"Koji Uehara",9227,493157
"Steve Geltz","TBR",26.2,96.85868360531573,100.18834796540229,96.6765962686217,303.83560307298103,98.12836182141938,101.50166757323504,92.72192292302692,93.6007609405322,64.28124099238363,124.76124901067536,140.1276618202259,192.98997976370558,127.84187274261139,99.37478066570357,48.67139317304598,164.45475122632013,"Steve Geltz",8402,544993
"A.J. Cole","WSN",38.1,111.82814525304236,101.47939691018166,110.19788112394755,148.0476746776481,108.93354545708111,98.85267636709708,97.36493901106958,100.25083165729185,95.1007114073094,92.65204198821617,121.66461177394847,114.34935656089593,122.19649091669791,62.95458416301551,70.55710173668496,162.51299088271884,"A.J. Cole",11467,595918
"Kenley Jansen","LAD",68.2,166.47562681018243,44.51161292062305,374.00492994953737,47.22743363549152,194.43118859770902,51.986268025998626,58.82142579365094,50.47850037246969,80.12844556010737,110.67608917982167,46.04684720302948,36.19117500240325,58.6709926519162,72.96274888076636,66.44127096814817,161.76696356923347,"Kenley Jansen",3096,445276
"Jim Henderson","NYM",35,125.61897965341385,111.14415615303388,113.02346784276259,162.14753312960562,121.09734086948727,107.14354566114903,100.7158225819347,105.49275719803475,102.26772154235302,113.89966459550618,111.71681937850306,118.79538674439797,114.92399042236063,96.78732016648456,56.49767921389124,160.1860273372288,"Jim Henderson",6653,449104
"Brian Ellington","MIA",33,106.58580303021799,134.72019194610297,79.11642749388962,49.13561707358213,105.74697345264961,133.65995691170673,87.09365948156703,98.18590150232468,93.33958712198887,114.4712269200751,62.13679054371758,90.317498620817,127.19033406636255,79.93110134192868,64.6993648856839,159.74455636216496,"Brian Ellington",17233,623395
"Nick Goody","NYY",29,131.66205426798808,122.83635918271433,107.18492196068468,177.79314039719975,126.92690332053085,118.4186134319061,102.80039280596462,109.54327315740862,104.50713192524744,115.12342036482978,109.24491308822877,119.53610344959378,111.47707133533322,104.26588344484145,50.89023619589824,158.8686523430102,"Nick Goody",13685,580792
"Grant Dayton","LAD",26.1,162.7879237772015,63.30997682122275,257.1283893551413,123.15005328058429,181.1963921507598,70.46923421511518,59.57233761229329,57.229356935917195,65.88676738022743,125.47235784505746,51.45924049952261,73.14316748501966,66.95065500864284,98.43087836366617,58.50174793451621,156.47933741021265,"Grant Dayton",11203,594795
