Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
"Xavier Cedeño","- - -",33.1,0.00339559,,0.68421053,,,,,0.31239389,,,,,,,"Xavier Cedeno",36,458584
"Bartolo Colon","TEX",146.1,0.16382406,,0.02782765,,,0.62342908,0.07360862,,,,0.11131059,,,,"Bartolo Colon",375,112526
"CC Sabathia","NYY",153,0.00998004,,0.43752495,,,0.14251497,0.30858283,,,,0.10139721,,,,"CC Sabathia",404,282332
"Fernando Rodney","- - -",64.1,0.22660944,,,,,0.47811159,0.00343348,,,,0.29184549,,,,"Fernando Rodney",494,407845
"Marco Estrada","TOR",143.2,0.49298597,,0.06052104,,,,,0.07655311,,,0.36993988,,,,"Marco Estrada",1118,462136
"Tommy Hunter","PHI",64,0.08568443,,0.44723093,,,0.33333333,,0.13375131,,,,,,,"Tommy Hunter",1157,488984
"Matt Bush","TEX",23,0.55421687,,0.12289157,,,0.08915663,,0.2313253,,,0.00240964,,,,"Matt Bush",1246,456713
"Adam Ottavino","COL",77.2,0.01888277,,0.09992132,,,0.41306058,0.46734854,,,,0.00078678,,,,"Adam Ottavino",1247,493603
"Oliver Pérez","CLE",32.1,0.12633833,,,,,0.38329764,0.49036403,,,,,,,,"Oliver Perez",1514,424144
"Sean Doolittle","WSN",45,0.88834951,,,0.07119741,,,0.04045307,,,,,,,,"Sean Doolittle",1581,448281
"Matt Belisle","- - -",34.1,0.46073298,,,,,0.08900524,0.36998255,0.07853403,,,0.0017452,,,,"Matt Belisle",1837,279571
"Edwin Jackson","OAK",92,0.18783784,,0.33716216,,,0.14527027,0.21148649,0.03716216,,,0.08108108,,,,"Edwin Jackson",1841,429719
"Ryan Madson","- - -",52.2,0.40816327,,0.03241297,,,0.21488595,,0.12605042,,,0.21848739,,,,"Ryan Madson",1852,425492
"Matt Moore","TEX",102,0.58524315,,0.09167132,,,,,,0.18837339,,0.13471213,,,,"Matt Moore",1890,519043
"Zack Greinke","ARI",207.2,0.43110973,,,,,0.05735661,0.17300499,0.10910224,,0.02462594,0.2048005,,,,"Zack Greinke",1943,425844
"Iván Nova","PIT",161,0.31526899,,,,,0.35522152,,0.21083861,,,0.11867089,,,,"Ivan Nova",1994,467100
"Clayton Kershaw","LAD",161.1,0.40720339,,,,,0.00254237,0.42118644,0.16440678,,,0.00466102,,,,"Clayton Kershaw",2036,477132
"Jorge De La Rosa","- - -",56,0.43316583,,0.12060302,0.40301508,,,,0.04321608,,,,,,,"Jorge De La Rosa",2047,407822
"Adam Wainwright","STL",40.1,0.09562842,,0.21038251,,,0.26775956,,0.3579235,,0.01092896,0.05737705,,,,"Adam Wainwright",2233,425794
"Blaine Boyer","KCR",21.2,0.31336406,,,,,0.1843318,0.41013825,0.08986175,,,0.00230415,,,,"Blaine Boyer",2237,430641
"Héctor Rondón","HOU",59,0.56186613,,,,,0.05476673,0.34077079,,,,0.04259635,,,,"Hector Rondon",2391,444468
"Corey Kluber","CLE",215,0.08875163,,0.29421326,,,0.32672302,,0.22464239,,,0.0656697,,,,"Corey Kluber",2429,446372
"Lance Lynn","- - -",156.2,0.44921609,,0.11554192,,,0.32481254,,0.09100204,,,0.0194274,,,,"Lance Lynn",2520,458681
"Jhoulys Chacín","MIL",192.2,0.13140386,,,0.0489022,,0.34564205,0.44810379,0.00465735,,,0.02129075,,,,"Jhoulys Chacin",2608,468504
"Brett Cecil","STL",32.2,0.17926186,,0.16344464,,,0.19683656,,,0.36731107,,0.09314587,,,,"Brett Cecil",2660,446399
"Rick Porcello","BOS",191.1,0.20096931,,,,,0.29725363,0.24426494,0.14022617,,,0.11728595,,,,"Rick Porcello",2717,519144
"Santiago Casilla","OAK",31.1,0.23246493,,,,,0.31863727,0.10220441,,0.28256513,,0.06412826,,,,"Santiago Casilla",2873,433586
"Luis Avilán","- - -",45.1,0.00364078,,,,,0.33980583,,0.17961165,,,0.47694175,,,,"Luis Avilan",2882,501593
"Zach McAllister","- - -",45,0.67227979,,,,,0.0880829,,0.2253886,,,0.0142487,,,,"Zach McAllister",2895,502083
"Kenley Jansen","LAD",71.2,,,0.83947368,,,0.10263158,0.05789474,,,,,,,,"Kenley Jansen",3096,445276
"Tony Watson","SFG",66,,,,,,0.50730689,0.19206681,,,,0.3006263,,,,"Tony Watson",3132,453265
"Max Scherzer","WSN",220.2,0.50143678,,0.09655172,,,,0.1658046,0.07873563,,,0.15747126,,,,"Max Scherzer",3137,453286
"Tim Collins","WSN",22.2,0.5309973,,,,,,0.18328841,0.16981132,,,0.11590296,,,,"Tim Collins",3164,525768
"David Price","BOS",176,0.13264554,,0.28187178,,,0.33419307,,,0.02910833,,0.22218128,,,,"David Price",3184,456034
"Will Harris","HOU",56.2,0.00338219,,0.62119504,,,,,0.37542277,,,,,,,"Will Harris",3192,501789
"Ervin Santana","MIN",24.2,0.30140187,,,,,0.17990654,0.31542056,,,,0.20327103,,,,"Ervin Santana",3200,429722
"Francisco Liriano","DET",133.2,0.03362832,,,,,0.43318584,0.32964602,0.00221239,,,0.20132743,,,,"Francisco Liriano",3201,434538
"T.J. McFarland","ARI",72,0.00186916,,0.00093458,,,0.72523364,0.13831776,,,,0.13364486,,,,"T.J. McFarland",3237,519008
"Zack Britton","- - -",40.2,0.02262443,,,,,0.90950226,0.0678733,,,,,,,,"Zack Britton",3240,502154
"Jeff Samardzija","SFG",44.2,0.15480649,,0.03870162,0.06367041,,0.443196,0.18726592,,0.11235955,,,,,,"Jeff Samardzija",3254,502188
"Joe Smith","HOU",45.2,0.33478894,,,,,0.31586608,0.34643377,,,,0.00291121,,,,"Joe Smith",3281,501925
"Aníbal Sánchez","ATL",136.2,0.32941176,,0.20188235,0.19011765,,0.07764706,0.04894118,0.09270588,,,0.05929412,,,,"Anibal Sanchez",3284,434671
"Chris Hatcher","OAK",36.1,0.29166667,,0.26697531,0.13580247,,0.20061728,0.10493827,,,,,,,,"Chris Hatcher",3299,501822
"Darren O'Day","BAL",20,0.35692308,,,,,0.16615385,0.47692308,,,,,,,,"Darren O'Day",3321,503285
"Danny Duffy","KCR",155,0.38126126,,,,,0.17585586,0.1618018,0.09513514,,,0.18594595,,,,"Danny Duffy",3542,518633
"Clay Buchholz","ARI",98.1,0.23836389,,0.24682652,,,0.17348378,,0.17207334,,,0.16925247,,,,"Clay Buchholz",3543,453329
"Liam Hendriks","OAK",24,0.52134831,,,,,0.17752809,0.26292135,0.01797753,,,0.02022472,,,,"Liam Hendriks",3548,521230
"Clayton Richard","SDP",158.2,0.1012605,,,,,0.5592437,0.28361345,,,,0.05588235,,,,"Clayton Richard",3551,453385
"Tony Barnette","TEX",26.1,0.28358209,,0.24626866,0.039801,,0.18656716,,0.24378109,,,,,,,"Tony Barnette",3555,501817
"Jim Johnson","LAA",63.1,0.09046214,,,,,0.59193707,,0.273353,,,0.04424779,,,,"Jim Johnson",3656,462382
"Zach Duke","- - -",52,0.02738226,,,,,0.46330778,0.15443593,0.22891566,,,0.12595838,,,,"Zach Duke",3840,435043
"Matt Magill","MIN",56.2,0.59086395,,,,,0.01886792,0.19265144,0.16087388,,,0.0367428,,,,"Matt Magill",3950,543483
"Yusmeiro Petit","OAK",93,0.4682479,,0.18821729,,,0.00765111,,0.14843152,,,0.18745218,,,,"Yusmeiro Petit",4020,433589
"Héctor Santiago","CHW",102,0.65084227,,,,,0.03369066,0.03726391,0.07401736,,,0.18529862,0.01888719,,,"Hector Santiago",4026,502327
"Brian Duensing","CHC",37.2,0.32311978,,,,,0.22005571,0.18245125,0.12534819,,,0.14902507,,,,"Brian Duensing",4064,488846
"Pedro Strop","CHC",59.2,0.141542,,0.30379747,0.01841197,,0.24165708,0.29459148,,,,,,,,"Pedro Strop",4070,467008
"Junichi Tazawa","- - -",28,0.57425743,,,,0.16633663,0.0039604,0.04356436,0.20990099,,,0.0019802,,,,"Junichi Tazawa",4079,547749
"Derek Holland","SFG",171.1,,,,,,0.56891799,0.21778084,,0.12508615,,0.08821502,,,,"Derek Holland",4141,502706
"Jake Arrieta","PHI",172.2,0.01703516,,,,,0.53751359,0.23631751,0.10293585,,,0.1061979,,,,"Jake Arrieta",4153,453562
"David Hernandez","CIN",64,0.13039014,,0.18685832,,,0.44969199,,0.19404517,,,0.03901437,,,,"David Hernandez",4259,456696
"Mark Melancon","SFG",39,0.14417178,,0.53834356,0.03374233,,,,,0.28374233,,,,,,"Mark Melancon",4264,453343
"Matt Albers","MIL",34.1,0.20238095,,,,,0.44642857,0.23809524,,,,0.11309524,,,,"Matt Albers",4300,458006
"Justin Wilson","CHC",54.2,0.75314618,,0.1500484,,,,0.09680542,,,,,,,,"Justin Wilson",4301,458677
"Tyler Chatwood","CHC",103.2,0.32579651,,0.25745118,,,0.26361768,,0.08581706,,,0.06731757,,,,"Tyler Chatwood",4338,543022
"Jeremy Hellickson","WSN",91.1,0.06836364,,0.10181818,,,0.34181818,,,0.232,,0.256,,,,"Jeremy Hellickson",4371,476451
"Jordan Zimmermann","DET",131.1,0.42981187,,,,,0.02170767,0.33236855,0.15967197,,,0.05643994,,,,"Jordan Zimmermann",4505,519455
"Jason Hammel","KCR",127,0.1280812,,,,,0.3881102,0.37699372,0.06573224,,,0.04108265,,,,"Jason Hammel",4538,434628
"Brandon McCarthy","ATL",78.2,0.00825083,,0.31518152,,,0.37046205,0.07013201,0.2359736,,,,,,,"Brandon McCarthy",4662,435221
"Charlie Morton","HOU",167,0.31087118,,0.06291884,0.06291884,,0.2706627,,0.29262844,,,,,,,"Charlie Morton",4676,450203
"Pat Neshek","PHI",24.1,,,,,,0.39459459,0.5972973,,,,0.00810811,,,,"Pat Neshek",4682,450212
"Nate Jones","CHW",30,,,,,,0.64660194,0.33203883,,,,0.02135922,,,,"Nate Jones",4696,518858
"Félix Hernández","SEA",155.2,0.10555121,,0.0039093,,,0.32369038,0.0398749,0.2853792,,,0.241595,,,,"Felix Hernandez",4772,433587
"Matt Shoemaker","LAA",31,0.1242485,,,0.27855711,,0.34669339,0.23446894,,0.01603206,,,,,,"Matt Shoemaker",4776,533167
"Rich Hill","LAD",132.2,0.55211804,,0.00428367,,,0.03664921,0.03998096,0.35840076,,0.00047596,0.00809139,,,,"Rich Hill",4806,448179
"Mike Montgomery","CHC",124,0.1867284,,0.07458848,,,0.32150206,,0.218107,,,0.19907407,,,,"Mike Montgomery",4869,543557
"Brandon Maurer","KCR",31.1,0.38438438,,,,,0.06606607,0.42492492,,,,0.12462462,,,,"Brandon Maurer",4878,543506
"Peter Moylan","ATL",28.1,,,,0.00194553,,0.57587549,0.36770428,,,,0.05447471,,,,"Peter Moylan",4891,493247
"Jon Lester","CHC",181.2,0.4546332,,0.2467825,,,0.04890605,,0.15733591,,,0.09234234,,,,"Jon Lester",4930,452657
"Fernando Salas","ARI",40,0.58974359,,,,,,,,0.15987934,,0.25037707,,,,"Fernando Salas",4971,477569
"Cole Hamels","- - -",190.2,0.30343699,,0.18199673,,,0.14697218,0.0487725,0.13126023,,,0.18756137,,,,"Cole Hamels",4972,430935
"Jake Diekman","- - -",53.1,0.46047431,,,,,0.17885375,0.36067194,,,,,,,,"Jake Diekman",5003,518617
"Josh Fields","LAD",41,0.72810219,,,,,,,,0.21167883,,0.06021898,,,,"Josh Fields",5070,451661
"Jeurys Familia","- - -",72,0.15701092,,,0.03106633,,0.52644836,0.28547439,,,,,,,,"Jeurys Familia",5114,544727
"Wade LeBlanc","SEA",162,0.0761359,,0.25624233,,,0.2783463,0.00081867,0.09005321,,,0.2984036,,,,"Wade LeBlanc",5221,453281
"Blake Parker","LAA",66.1,0.57391304,,0.00608696,0.30956522,,,,0.10782609,,,0.0026087,,,,"Blake Parker",5224,453284
"Wilmer Font","- - -",44,0.59378734,,,0.08004779,,0.06451613,0.09199522,0.16965352,,,,,,,"Wilmer Font",5257,521655
"Chris Tillman","BAL",26.2,0.3,,,,,0.16923077,0.23269231,,0.11538462,,0.18269231,,,,"Chris Tillman",5279,501957
"Jose Alvarez","LAA",63,0.36630754,,0.04211557,,,0.20274241,0.12438786,0.1194907,,,0.14495593,,,,"Jose Alvarez",5358,501625
"Brad Peacock","HOU",65,0.26539462,,,,,0.28013877,0.40242845,,0.04423244,,0.00780572,,,,"Brad Peacock",5401,502748
"Pedro Báez","LAD",56.1,0.39426142,,0.0010627,,,0.23273114,0.22210414,0.0010627,,,0.1487779,,,,"Pedro Baez",5420,520980
"Jesse Chavez","- - -",95.1,0.15842925,,0.36696005,,,0.26404875,0.12322275,0.02234259,,,0.06499661,,,,"Jesse Chavez",5448,445926
"Arodys Vizcaíno","ATL",38.1,0.09339775,,,,,0.57487923,0.29951691,,,,0.03220612,,,,"Arodys Vizcaino",5498,527055
"Madison Bumgarner","SFG",129.2,0.34261975,,0.35190616,,,0.00048876,,0.22776149,,,0.07722385,,,,"Madison Bumgarner",5524,518516
"Ryan Brasier","BOS",33.2,0.52263374,,,,,0.10288066,0.33744856,,,,0.03703704,,,,"Ryan Brasier",5615,518489
"Tyler Clippard","TOR",68.2,0.42981691,,,0.15954664,,,0.08631212,0.00959024,,,0.31473409,,,,"Tyler Clippard",5640,461325
"Junior Guerra","MIL",141,0.39319965,,,0.16172624,,0.29686138,0.12423714,0.02397559,,,,,,,"Junior Guerra",5702,448855
"Bruce Rondón","CHW",29.2,0.40163934,,,,,0.13770492,0.39180328,,,,0.06885246,,,,"Bruce Rondon",5766,541652
"Kelvin Herrera","- - -",44.1,0.41810345,,,,,0.22270115,0.18965517,,,,0.16954023,,,,"Kelvin Herrera",6033,516969
"Dellin Betances","NYY",66.2,0.47795414,,,,,,0.00705467,0.16666667,0.34744268,,0.00088183,,,,"Dellin Betances",6216,476454
"Trevor Cahill","OAK",110,0.03020134,,0.18736018,,,0.37975391,,,0.15715884,,0.24552573,,,,"Trevor Cahill",6249,502239
"Chris Archer","- - -",148.1,0.36396324,,,,,0.10547343,0.41669996,0.01478226,,,0.0990811,,,,"Chris Archer",6345,502042
"Jake Odorizzi","MIN",164.1,0.5407855,,0.0238335,0.17656932,,,0.20980195,0.04900973,,,,,,,"Jake Odorizzi",6397,543606
"Trevor May","MIN",25.1,0.58482143,,,,,0.00669643,0.10714286,0.19419643,,,0.10714286,,,,"Trevor May",6398,543507
"Steve Cishek","CHC",70.1,0.13050994,,,,,0.49092481,0.37424373,,,,0.00432152,,,,"Steve Cishek",6483,518553
"Blaine Hardy","DET",86,0.31967813,,0.33577176,,,0.01097293,,0.09217264,,,0.24140454,,,,"Blaine Hardy",6499,543278
"Alex Cobb","BAL",152.1,0.00082237,,,0.26480263,,0.51439145,,,0.21998355,,,,,,"Alex Cobb",6562,502171
"Robert Stock","SDP",39.2,0.51395731,,,,,0.07553366,0.37602627,,,,0.03448276,,,,"Robert Stock",6576,476594
"Brad Brach","- - -",62.2,0.52372735,,,,,0.05694564,0.17687662,,,,0.24245039,,,,"Brad Brach",6627,542960
"Carlos Carrasco","CLE",192,0.31289199,,,,,0.13310105,0.3174216,0.07317073,,,0.16341463,,,,"Carlos Carrasco",6632,471911
"Craig Kimbrel","BOS",62.1,0.64684685,,,,,,,,0.35225225,,0.0009009,,,,"Craig Kimbrel",6655,518886
"Alex Colomé","- - -",68,0.44792627,,0.55207373,,,,,,,,,,,,"Alex Colome",6661,517008
"Andrew Miller","CLE",34,0.42418773,,,,,0.00902527,0.566787,,,,,,,,"Andrew Miller",6785,453192
"Julio Teheran","ATL",175.2,0.42295316,,,,,0.19628173,0.21844834,0.06685735,,,0.09545942,,,,"Julio Teheran",6797,527054
"Sam Freeman","ATL",50.1,0.38036117,,,0.24492099,,0.22573363,,0.1489842,,,,,,,"Sam Freeman",6832,518693
"Johnny Cueto","SFG",53,0.26103405,,,,,0.20302648,0.25977301,0.02017654,,,0.25598991,,,,"Johnny Cueto",6893,456501
"Chase Anderson","MIL",158,0.40846154,,0.10038462,,,0.12423077,,0.17923077,,,0.18769231,,,,"Chase Anderson",6895,502624
"Martín Pérez","TEX",85.1,0.16393443,,,,,0.50605845,0.06414825,0.09052031,,,0.17533856,,,,"Martin Perez",6902,527048
"Joakim Soria","- - -",60.2,0.65100671,,,,,0.00862895,0.11313519,0.07670182,,,0.15052733,,,,"Joakim Soria",6941,465657
"Luis García","PHI",46,0.15485564,,,0.12204724,,0.32939633,0.39370079,,,,,,,,"Luis Garcia",6984,472610
"Ian Kennedy","KCR",119.2,0.57400195,,0.10272639,,,0.01168452,0.01460565,,0.19425511,,0.10272639,,,,"Ian Kennedy",6986,453178
"Ryan Pressly","- - -",71,0.41230487,,,,,0.03397612,0.27272727,0.28099174,,,,,,,"Ryan Pressly",7005,519151
"James Shields","CHW",204.2,0.25606061,,0.23181818,,,0.11090909,,,0.19060606,0.03454545,0.17606061,,,,"James Shields",7059,448306
"Daniel Hudson","LAD",46,0.52867133,,,,,0.01538462,0.40979021,,,,0.04615385,,,,"Daniel Hudson",7146,543339
"Jonny Venters","- - -",34.1,0.03409091,,,,,0.71590909,0.22537879,0.00189394,,,0.02272727,,,,"Jonny Venters",7175,458924
"Greg Holland","- - -",46.1,0.43542435,,,,,,0.45510455,0.10824108,,,0.00123001,,,,"Greg Holland",7196,518813
"Craig Stammen","SDP",79,0.00089286,,0.20625,,,0.68214286,,,0.11071429,,,,,,"Craig Stammen",7274,489334
"Brad Ziegler","- - -",73.2,0.00093721,,,,,0.73102156,,0.1846298,,,0.08341143,,,,"Brad Ziegler",7293,446899
"Dan Otero","CLE",58.2,0.12360802,,,,,0.67371938,0.07572383,,,,0.12694878,,,,"Dan Otero",7385,519096
"Javy Guerra","MIA",35.2,0.51365188,,,,,,0.27133106,0.16040956,,,0.05460751,,,,"Javy Guerra",7407,457915
"J.A. Happ","- - -",177.2,0.59265333,,,,,0.14070187,0.12725484,0.0167268,,,0.12266317,,,,"J.A. Happ",7410,457918
"Wade Davis","COL",65.1,0.47197107,,0.28933092,,,0.02169982,,,0.21609403,,0.00090416,,,,"Wade Davis",7441,451584
"Gio Gonzalez","- - -",171,0.29310345,,,,,0.27088859,,0.20689655,,,0.22911141,,,,"Gio Gonzalez",7448,461829
"Phil Hughes","- - -",32.2,0.55516014,,0.16192171,,,0.10142349,,,0.17615658,,0.00533808,,,,"Phil Hughes",7450,461833
"Anthony Swarzak","NYM",26.1,0.5307377,,,,,0.00409836,0.46516393,,,,,,,,"Anthony Swarzak",7466,461872
"Collin McHugh","HOU",72.1,0.48089701,,0.08056478,,,0.01245847,0.23920266,0.1769103,0.00415282,,0.00581395,,,,"Collin McHugh",7531,543521
"Jake McGee","COL",51.1,0.86263097,,,,,,0.13736903,,,,,,,,"Jake McGee",7550,459429
"Nick Vincent","SEA",56.1,0.47387606,,0.47023086,,,0.01701094,0.00121507,,,,0.03766707,,,,"Nick Vincent",7555,543883
"Jordan Lyles","- - -",87.2,0.34357143,,,,,0.14071429,0.09571429,0.28785714,,,0.13214286,,,,"Jordan Lyles",7593,543475
"Tommy Milone","WSN",26.1,0.5861244,,,,,,0.11961722,0.04066986,,,0.25358852,,,,"Tommy Milone",7608,543548
"Neil Ramírez","CLE",41.2,0.3368984,,,,,0.23663102,0.42647059,,,,,,,,"Neil Ramirez",7677,519166
"Juan Nicasio","SEA",42,0.58562092,,,,,0.10457516,0.28496732,,,,0.0248366,,,,"Juan Nicasio",7731,504379
"Wily Peralta","KCR",34.1,0.49251248,,,,,0.00166389,0.37603993,0.01663894,,,0.11314476,,,,"Wily Peralta",7738,503449
"Mike Fiers","- - -",172,0.38317055,,,,,0.10217881,0.17355372,0.15815177,,,0.18294515,,,,"Mike Fiers",7754,571666
"Shawn Kelley","- - -",49,0.52209945,,,,,,0.47790055,,,,,,,,"Shawn Kelley",7773,518875
"Richard Bleier","BAL",32.2,0.02660754,,0.24833703,,,0.59866962,0.08203991,,,,0.0443459,,,,"Richard Bleier",7803,542947
"Hunter Strickland","SFG",45.1,0.54591195,,,,,0.10440252,0.23396226,,,,0.11572327,,,,"Hunter Strickland",7836,519326
"Jerry Blevins","NYM",42.2,0.51732991,,,,,,,0.39794608,,,0.08472401,,,,"Jerry Blevins",7841,460283
