Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Steven Wright","BOS",53.2,85.13333242910879,,,,,82.53428780691964,,67.30232558139535,,,,,75.93129563630042,"Steven Wright",8185,453214
"Xavier Cedeño","- - -",33.1,86.5,,86.5697260778536,,,,,78.17554374363111,,,,,,"Xavier Cedeno",36,458584
"Bartolo Colon","TEX",146.1,89.32000214041096,,85.53386626705047,,,86.85824341083963,80.47134380805784,,,,80.77984028477823,,,"Bartolo Colon",375,112526
"CC Sabathia","NYY",153,90.167998046875,,89.08713503649635,,,90.11344537815125,80.01513482373868,,,,83.36614173228347,,,"CC Sabathia",404,282332
"Fernando Rodney","- - -",64.1,94.71742757161458,,,,,93.84021543985638,86.44999694824219,,,,82.76000114889706,,,"Fernando Rodney",494,407845
"Marco Estrada","TOR",143.2,88.55130208333334,,84.93244903766556,,,,,76.6020942408377,,,76.77280268147345,,,"Marco Estrada",1118,462136
"Tommy Hunter","PHI",64,96.17804997141768,,93.34672532126169,,,95.7003147041536,,84.4203109741211,,,,,,"Tommy Hunter",1157,488984
"Matt Bush","TEX",23,96.23304177989131,,91.77647250306373,,,95.96756888724663,,80.08229573567708,,,83.9000015258789,,,"Matt Bush",1246,456713
"Adam Ottavino","COL",77.2,94.12917073567708,,87.08661417322834,,,93.78799851190476,81.37087673611111,,,,86.5999984741211,,,"Adam Ottavino",1247,493603
"Oliver Pérez","CLE",32.1,91.1864406779661,,,,,91.82011609636872,78.79301139465065,,,,,,,"Oliver Perez",1514,424144
"Sean Doolittle","WSN",45,93.79143897996357,,,85.03181596235795,,,81.6639990234375,,,,,,,"Sean Doolittle",1581,448281
"Matt Belisle","- - -",34.1,90.32310717033617,,,,,91.35490387561275,85.51509526090801,73.46666666666667,,,85.19999694824219,,,"Matt Belisle",1837,279571
"Edwin Jackson","OAK",92,93.3431668727518,,91.18256826152304,,,92.91395348837209,86.24312974241214,78.7090909090909,,,87.150830078125,,,"Edwin Jackson",1841,429719
"Ryan Madson","- - -",52.2,95.88617446001838,,93.54074209707754,,,95.47318544867318,,83.02190464564733,,,84.78736424708104,,,"Ryan Madson",1852,425492
"Matt Moore","TEX",102,92.34230987344795,,89.72012254668445,,,,,,80.49347123052671,,83.50332274377594,,,"Matt Moore",1890,519043
"Zack Greinke","ARI",207.2,89.50426495842372,,,,,90.03804347826087,83.36000140765766,71.24114397321429,,66.98860883109177,86.53440116057838,,,"Zack Greinke",1943,425844
"Iván Nova","PIT",161,93.03801364491845,,,,,92.6837416481069,,80.55684949577861,,,86.47699869791667,,,"Ivan Nova",1994,467100
"Clayton Kershaw","LAD",161.1,90.81789802289282,,,,,91.09999593098958,88.10181400905432,72.92912371134021,,,84.77272727272727,,,"Clayton Kershaw",2036,477132
"Jorge De La Rosa","- - -",56,92.3218124637471,,85.83833414713541,83.57481053226309,,,,75.18837436409883,,,,,,"Jorge De La Rosa",2047,407822
"Adam Wainwright","STL",40.1,89.45428292410715,,83.92207792207792,,,89.53061224489795,,73.62060919608778,,63.75,81.04523577008929,,,"Adam Wainwright",2233,425794
"Blaine Boyer","KCR",21.2,92.46691176470588,,,,,92.72249755859374,87.32134941186797,76.25897686298077,,,85,,,"Blaine Boyer",2237,430641
"Héctor Rondón","HOU",59,97.17978621389892,,,,,97.03703703703704,86.68690708705357,,,,91.52380952380952,,,"Hector Rondon",2391,444468
"Corey Kluber","CLE",215,91.96043669871794,,88.51425241712707,,,91.95601679104477,,83.78437047756874,,,85.16485535272277,,,"Corey Kluber",2429,446372
"Lance Lynn","- - -",156.2,93.72018001944234,,87.39115109063883,,,92.33798643674581,,80.02996437558521,,,85.3350894325658,,,"Lance Lynn",2520,458681
"Jhoulys Chacín","MIL",192.2,89.8767108386076,,,86.13945578231292,,90.16073147256978,79.33905206013362,73.27143205915179,,,82.7109375,,,"Jhoulys Chacin",2608,468504
"Brett Cecil","STL",32.2,89.91372740502452,,85.94946551579301,,,89.72767857142857,,,81.33301248504785,,82.87358122051887,,,"Brett Cecil",2660,446399
"Rick Porcello","BOS",191.1,91.29758465635048,,,,,89.75282778532609,85.98399264219577,74.75184511808756,,,81.43112947658402,,,"Rick Porcello",2717,519144
"Santiago Casilla","OAK",31.1,93.19913456357759,,,,,92.72704156839623,88.80392156862744,,79.70425393395391,,85.7593765258789,,,"Santiago Casilla",2873,433586
"Luis Avilán","- - -",45.1,90.43332926432292,,,,,90.49178815569196,,70.85202851166596,,,81.90330913048665,,,"Luis Avilan",2882,501593
