Name,Team,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA,NameASCII,PlayerId,MLBAMID
"Sean Doolittle","WSN",45,95,84.3752677671371,101.5,108.6,21.870967741935484,5,0.05263158,23,0.24210526,1.6,1.7550217545486955,"Sean Doolittle",1581,448281
"José Leclerc","TEX",57.2,110,85.41037735849056,102.3,113.1,23.245283018867923,4,0.03636364,22,0.2,1.5606937104459426,1.8277273254250195,"Jose Leclerc",14524,600917
"Edwin Díaz","SEA",73.1,133,87.82405721334587,103.1,112.6,11.864661654135338,5,0.03759398,47,0.35338346,1.9636367041217984,1.922198170357795,"Edwin Diaz",14710,621242
"Oliver Pérez","CLE",32.1,68,86.15146771599265,103.1,107.8,12.838235294117647,4,0.05882353,16,0.23529412,1.3917537814497483,1.924127601583786,"Oliver Perez",1514,424144
"Tony Cingrani","LAD",22.2,50,89.81904529389881,107.8,111.1,11.642857142857142,2,0.04,17,0.34,4.764707619756784,2.026984676191311,"Tony Cingrani",12555,571561
"Will Smith","SFG",53,124,88.3831899947479,103,109.9,16.092436974789916,5,0.04032258,39,0.31451613,2.547170544655435,2.0277724883289086,"Will Smith",8048,519293
"Adam Ottavino","COL",77.2,155,85.76622645902317,102.7,112.6,12.821192052980132,6,0.03870968,46,0.29677419,2.43347695262528,2.190541661761135,"Adam Ottavino",1247,493603
"Blake Treinen","OAK",80.1,193,87.01336898395722,103.9,113.2,6.588235294117647,4,0.02072539,54,0.27979275,0.7842324147984937,2.2094016893209067,"Blake Treinen",12572,595014
"Josh Hader","MIL",81.1,132,87.51171875,104.2,113.9,20.3828125,14,0.10606061,43,0.32575758,2.4344263817475356,2.2153930166629743,"Josh Hader",14212,623352
"Chris Sale","BOS",158,332,85.5760760161043,103.2,116.4,12.401840490797547,25,0.0753012,89,0.26807229,2.107594936708861,2.2494591691921806,"Chris Sale",10603,519242
"José Castillo","SDP",38.1,83,87.36097680068598,102.7,109.7,18.71951219512195,4,0.04819277,25,0.30120482,3.286956957869416,2.2549010733846804,"Jose Castillo",17169,620454
"Dellin Betances","NYY",66.2,126,85.84715605945122,102.9,110.6,11.601626016260163,5,0.03968254,35,0.27777778,2.7000004119873675,2.3260749982074715,"Dellin Betances",6216,476454
"Justin Verlander","HOU",214,498,88.51326530612245,104,115.7,22.048979591836734,31,0.062249,163,0.32730924,2.5233643060584874,2.3361076981857343,"Justin Verlander",8700,434378
"Aroldis Chapman","NYY",51.1,84,88.7202380952381,104.3,110.4,12.023809523809524,4,0.04761905,27,0.32142857,2.454545880152248,2.4077971294996874,"Aroldis Chapman",10233,547973
"Jacob deGrom","NYM",217,515,86.32608695652173,102.3,112.9,11.181818181818182,21,0.0407767,149,0.28932039,1.7004608294930876,2.4432971816094478,"Jacob deGrom",10954,594798
"Ryan Pressly","- - -",71,166,88.20949119857595,105.7,112.9,6.310126582278481,7,0.04216867,61,0.36746988,2.53521174434829,2.4609249856485453,"Ryan Pressly",7005,519151
"Shawn Kelley","- - -",49,128,86.66111149863592,102.7,111.5,22.626984126984127,10,0.078125,41,0.3203125,2.938776654137068,2.4757850665576466,"Shawn Kelley",7773,518875
"Darren O'Day","BAL",20,49,85.2374979654948,102.5,107.8,22.9375,3,0.06122449,13,0.26530612,3.6,2.477055910486215,"Darren O'Day",3321,503285
"Wade Davis","COL",65.1,155,87.79220779220779,103.5,110.1,12.987012987012987,7,0.04516129,50,0.32258065,4.132653382955542,2.534163288057309,"Wade Davis",7441,451584
