Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Nick Vincent","SEA",-0.2615520879626274,-5.065568160265684,4.804016008973122,-6.834900438785553,-0.6949239671230316,1.2228998842318195,1.1692554155985515,1.32554510524196,1.3577555727075648,54,-0.1965278685092926,-0.017350709234563166,18,18,"Nick Vincent",7555,543883
"Heath Hembree","BOS",-0.41335588693618774,-5.1978020668029785,4.7844462394714355,-2.3959999084472656,-0.18390724062919617,1.0971366167068481,1.0113086700439453,1.2525910139083862,1.3472561836242676,57,-0.068764328956604,-0.30799448178923705,16,17,"Heath Hembree",11632,592390
"Noé Ramirez","LAA",-1.368750050663948,-5.181176155805588,3.8124260902404785,-6.039200186729431,-0.5998128205537796,0.6756826840609395,0.6704477568467458,0.7759217231169991,0.6514701968745181,57,-0.0592074990272522,-1.966521564262612,12,16,"Noe Ramirez",12800,598287
"Yusmeiro Petit","OAK",0.9406339526176453,-6.693406105041504,7.634039878845215,12.582999229431152,1.2412939071655273,1.0946030616760254,1.060455083847046,1.2162460088729858,1.2536516189575195,62,1.0671167373657227,-0.20777878596499022,23,15,"Yusmeiro Petit",4020,433589
"Jake Diekman","- - -",0.003363966941833496,-5.413611888885498,5.416975975036621,-4.576000213623047,-0.33100995421409607,1.2285497472399758,0.9783506339246576,1.2783549436381165,1.5305535452706474,56,-0.47337980568408966,0.4761179666331199,17,15,"Jake Diekman",5003,518617
"Steve Cishek","CHC",1.199294090270996,-5.791128158569336,6.990421772003174,10.715999603271484,1.160444974899292,1.3190932273864746,1.137222409248352,1.4999024868011475,1.4743914604187012,70,0.9118626117706299,-0.0026819220576193015,24,15,"Steve Cishek",6483,518553
"Brad Brach","- - -",-0.5982219874858856,-8.681711912155151,8.08348798751831,-4.472999930381775,-0.45998115092515945,1.684076090718879,1.2035928853352864,1.3891565074091372,1.6374702518050734,37,-0.6557628437876701,0.3005401844418424,23,15,"Brad Brach",6627,542960
"Ryan Pressly","- - -",0.834709957242012,-5.71043598651886,6.545146226882935,11.012999773025513,1.1749540269374847,1.2163773370020599,0.9586117674003948,1.3316935409199109,1.161884864171346,66,0.8625317364931107,-0.17630556978461465,20,15,"Ryan Pressly",7005,519151
"Andrew Chafin","ARI",-0.8783900737762451,-4.6953558921813965,3.8169658184051514,2.2070000171661377,0.26906365156173706,1.161109447479248,0.9829665422439575,1.2834259271621704,1.5120999813079834,64,0.3468008041381836,-1.1033100855700222,13,15,"Andrew Chafin",12988,605177
"Trevor Hildenberger","MIN",-1.9846460819244385,-9.363085746765137,7.378439903259277,-17.045000076293945,-1.6889843940734863,1.5194978713989258,1.2062227725982666,1.259356141090393,1.3654754161834717,53,-0.09916713833808899,-1.2069525471717524,22,15,"Trevor Hildenberger",17002,657610
