Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
"Steven Wright","BOS",53.2,-4.420754609284578,,,,,-7.847556631905692,,-0.09685179244640262,,,,,-0.6174432916336166,"Steven Wright",8185,453214
"Xavier Cedeño","- - -",33.1,1.7097590267658234,,-3.8103642996132523,,,,,-4.761698515518852,,,,,,"Xavier Cedeno",36,458584
"Bartolo Colon","TEX",146.1,-4.786176603134364,,-0.6207197087426339,,,-9.779325832644325,1.712759273808177,,,,-7.888068799049623,,,"Bartolo Colon",375,112526
"CC Sabathia","NYY",153,4.877775573730469,,0.04698442890696282,,,8.474677077862395,-5.908177858182406,,,,5.823922224870817,,,"CC Sabathia",404,282332
"Fernando Rodney","- - -",64.1,-4.369982863917495,,,,,-8.124354364199956,0.8597909808158875,,,,-9.173104678883272,,,"Fernando Rodney",494,407845
"Marco Estrada","TOR",143.2,-2.556707714049797,,2.2062966049901696,,,,,2.6452595176497056,,,-5.825736495293879,,,"Marco Estrada",1118,462136
"Tommy Hunter","PHI",64,-4.498211744354992,,0.616329941794137,,,-10.49344340835619,,5.143596649169922,,,,,,"Tommy Hunter",1157,488984
"Matt Bush","TEX",23,-2.5453496518342393,,2.282286700080423,,,-7.268596752269848,,5.750070571899414,,,-10.026346206665039,,,"Matt Bush",1246,456713
"Adam Ottavino","COL",77.2,-5.006721496582031,,2.55026725708969,,,-8.262306547619048,8.404718572443182,,,,-9.037622451782227,,,"Adam Ottavino",1247,493603
"Oliver Pérez","CLE",32.1,7.540090787208687,,,,,10.712319144989525,-3.905411233027429,,,,,,,"Oliver Perez",1514,424144
"Sean Doolittle","WSN",45,2.4533502408498404,,,8.63576230135831,,,-3.595155944824219,,,,,,,"Sean Doolittle",1581,448281
"Matt Belisle","- - -",34.1,-4.977126728404652,,,,,-10.606356751685048,0.9877004623413086,6.5531736585828995,,,-6.412675857543945,,,"Matt Belisle",1837,279571
"Edwin Jackson","OAK",92,-4.464279943232913,,-0.6197205201418462,,,-8.167163653706396,0.544651360557483,2.7338334517045455,,,-9.668767293294271,,,"Edwin Jackson",1841,429719
"Ryan Madson","- - -",52.2,-7.885528968362247,,-1.9759635925292969,,,-9.876267246693873,,1.8299068269275485,,,-8.485277280702697,,,"Ryan Madson",1852,425492
"Matt Moore","TEX",102,6.886265445916905,,0.940954161853325,,,,,,-3.0200488715921736,,9.44838325215573,,,"Matt Moore",1890,519043
"Zack Greinke","ARI",207.2,-1.0258059112041304,,,,,-6.834533027980639,3.458756290470158,6.250871233258929,,6.619344590585443,-6.944745439735541,,,"Zack Greinke",1943,425844
"Iván Nova","PIT",161,-8.473679373823714,,,,,-10.685643661261135,,0.7775879478812442,,,-10.170109049479167,,,"Ivan Nova",1994,467100
"Clayton Kershaw","LAD",161.1,-0.0017897973571682076,,,,,4.888423919677734,-2.0116647148516096,-1.3504621368093588,,,5.628433921120384,,,"Clayton Kershaw",2036,477132
"Jorge De La Rosa","- - -",56,8.058839306753915,,1.173579788208008,7.2979164028405545,,,,-5.522332302359647,,,,,,"Jorge De La Rosa",2047,407822
"Adam Wainwright","STL",40.1,-2.961456298828125,,2.822308428875812,,,-8.425050073740433,,10.313780340529581,,9.143745422363281,-9.627883911132812,,,"Adam Wainwright",2233,425794
"Blaine Boyer","KCR",21.2,-4.443943248075597,,,,,-8.645173645019531,1.5232513084840238,3.715419671474359,,,-7.457294464111328,,,"Blaine Boyer",2237,430641
"Héctor Rondón","HOU",59,-5.312761327419901,,,,,-9.248569629810474,2.7020372663225447,,,,-9.89691888718378,,,"Hector Rondon",2391,444468
