Name,Team,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA,NameASCII,PlayerId,MLBAMID
"Jacob deGrom","NYM",92,166,87.71024331701807,103.8,112,13.686746987951807,11,0.06626506,61,0.36746988,1.076086956521739,1.559675741703257,"Jacob deGrom",10954,594798
"Art Warren","CIN",21,39,85.7486473289696,103.1,105.8,19.91891891891892,1,0.02564103,11,0.28205128,1.285714519267222,1.7047551590840253,"Art Warren",18251,605521
"Liam Hendriks","CHW",71,146,89.80921708776596,104.5,113.8,19.46099290780142,14,0.09589041,57,0.39041096,2.535211540029987,2.0059166266871693,"Liam Hendriks",3548,521230
"Corbin Burnes","MIL",167,383,85.4920424403183,103.1,114.2,8.36870026525199,12,0.03133159,117,0.30548303,2.4251497005988023,2.0437942929727053,"Corbin Burnes",19361,669203
"Josh Hader","MIL",58.2,96,87.45591292842742,103.4,115.1,22.010752688172044,6,0.0625,29,0.30208333,1.2272727804735695,2.1844553113285667,"Josh Hader",14212,623352
"Jimmy Nelson","LAD",29,55,84.5166648582176,100.9,110.2,20.72222222222222,2,0.03636364,17,0.30909091,1.8620692104562182,2.1956842654760744,"Jimmy Nelson",10547,519076
"Jonathan Loáisiga","NYY",70.2,195,84.02512986747382,104.2,113.5,1.5392670157068062,6,0.03076923,47,0.24102564,2.1650946512898357,2.2079699554855914,"Jonathan Loaisiga",19753,642528
"Emmanuel Clase","CLE",69.2,189,86.44148936170212,101.6,109.3,-0.2393617021276596,3,0.01587302,56,0.2962963,1.291866075866775,2.213897147598835,"Emmanuel Clase",21032,661403
"Collin McHugh","TBR",64,159,86.72884897085336,103.5,110,15.538461538461538,4,0.02515723,47,0.29559748,1.5468751152511773,2.29282044485934,"Collin McHugh",7531,543521
"Craig Kimbrel","- - -",59.2,109,90.51852303964121,104.2,114.3,19.63888888888889,7,0.06422018,43,0.39449541,2.2625700011651877,2.4281340869279746,"Craig Kimbrel",6655,518886
"Austin Warren","LAA",20.1,58,88.14482590247844,104.3,107.7,9.913793103448276,3,0.05172414,23,0.39655172,1.7704920800775121,2.440324451410445,"Austin Warren",24937,681810
"Casey Sadler","SEA",40.1,97,85.40721649484536,102.7,109.7,3.4742268041237114,3,0.03092784,30,0.30927835,0.6694216353345964,2.4674244070583136,"Casey Sadler",11209,594987
"Raisel Iglesias","LAA",70,157,86.16709929435484,103.2,112.5,13.87741935483871,14,0.08917197,53,0.33757962,2.5714288516920747,2.4812489314778605,"Raisel Iglesias",17130,628452
"Taylor Rogers","MIN",40.1,99,87.73646036783855,104.6,115.4,5.84375,7,0.07070707,36,0.36363636,3.347107860105891,2.493102174776153,"Taylor Rogers",13449,573124
"David Bednar","PIT",60.2,140,87.24214564732142,102.3,111.3,15.414285714285715,8,0.05714286,44,0.31428571,2.225274958482151,2.5125750506575706,"David Bednar",19569,670280
"Ryan Pressly","HOU",64,156,90.20903477822581,105.3,115,6.554838709677419,10,0.06410256,63,0.40384615,2.2500001341104587,2.5226291686172533,"Ryan Pressly",7005,519151
"Lucas Sims","CIN",47,97,86.47052837171053,103.6,112.2,20.347368421052632,6,0.06185567,34,0.35051546,4.404256034080998,2.5418464967299403,"Lucas Sims",13470,608371
"Blake Treinen","LAD",72.1,173,83.25057912427326,102.9,112.1,10.38953488372093,4,0.02312139,47,0.2716763,1.9907837601031044,2.5754800239736433,"Blake Treinen",12572,595014
"Ryan Tepera","- - -",61.1,143,87.33857073102679,103,114.8,14.735714285714286,12,0.08391608,50,0.34965035,2.7880440562795674,2.5846341704091516,"Ryan Tepera",10291,572193
"Aaron Bummer","CHW",56.1,134,88.15384615384616,106,110.6,-10.861538461538462,3,0.02238806,55,0.41044776,3.514793692773603,2.5938475924560174,"Aaron Bummer",16258,607481
"Jordan Romano","TOR",63,142,89.05177166445036,105.7,120,12.23404255319149,13,0.0915493,48,0.33802817,2.1428572726087585,2.620087606132076,"Jordan Romano",16122,605447
"Edwin Díaz","NYM",62.2,136,87.62954249526516,103.5,110.6,17.143939393939394,7,0.05147059,36,0.26470588,3.4468088603333067,2.6568053025859637,"Edwin Diaz",14710,621242
"Ranger Suárez","PHI",106,273,86.71578727091165,103.6,115.8,4.417293233082707,7,0.02564103,85,0.31135531,1.3584906638156722,2.6569156522305404,"Ranger Suarez",17277,624133
"Dietrich Enns","TBR",22.1,57,85.41754043311404,103.9,110.2,23.43859649122807,1,0.01754386,19,0.33333333,2.820895682997956,2.6725487747107133,"Dietrich Enns",13932,608650
"Carlos Rodón","CHW",132.2,305,89.18033203125,105.4,114.6,18.656666666666666,20,0.06557377,110,0.36065574,2.3743717682662364,2.6834584861546276,"Carlos Rodon",16137,607074
"Matt Wisler","- - -",48.2,121,86.78595122029958,103.6,110,23.950413223140497,7,0.05785124,31,0.25619835,3.698631055047937,2.6922496845565367,"Matt Wisler",12804,605538
"Freddy Peralta","MIL",144.1,318,86.58942560049204,102.7,112.1,21.41346153846154,19,0.05974843,101,0.31761006,2.806004717820402,2.700376808704234,"Freddy Peralta",18679,642547
"Matt Barnes","BOS",54.2,116,89.82069133890086,105.7,115,17.982758620689655,11,0.09482759,48,0.4137931,3.7865858062401987,2.7166605023423696,"Matt Barnes",12863,598264
"Tyler Glasnow","TBR",88,190,91.54973751653439,105.6,113.9,12.97883597883598,17,0.08947368,89,0.46842105,2.659090909090909,2.7308615242003853,"Tyler Glasnow",14374,607192
"Lance Lynn","CHW",157,418,87.66934280778895,103.1,114.6,15.949748743718592,24,0.05741627,145,0.34688995,2.694267515923567,2.772471588540864,"Lance Lynn",2520,458681
"Héctor Santiago","SEA",26.1,76,88.10131434390419,102.1,111,12.236842105263158,2,0.02631579,29,0.38157895,3.4177216840199187,2.780298393901594,"Hector Santiago",4026,502327
"Corey Knebel","LAD",25.2,62,90.12622870773565,104.2,118.4,12.229508196721312,3,0.0483871,17,0.27419355,2.454545880152248,2.7873119045098287,"Corey Knebel",15010,608349
