Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Adam Ottavino","BOS",62,1.9838769896691588,,-8.030597787154347,-6.714347004890442,,-0.8575286562480624,-0.23075635850864606,2.1690143272280693,,,-0.2608215926509155,,,"Adam Ottavino",1247,493603
"Sean Doolittle","- - -",49.2,-0.5898969985069112,,,-0.6823976834615071,,,-0.25515653649154973,-0.028147452916854467,,,,,,"Sean Doolittle",1581,448281
"Matt Moore","PHI",73,-0.9744673887031741,,-2.34195401794032,,,,,,-0.9836180135607719,,-0.9519616026937225,,,"Matt Moore",1890,519043
"Zack Greinke","HOU",171,0.2987697857301592,,-4.312530864368785,,,-2.2752112190195377,0.06763924429726108,0.19119019262598588,-11.125115553538006,4.5048195868730545,1.6675352421711955,,,"Zack Greinke",1943,425844
"Clayton Kershaw","LAD",121.2,-0.3146522375474493,,,,,,2.0217724335499296,0.02548910759307526,,,-0.8279145441272041,,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",206.1,-1.5385771276161424,,0.39278775094503376,,,2.0848827870392164,,1.4192773568584192,-4.866102066907016,,0.383299375191713,,,"Adam Wainwright",2233,425794
"Corey Kluber","NYY",80,0.6081912361207555,,0.6706429051828908,,,-2.576876821972075,,1.4360665668361363,,,2.1109061396640283,,,"Corey Kluber",2429,446372
"Lance Lynn","CHW",157,1.8703422253511688,,0.8567988102442227,,,0.12691919215934308,-23.172447085380554,-2.5551398058195374,,,-0.42063051036426,,,"Lance Lynn",2520,458681
"Jhoulys Chacín","COL",64.1,1.5542317926883698,,,,,-0.46257431956305023,3.1507498774483307,-1.0448827584584552,,,-0.10552154137538029,,,"Jhoulys Chacin",2608,468504
"Ross Detwiler","- - -",52.1,-0.488152456441987,,0.31996424045037786,,,0.10298680175434459,,-3.2268048222385235,,,-2.61619073840288,,,"Ross Detwiler",2859,446321
"Kenley Jansen","LAD",69,,,1.8279014975543244,,,1.4785622001124634,2.5452891263094815,,,,,,,"Kenley Jansen",3096,445276
"Tony Watson","- - -",57.1,0.8979400182099936,,,,,1.1509711020871214,2.5684661272039824,,,,2.278266309036149,,,"Tony Watson",3132,453265
"Max Scherzer","- - -",179.1,1.5397270853430465,,-0.14121667905287308,,,,2.6438291325713648,-0.03050444782644078,,,1.4159424492738126,,,"Max Scherzer",3137,453286
"David Price","LAD",73.2,1.461476860222993,,-0.031734164021596185,,,-0.3822086259649305,,,-0.3325742223988409,,-1.794209328748412,,,"David Price",3184,456034
"Ervin Santana","KCR",65.1,-1.68099846372027,,,,,5.960346385836601,1.9286984550780144,,,,-9.44527336529323,,,"Ervin Santana",3200,429722
"T.J. McFarland","STL",38.2,,,0,,,2.8270653510025765,-5.680861359550839,,,,2.076083320682332,,,"T.J. McFarland",3237,519008
"Joe Smith","- - -",39.2,-2.3301659466384295,,,,,1.14611493938164,-1.0323030833105684,-5.004901811480522,,,4.048938410622733,,,"Joe Smith",3281,501925
"Danny Duffy","KCR",61,2.024687461003109,,,,,-1.5304392622422802,0.8552741421305614,-0.4237516791722096,,,0.5875343540983815,,,"Danny Duffy",3542,518633
"Liam Hendriks","CHW",71,2.0995567412006713,,,,,,3.4022034990026597,0.2872513276394283,,,-4.046511277556419,,,"Liam Hendriks",3548,521230
"Yusmeiro Petit","OAK",78,0.1159562004937066,,0.3065183220139469,,,,,2.353037457887818,,,2.226450555611655,,,"Yusmeiro Petit",4020,433589
"Héctor Santiago","SEA",26.1,0.6698071956634521,,,,,-7.1327753365039825,-1.1988163097865052,-2.200557291507721,,,-0.974927282333374,,,"Hector Santiago",4026,502327
"Derek Holland","DET",49.2,-2.1977914906129605,,,,,0.6389699628590928,,,-1.474554773340834,,-1.556597463786602,,,"Derek Holland",4141,502706
"Jake Arrieta","- - -",98.2,,,,,,-2.352138446724933,-1.3551476633692363,-0.31312807397328346,,,-3.734437092928819,,,"Jake Arrieta",4153,453562
"Rafael Dolis","TOR",32,4.137713089585304,,,-0.353450369503763,,-0.46494095753400755,-1.1773864999949504,,,,,,,"Rafael Dolis",4185,503569
"Mark Melancon","SDP",64.2,-2.6719072769428123,,0.829061305884159,-2.200557291507721,,,16.453835368156433,,2.0214864562229558,,,,,"Mark Melancon",4264,453343
"Justin Wilson","- - -",34,-1.3570487329423258,,1.6880481326302816,,,,0.4060051452956702,,,,,,,"Justin Wilson",4301,458677
"Tyler Chatwood","- - -",32,-6.96422445013168,,1.7677761126901503,,,0.5022819592233966,,-2.3510255926364176,,,-0.2780829689332417,,,"Tyler Chatwood",4338,543022
"Charlie Morton","ATL",185.2,0.7355286794550279,,0.1618808437241867,,,-0.7020860220901765,,2.541596598529642,,,0.3085659359985927,,,"Charlie Morton",4676,450203
"Matt Shoemaker","MIN",60.1,-1.5041525547321026,,,-0.44518168279006654,,-4.320961236953735,-1.0103798232316057,,-20.051290438725395,,,,,"Matt Shoemaker",4776,533167
"Rich Hill","- - -",158.2,0.09714730945574182,,0.1108802747035372,,,-2.2376429350649722,-0.531340039448242,0.6254736068276678,-39.738744497299194,,2.406430324992618,,,"Rich Hill",4806,448179
"Jon Lester","- - -",141.1,-1.1408521758543477,,-1.4635859647603655,,,-0.8130171041392801,,-1.3405777921724082,,,0.7822814087073008,,,"Jon Lester",4930,452657
"Jake Diekman","OAK",60.2,-0.2589288212004162,,,,,-1.731532750670443,1.2639721454177772,,,,8.517587929964066,,,"Jake Diekman",5003,518617
"Jeurys Familia","NYM",59.1,2.0221355010052116,,,-3.772867123285929,,-0.25701780255846807,-1.3984644112466764,,,,,,,"Jeurys Familia",5114,544727
"Wade LeBlanc","- - -",49,3.1267797245698814,,-1.4210025737951468,,,-2.7941079516159864,,0.6341875249216723,,,-0.7215863062163531,,,"Wade LeBlanc",5221,453281
"Blake Parker","CLE",43.2,0.36566474220969464,,1.1788679829126671,-0.44092670563728575,,,,1.099299213715962,,,,,,"Blake Parker",5224,453284
"Jose Alvarez","SFG",64.2,0.5538189611515077,,-3.3350437074094206,,,2.9947536659025444,-0.7342793461349275,,,,0.6538527415079229,,,"Jose Alvarez",5358,501625
"Michael Pineda","MIN",109.1,0.22427581927993082,,,,,,-0.2762715705493201,,,,-1.5070372364587254,,,"Michael Pineda",5372,501381
"Jesse Chavez","ATL",33.2,2.4562034342024064,,1.3390662635231876,,,4.732327847867398,-2.367843833624148,,,,-2.686631564910595,,,"Jesse Chavez",5448,445926
"Madison Bumgarner","ARI",146.1,0.6395620790866052,,0.23063064380815834,,,-4.847498520000561,,-0.1866915646721335,4.862550273537636,,-1.5085024540650778,,,"Madison Bumgarner",5524,518516
"Tyler Clippard","ARI",25.1,3.3385829283640938,,,0.9856987384057815,,-3.694039744299811,4.623912572860718,2.0353560149669647,,,-1.2668995346341814,,,"Tyler Clippard",5640,461325
"Junior Guerra","LAA",65.1,-2.17911772949751,,,0.6276857299903005,,-0.005962489263773471,0.7793050728096867,-0.2425022960938129,,,,,,"Junior Guerra",5702,448855
"Trevor Cahill","PIT",37,1.0968080256134272,,-0.31064206022557206,,,0.3233080588016413,,,-0.5886941320366329,,-1.681009588657685,,,"Trevor Cahill",6249,502239
"Jake Odorizzi","HOU",104.2,0.9122781426298852,,-2.014084615205464,-1.4469638320025553,,,-0.7352346816548594,1.4742848773797355,,,,,,"Jake Odorizzi",6397,543606
"Trevor May","NYM",62.2,0.9583398101942678,,,,,,0.6257050663885408,,,,-1.7210058604969696,,,"Trevor May",6398,543507
"José Cisnero","DET",61.2,0.631479659211745,,-2.34652025153838,,,3.030513564893304,0.7892927729097524,,,,-3.1175268813967705,,,"Jose Cisnero",6399,542585
"Steve Cishek","LAA",68.1,1.7026160584121455,,,,,0.8368835595375733,-1.201663234017112,,,,-29.0078600247701,,,"Steve Cishek",6483,518553
"Alex Cobb","LAA",93.1,1.0808029595543356,,,0.9966487558478984,,0.3631752765107298,5.135686908449445,,0.8927463060356231,,,,,"Alex Cobb",6562,502171
"Brad Brach","CIN",30,-0.9208283857865768,,-2.200557291507721,,,-2.836669683456421,-3.0491132736206055,,,,0.2620055698431455,,,"Brad Brach",6627,542960
"Carlos Carrasco","NYM",53.2,-1.281001668580821,,,,,-1.031067496851871,-0.20506328108620508,3.8505540337673456,,,-2.2165999564950325,,,"Carlos Carrasco",6632,471911
"Craig Kimbrel","- - -",59.2,0.9123710078051966,,,,,,,,2.917283312638204,,,,,"Craig Kimbrel",6655,518886
"Alex Colomé","MIN",65,-1.629903059739333,,0.2791190054870053,,,2.6325007279713946,-6.6566236317157745,,,,-12.830449342727663,,,"Alex Colome",6661,517008
"Andrew Miller","STL",36,-2.0831849315378923,,,,,-2.1087577787496277,-0.4677676500524963,,,,,,,"Andrew Miller",6785,453192
"Johnny Cueto","SFG",114.2,1.241538193883811,,-7.031634193042229,,,0.2212840257231722,-0.996951116066353,-5.258678236315327,-2.876425161957741,,-1.3639331468053766,,,"Johnny Cueto",6893,456501
"Chase Anderson","PHI",48,-2.6431549446923395,,1.292992876721667,,,-3.2570814748979964,-5.403205832919559,-4.721160562007458,,,1.372422212623505,,,"Chase Anderson",6895,502624
"Martín Pérez","BOS",114,-0.9169955557756463,,-1.9696622203897545,,,1.0469609486268783,,-2.675602086790048,,,-0.6537502726535839,,,"Martin Perez",6902,527048
"Joakim Soria","- - -",37.1,-0.45443339932263727,,,,,0.6634891033172607,0.3142021885213926,-1.7604741912621718,,,-0.3837564039504391,,,"Joakim Soria",6941,465657
"Luis García","STL",33.1,-1.122920960187912,,,-0.210893545615471,,1.6910190844453898,1.6453276077906291,,,,,,,"Luis Garcia",6984,472610
"Ian Kennedy","- - -",56.1,1.3367454719671985,,9.632470391013404,-4.225856363773346,,,0.46439770123232965,,-4.292179708895476,,-5.010337077288164,,,"Ian Kennedy",6986,453178
