Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
"Jesse Chavez","ATL",33.2,-6.900641759236653,,-1.1444821057018932,,,-9.732368922877956,3.0245363946054495,,,,-9.38968247633714,,,"Jesse Chavez",5448,445926
"Madison Bumgarner","ARI",146.1,5.909075469367589,,-0.6483327294610868,,,9.004535571948901,,-4.743360662557048,-4.427872180938721,,8.211387591655027,,,"Madison Bumgarner",5524,518516
"Tyler Clippard","ARI",25.1,-3.983357649583083,,,-0.9168066209362399,,-7.436025258657095,1.7741451263427734,3.106100845336914,,,-8.04386945452009,,,"Tyler Clippard",5640,461325
"Junior Guerra","LAA",65.1,-3.010730885350427,,,-6.271268136722526,,-8.352510253841457,2.7884642746274833,2.380730127550892,,,,,,"Junior Guerra",5702,448855
"Trevor Cahill","PIT",37,-6.210830128192901,,-1.0388319801266601,,,-10.574309683088119,,,4.959553519884746,,-8.48397045015539,,,"Trevor Cahill",6249,502239
"Jake Odorizzi","HOU",104.2,-6.8601319406546795,,1.1853797812210887,-6.6022289445247555,,,3.022230374371564,3.9863977432250977,,,,,,"Jake Odorizzi",6397,543606
"Trevor May","NYM",62.2,-3.951536816261144,,,,,,2.3813218165488137,,,,-6.33150634765625,,,"Trevor May",6398,543507
"José Cisnero","DET",61.2,-6.514847221724484,,1.445331343685288,,,-9.818516387372211,2.4931576377467106,,,,-9.890704154968262,,,"Jose Cisnero",6399,542585
"Steve Cishek","LAA",68.1,-7.259974745453381,,,,,-11.02434951957615,8.251866868704804,,,,-10.34148915608724,,,"Steve Cishek",6483,518553
"Alex Cobb","LAA",93.1,-6.5172410852768845,,,-8.372219718215812,,-9.441235205370509,2.5616918291364397,,2.1432592384368774,,,,,"Alex Cobb",6562,502171
"Brad Brach","CIN",30,-6.125665394176137,,-1.302936315536499,,,-8.961669921875,2.5580043538411457,,,,-9.936097365159254,,,"Brad Brach",6627,542960
