Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Ryan Hendrix","CIN",0.3048780487804878,1.129032258,0.25,0.397727272,0.352272727,0.032258064,0.258064516,25,7.1052650124087116,235,305,540,0.43333333,0.32222222,0.24444444,0.07777778,0.44444444,0.47777778,"Ryan Hendrix",19535,641682
"Amir Garrett","CIN",0.31896551724137934,1.465116279,0.14516129,0.508064516,0.346774193,0.116279069,0.209302325,25,4.720281105390753,310,518,828,0.448,0.32,0.232,0.184,0.368,0.448,"Amir Garrett",14375,607237
"Trevor Megill","CHC",0.42028985507246375,1.034482758,0.213333333,0.4,0.386666666,0.068965517,0.24137931,12,4.563381507599927,170,290,460,0.28947368,0.38157895,0.32894737,0.15789474,0.39473684,0.44736842,"Trevor Megill",17722,656730
"John Curtiss","- - -",0.2903225806451613,1.106382978,0.232558139,0.403100775,0.364341085,0.127659574,0.127659574,20,4.06015127845054,228,475,703,0.43846154,0.33076923,0.23076923,0.12307692,0.43076923,0.44615385,"John Curtiss",16128,595928
"Kyle Keller","PIT",0.25301204819277107,0.586956521,0.206521739,0.29347826,0.5,0.152173913,0.195652173,8,2.160000329589894,243,411,654,0.33695652,0.41304348,0.25,0.14130435,0.41304348,0.44565217,"Kyle Keller",18890,664918
"David Hess","- - -",0.3548387096774194,0.432432432,0.253521126,0.225352112,0.52112676,0,0.27027027,8,3.6000003433227867,136,231,367,0.41666667,0.27777778,0.30555556,0.04166667,0.51388889,0.44444444,"David Hess",16130,605276
"Alex Lange","DET",0.32323232323232326,1.483870967,0.259615384,0.442307692,0.298076923,0.096774193,0.161290322,17,4.289720390840404,239,400,639,0.42307692,0.39423077,0.18269231,0.11538462,0.44230769,0.44230769,"Alex Lange",19883,656638
"Sean Reid-Foley","NYM",0.35185185185185186,0.952380952,0.267857142,0.357142857,0.375,0.095238095,0.142857142,11,4.790323170117184,139,232,371,0.24561404,0.43859649,0.31578947,0.12280702,0.43859649,0.43859649,"Sean Reid-Foley",17034,656887
"Kohei Arihara","TEX",0.2698412698412698,1.057692307,0.207407407,0.407407407,0.385185185,0.019230769,0.211538461,23,5.090164252744847,270,426,696,0.42335766,0.35036496,0.22627737,0.10218978,0.45985401,0.4379562,"Kohei Arihara",27505,685503
"Chase De Jong","PIT",0.30158730158730157,0.63076923,0.220588235,0.301470588,0.477941176,0.03076923,0.169230769,15,3.0916032334890136,285,490,775,0.41605839,0.39416058,0.18978102,0.10218978,0.46715328,0.43065693,"Chase De Jong",15036,608328
"Sal Romano","- - -",0.30952380952380953,0.921052631,0.17977528,0.393258426,0.426966292,0.026315789,0.131578947,5,1.8000003604889638,174,263,437,0.23595506,0.49438202,0.26966292,0.14606742,0.42696629,0.42696629,"Sal Romano",13690,607219
"Taylor Widener","ARI",0.2712765957446808,0.728260869,0.192893401,0.340101522,0.467005076,0.086956521,0.152173913,24,3.071090227841983,460,757,1217,0.4009901,0.35148515,0.24752475,0.14851485,0.42574257,0.42574257,"Taylor Widener",19266,642203
"Nick Wittgren","CLE",0.2909090909090909,1.509433962,0.244318181,0.454545454,0.301136363,0.018867924,0.245283018,17,2.4545458824993447,368,650,1018,0.38202247,0.28651685,0.33146067,0.12921348,0.4494382,0.42134831,"Nick Wittgren",15594,621295
"Zac Lowther","BAL",0.35294117647058826,1.21875,0.219780219,0.428571428,0.351648351,0.0625,0.1875,18,5.4606742743304455,217,354,571,0.34065934,0.45054945,0.20879121,0.10989011,0.47252747,0.41758242,"Zac Lowther",20243,675912
"Tyler Kinley","COL",0.25133689839572193,0.916666666,0.186868686,0.388888888,0.424242424,0.119047619,0.142857142,34,4.350711687044928,404,739,1143,0.48241206,0.29648241,0.22110553,0.16582915,0.42211055,0.4120603,"Tyler Kinley",18297,641755
"Miguel Díaz","SDP",0.23232323232323232,1.222222222,0.245283018,0.415094339,0.339622641,0.055555555,0.222222222,29,6.214285714285714,259,436,695,0.44859813,0.30841121,0.24299065,0.14953271,0.43925234,0.41121495,"Miguel Diaz",18815,622766
"Trevor Richards","- - -",0.2014388489208633,0.554054054,0.222972972,0.277027027,0.5,0.148648648,0.162162162,39,5.45595930409239,407,654,1061,0.35099338,0.30463576,0.34437086,0.1589404,0.43046358,0.41059603,"Trevor Richards",19309,670950
"Griffin Jax","MIN",0.24789915966386555,0.610294117,0.157692307,0.319230769,0.523076923,0.073529411,0.169117647,47,5.158536945333966,499,895,1394,0.43678161,0.33333333,0.22988506,0.13793103,0.45210728,0.40996169,"Griffin Jax",20253,643377
"Sean Nolin","WSN",0.3333333333333333,0.909090909,0.26744186,0.348837209,0.38372093,0.121212121,0.121212121,5,1.687500100582844,191,308,499,0.45454545,0.31818182,0.22727273,0.09090909,0.5,0.40909091,"Sean Nolin",11341,543594
"Luke Weaver","ARI",0.2596685082872928,0.96,0.218085106,0.382978723,0.39893617,0.053333333,0.146666666,31,4.248731129011401,364,745,1109,0.41884817,0.34031414,0.2408377,0.10471204,0.48691099,0.40837696,"Luke Weaver",16918,596133
"Stefan Crichton","ARI",0.37037037037037035,1.1875,0.166666666,0.452380952,0.38095238,0.25,0.09375,2,0.7714287395866917,157,246,403,0.41666667,0.27380952,0.30952381,0.21428571,0.38095238,0.4047619,"Stefan Crichton",16058,592233
"Taylor Clarke","ARI",0.35036496350364965,0.96226415,0.257142857,0.364285714,0.378571428,0.094339622,0.075471698,12,2.492307984843091,270,484,754,0.35460993,0.35460993,0.29078014,0.11347518,0.4822695,0.40425532,"Taylor Clarke",17611,664199
"Rex Brothers","CHC",0.2882882882882883,0.79245283,0.208333333,0.35,0.441666666,0.037735849,0.16981132,23,3.905661220693312,426,572,998,0.44166667,0.30833333,0.25,0.10833333,0.49166667,0.4,"Rex Brothers",9794,571521
"Luke Farrell","MIN",0.3380281690140845,1.037037037,0.266666666,0.373333333,0.36,0,0.148148148,8,2.9189192198592746,187,286,473,0.4,0.34666667,0.25333333,0.10666667,0.49333333,0.4,"Luke Farrell",15101,608652
"José Quijada","LAA",0.3333333333333333,1.047619047,0.232142857,0.392857142,0.375,0.19047619,0.095238095,4,1.402597958492114,191,308,499,0.26785714,0.44642857,0.28571429,0.30357143,0.30357143,0.39285714,"Jose Quijada",19200,650671
"Jake Faria","ARI",0.3333333333333333,0.931818181,0.182692307,0.394230769,0.423076923,0.09090909,0.113636363,18,4.959184349104637,257,382,639,0.43925234,0.26168224,0.29906542,0.11214953,0.4953271,0.39252336,"Jake Faria",13699,607188
"Jefry Rodriguez","WSN",0.27941176470588236,0.705882352,0.216216216,0.324324324,0.459459459,0.058823529,0.176470588,11,4.0684933632886375,166,246,412,0.36486486,0.37837838,0.25675676,0.12162162,0.48648649,0.39189189,"Jefry Rodriguez",17018,622446
"Matt Manning","DET",0.3049645390070922,1.31632653,0.217241379,0.444827586,0.337931034,0.071428571,0.102040816,44,4.6406252766028215,500,921,1421,0.395189,0.33333333,0.27147766,0.10652921,0.50171821,0.39175258,"Matt Manning",20369,666159
"Chi Chi González","COL",0.3205882352941177,1.198275862,0.275568181,0.394886363,0.329545454,0.068965517,0.155172413,60,5.311475443051919,568,1067,1635,0.40502793,0.34357542,0.25139665,0.1424581,0.46648045,0.39106145,"Chi Chi Gonzalez",14663,592346
"J.B. Wendelken","- - -",0.31007751937984496,1.363636363,0.218045112,0.451127819,0.330827067,0.181818181,0.09090909,23,4.740458705473849,283,466,749,0.39097744,0.35338346,0.2556391,0.21052632,0.39849624,0.39097744,"J.B. Wendelken",14506,605525
"Emilio Pagán","SDP",0.25316455696202533,0.367924528,0.166666666,0.224137931,0.609195402,0.113207547,0.150943396,30,4.263158493887438,380,718,1098,0.34482759,0.33908046,0.31609195,0.16666667,0.44252874,0.3908046,"Emilio Pagan",14771,641941
"Justus Sheffield","SEA",0.35,1.470588235,0.222222222,0.462962962,0.314814814,0.047058823,0.164705882,41,4.593361177617036,573,897,1470,0.44160584,0.31386861,0.24452555,0.11678832,0.49270073,0.39051095,"Justus Sheffield",17285,656954
"Michael Wacha","TBR",0.3123209169054441,1.123076923,0.254054054,0.394594594,0.351351351,0.123076923,0.176923076,50,3.6096258525351588,641,1333,1974,0.41129032,0.32258065,0.26612903,0.10752688,0.50268817,0.38978495,"Michael Wacha",14078,608379
"Steven Brault","PIT",0.32608695652173914,1.176470588,0.195652173,0.434782608,0.369565217,0.029411764,0.088235294,4,1.3012048491789312,183,315,498,0.45263158,0.30526316,0.24210526,0.18947368,0.42105263,0.38947368,"Steven Brault",15291,643230
"Trent Thornton","TOR",0.3181818181818182,1.075471698,0.23076923,0.398601398,0.37062937,0.132075471,0.226415094,25,4.591837717761115,333,577,910,0.39583333,0.36111111,0.24305556,0.17361111,0.4375,0.38888889,"Trent Thornton",17948,663423
"José Ureña","DET",0.3191489361702128,1.87368421,0.201754385,0.520467836,0.277777777,0.07368421,0.147368421,40,3.5761593017739104,658,1037,1695,0.4606414,0.36151603,0.17784257,0.09912536,0.51311953,0.3877551,"Jose Urena",11589,570632
"Luke Jackson","ATL",0.2532467532467532,1.729166666,0.170886075,0.525316455,0.303797468,0.083333333,0.125,29,4.0994770947964,401,654,1055,0.46875,0.35625,0.175,0.1375,0.475,0.3875,"Luke Jackson",11752,592426
"Greg Holland","KCR",0.2597402597402597,1.098360655,0.204968944,0.416149068,0.378881987,0.081967213,0.147540983,21,3.3952102012789975,377,620,997,0.45398773,0.30674847,0.2392638,0.14110429,0.47239264,0.38650307,"Greg Holland",7196,518813
"Touki Toussaint","ATL",0.24806201550387597,1.361702127,0.183823529,0.470588235,0.345588235,0.106382978,0.234042553,33,5.94,324,496,820,0.49285714,0.35714286,0.15,0.12857143,0.48571429,0.38571429,"Touki Toussaint",16929,657053
"Ralph Garza Jr.","- - -",0.24358974358974358,0.911764705,0.216867469,0.373493975,0.409638554,0.058823529,0.147058823,16,4.7472532447619225,176,309,485,0.43373494,0.37349398,0.19277108,0.19277108,0.42168675,0.38554217,"Ralph Garza Jr.",17682,621248
