Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Alex Colomé","MIN",-1.1008660793304443,-8.932146072387695,7.831279754638672,-9.610000610351562,-0.9558718204498291,1.6655691862106323,1.339706301689148,1.3327134847640991,1.330588936805725,36,-0.1317988932132721,-0.5291559854219682,24,16,"Alex Colome",6661,517008
"Daniel Bard","COL",-1.2554799318313599,-10.968218803405762,9.712738990783691,-1.9039998054504395,-0.36255133152008057,1.921791434288025,1.523725986480713,1.4940686225891113,1.6935739517211914,23,-0.35786867141723633,-0.29541758505756344,17,16,"Daniel Bard",7115,453268
"Brad Hand","- - -",-1.8567515909671783,-9.757723212242126,7.900971531867981,-9.833999276161194,-0.9736798405647278,1.7826924749783106,1.4700047396994256,1.5054500155589159,1.1918521601220835,23,-0.19364601373672485,-0.8478973915495789,21,16,"Brad Hand",9111,543272
"Tim Hill","SDP",-0.22013957798480988,-5.71959924697876,5.499459743499756,-2.5310001373291016,-0.21558843553066254,1.2750381231307983,1.0075284242630005,1.336605191230774,1.1565117835998535,68,-0.10314509272575378,-0.06950823739136233,21,16,"Tim Hill",16814,657612
"Clay Holmes","- - -",0.5502321124076843,-5.7305519580841064,6.2807841300964355,-0.7099990844726562,-0.02593553066253662,1.1735098081476547,1.1335965641613663,1.2655101409856824,1.0695185396406386,54,0.5920158922672272,-0.1231385905289426,25,15,"Clay Holmes",13649,605280
"Kyle Finnegan","WSN",-1.77337646484375,-9.257892608642578,7.484516620635986,-13.125999450683594,-1.3143310546875,1.4904605150222778,1.318395733833313,1.496399998664856,1.0714045763015747,44,-0.6953006386756897,-0.4945171706322231,25,15,"Kyle Finnegan",15009,640448
"Tanner Scott","BAL",-0.4293159544467926,-6.44506311416626,6.0157470703125,-11.669000625610352,-1.1793885231018066,1.4168083667755127,1.1038329601287842,1.341951608657837,1.4855079650878906,50,0.0627693235874176,-0.3657855708897007,16,15,"Tanner Scott",17586,656945
"Jake Brentz","KCR",-0.5425220727920532,-5.877676010131836,5.335154056549072,1.7170000076293945,0.183279350399971,1.0864391326904297,1.074458122253418,1.1657471656799316,1.238825798034668,62,0.109571173787117,-0.6089291741277028,15,15,"Jake Brentz",17783,641394
"Yusmeiro Petit","OAK",1.445208191871643,-5.744596004486084,7.1898040771484375,3.555999755859375,0.40247786045074463,1.1849743127822876,1.1616613864898682,1.3730154037475586,1.167867660522461,68,1.1601694822311401,0.05944192730088038,29,14,"Yusmeiro Petit",4020,433589
"Jeurys Familia","NYM",-0.29852014780044556,-6.210882663726807,5.912362575531006,-1.9729998111724854,-0.26217126846313477,1.2330528497695923,1.033467173576355,1.2600892782211304,1.2435673475265503,49,-0.7923376560211182,0.5502392351332974,14,14,"Jeurys Familia",5114,544727
"José Cisnero","DET",1.0063800811767578,-6.4140625,7.4204421043396,-1.989999771118164,-0.21134155988693237,1.5273491144180298,1.3949583768844604,1.5796059370040894,1.474196434020996,56,0.6863599419593811,-0.02745355855520326,29,14,"Jose Cisnero",6399,542585
"Bryan Shaw","CLE",0.15536418557167053,-7.086908340454102,7.242272853851318,6.380000591278076,0.6312697529792786,1.2676453590393066,1.0756782293319702,1.3000296354293823,1.2897098064422607,71,0.2653161883354187,-0.1427549495285222,23,14,"Bryan Shaw",8110,543766
"Héctor Neris","PHI",0.13413408398628235,-8.060142517089844,8.194275856018066,0.642000675201416,0.008499551564455032,1.4770067930221558,1.3334702253341675,1.4751811027526855,1.2073066234588623,45,0.3746137320995331,-0.2837989270356878,33,14,"Hector Neris",11804,593576
"Yimi García","- - -",-0.2381239254027605,-7.682300448417664,7.4441763162612915,-0.9279999732971191,-0.0353292990475893,1.800355033079783,1.5966304225080155,1.6673516784944842,1.374366708099842,24,0.09044291824102402,-0.2227078998849018,23,14,"Yimi Garcia",12095,554340
"Aaron Bummer","CHW",-0.6199957728385925,-6.055260181427002,5.4352641105651855,3.523000478744507,0.3393293619155884,1.442328929901123,1.1450215578079224,1.2742999792099,1.4222214221954346,56,0.6817118525505066,-1.1115692588503965,16,14,"Aaron Bummer",16258,607481
"José Alvarado","PHI",0.35614413022994995,-6.866458892822266,7.2226033210754395,2.953000545501709,0.3084010183811188,1.756871223449707,1.300252079963684,1.5307625532150269,1.3511778116226196,54,0.08556436747312546,0.11715062123882045,20,14,"Jose Alvarado",17780,621237
"A.J. Minter","ATL",-0.6215718388557434,-6.356391906738281,5.7348198890686035,7.298000812530518,0.7536492943763733,1.50428307056427,1.1930509805679321,1.498606562614441,1.41255784034729,57,0.6444655656814575,-1.0576669444768636,21,14,"A.J. Minter",18655,621345
"Codi Heuer","- - -",1.600970208644867,-5.886130094528198,7.487100124359131,5.405999660491943,0.5162234455347061,1.3993251846761119,1.3006142578929303,1.512246113557082,1.468848122490777,54,0.5235420539975166,0.620559564537583,24,14,"Codi Heuer",23293,676051
"Jake Diekman","OAK",-0.7137871384620667,-7.1094160079956055,6.395628929138184,-4.688000202178955,-0.4827653169631958,1.3757785558700562,1.1926205158233643,1.2493194341659546,1.2351880073547363,50,-0.4845419228076935,-0.03428222619255061,18,13,"Jake Diekman",5003,518617
"Hansel Robles","- - -",1.3252361416816711,-7.705348968505859,9.030585050582886,-0.05000019073486328,-0.007377713918685913,1.5350703220213613,1.3444886139676542,1.4842777848243713,1.2604902094485713,51,-0.01931874454021454,0.8826252150454985,26,13,"Hansel Robles",11801,570663
