Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,NameASCII,PlayerId,MLBAMID
"Shawn Kelley","WSN",26,103.15782691724125,112.84662128847836,91.41419068966354,337.20898478513044,95.17169899848622,104.11041477185867,105.63327653247414,113.84918941591194,78.96379562300203,113.71677148068495,164.0186927386892,195.06170888671133,139.54620354817092,69.97846563932606,58.163048138304916,172.25244676218537,"Shawn Kelley",7773,518875
"Troy Scribner","LAA",23.2,82.48014795953854,118.37478292849414,69.67712566864286,203.42771712604474,84.26479051162626,120.93608426446387,77.66915240891386,85.6253792791606,54.59651540282366,107.66577305642662,97.9425596303715,159.70499695100145,142.19192789232844,78.8304370036424,56.92237837108035,162.8226703541514,"Troy Scribner",15570,644428
"John Brebbia","STL",51.2,105.89983387309367,56.78733487904564,186.48494905196253,113.12818126982972,112.40278534065673,60.27445017519626,76.11559840190606,68.75022367085494,72.37770204601766,125.08844876635075,58.2504126740486,97.60394467808102,110.93093777589998,91.6264803904946,55.91869261436949,162.3882059514191,"John Brebbia",12777,605154
"Kirby Yates","- - -",56.2,166.62645795869923,89.43245238809259,184.17553791570157,153.2074164597717,175.4907159707132,94.19513760089573,83.19263906569799,82.30992190400121,97.29015246812656,103.33713917202974,94.19773411634446,91.21061157789727,76.33634711829048,72.8701378096176,64.23717582054272,162.1211375653994,"Kirby Yates",9073,489446
"Grant Dayton","LAD",23.2,90.66265791875564,135.24256421939472,67.03707316705697,154.3562329256567,90.31980839808463,134.7311254030693,83.81858839032718,96.93216668175091,72.03213211582448,103.19797024255917,119.25494407486501,134.94495386911322,133.31695521652048,65.80064708763452,69.6062530540649,159.80913546582627,"Grant Dayton",11203,594795
"A.J. Griffin","TEX",77.1,85.54156875256177,101.43496326399148,84.33144180407292,177.87402411665306,83.6415300382407,99.18190066985201,99.3708273466986,100.93517321518026,85.00408138053982,97.47691452680837,124.26332287497307,137.05707740720126,139.9761513665229,65.38602740291805,65.87443934759455,159.65548879870408,"A.J. Griffin",11132,456167
"Keone Kela","TEX",38.2,143.0367444517497,123.17104656684539,116.12854281978096,71.14962105308084,156.5316143817768,134.79167516544163,53.7947336012203,67.93714670931853,60.756122268783265,108.79909704716518,58.4768671982917,71.20634958920229,92.8119710878478,60.30266227089277,70.43838059018036,157.0594645438114,"Keone Kela",14696,605309
"Emilio Pagán","SEA",50.1,120.65530073814314,44.52773822773414,270.96659991282223,95.65145456196717,132.41609937541273,48.86804986313821,82.89758858868976,70.0838667497413,87.35442464451786,101.01417038259979,76.52997324034537,75.91301314436531,92.9414609487918,102.70007260266564,51.539221358306385,155.9798415125318,"Emilio Pagan",14771,641941
"Ryan Buchter","- - -",65.1,107.05692232045034,107.79093300020332,99.50833541943946,109.8623789917293,111.90997138146415,112.65671704171776,73.43161627536709,79.67442514265424,70.0835093420888,112.4320102756585,67.24075758236805,105.56813941765947,115.34104094394132,66.51897715203268,74.4725712218135,151.01905201328387,"Ryan Buchter",9456,488748
"Carson Fulmer","CHW",23.1,88.30613977983516,156.08562981467782,56.57544391997607,117.90506172307677,87.18485757150104,154.1037031475048,73.9503831417292,93.28184239166485,64.47588485666796,111.76894110577675,90.06287116721494,127.65991916302357,141.34296425467403,82.41363849832243,66.51090734143771,149.4647128087523,"Carson Fulmer",18311,608334
