Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Corey Kluber","CLE",0.26666666666666666,1.333333333,0.220556745,0.445396145,0.334047109,0.115384615,0.134615384,118,5.214402879101387,940,2005,2945,0.38853503,0.36093418,0.25053079,0.24416136,0.4670913,0.28874735,"Corey Kluber",2429,446372
"Trevor Cahill","- - -",0.32608695652173914,2.109375,0.181069958,0.555555555,0.263374485,0.046875,0.25,41,4.392856943364055,612,911,1523,0.47154472,0.34146341,0.18699187,0.22357724,0.48780488,0.28861789,"Trevor Cahill",6249,502239
"Brent Suter","MIL",0.30612244897959184,1.467532467,0.24,0.452,0.308,0.116883116,0.103896103,47,5.179592179485504,415,868,1283,0.35177866,0.39130435,0.256917,0.23715415,0.4743083,0.28853755,"Brent Suter",13942,608718
"Lucas Sims","ATL",0.3142857142857143,0.971014492,0.227272727,0.380681818,0.392045454,0.072463768,0.130434782,29,4.52601220939238,360,625,985,0.38586957,0.3423913,0.27173913,0.19565217,0.51630435,0.28804348,"Lucas Sims",13470,608371
"Zach Davies","MIL",0.3021346469622332,1.844311377,0.226384364,0.501628664,0.27198697,0.083832335,0.119760479,126,5.926828953183858,1159,1930,3089,0.38314785,0.3608903,0.25596184,0.19872814,0.51351351,0.28775835,"Zach Davies",13183,605200
"Buck Farmer","DET",0.3357664233576642,0.69117647,0.206896551,0.324137931,0.468965517,0.073529411,0.132352941,20,3.75,342,558,900,0.40410959,0.31506849,0.28082192,0.14383562,0.56849315,0.28767123,"Buck Farmer",14814,571656
"Alec Asher","BAL",0.28651685393258425,0.923076923,0.189189189,0.389189189,0.421621621,0.192307692,0.128205128,27,4.049999871253972,418,651,1069,0.39361702,0.32446809,0.28191489,0.21808511,0.49468085,0.28723404,"Alec Asher",13560,594742
"Chasen Shreve","NYY",0.2523364485981308,0.826923076,0.173913043,0.373913043,0.452173913,0.153846153,0.153846153,34,6.7500024613221115,344,507,851,0.46086957,0.29565217,0.24347826,0.2173913,0.49565217,0.28695652,"Chasen Shreve",10855,592741
"Collin McHugh","HOU",0.3107344632768362,0.728395061,0.222222222,0.327777777,0.45,0.037037037,0.086419753,33,4.689473213449457,396,684,1080,0.32967033,0.39010989,0.28021978,0.0989011,0.61538462,0.28571429,"Collin McHugh",7531,543521
"Shawn Armstrong","CLE",0.25,0.882352941,0.168831168,0.389610389,0.441558441,0.088235294,0.147058823,14,5.1081102146912505,152,278,430,0.36363636,0.33766234,0.2987013,0.19480519,0.51948052,0.28571429,"Shawn Armstrong",12857,542888
