Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"R.A. Dickey","ATL",190,83.61844422387296,,,,,,,,,65.94117647058823,,,77.27857315371404,"R.A. Dickey",1245,285079
"Steven Wright","BOS",24,83.93333082932692,,,,,,,64.47368421052632,,,,,73.61307061887256,"Steven Wright",8185,453214
"Neftalí Feliz","- - -",46,96.25620631167763,,,,,,84.11285025314245,,,,88.80000215418198,,,"Neftali Feliz",18,491703
"Bartolo Colon","- - -",143,90.28177951388889,,86.61428833007812,,,87.06278582317073,81.51325418862952,,,,81.25135047156532,,,"Bartolo Colon",375,112526
"CC Sabathia","NYY",148.2,89.16666666666667,,89.9314469723796,,,90.66030255149813,79.57644628099173,,,,83.79642964457418,,,"CC Sabathia",404,282332
"Fernando Rodney","ARI",55.1,94.91356286337209,,,,,94.06666917067308,85.28571428571429,,,,83.46666666666667,,,"Fernando Rodney",494,407845
"Jason Grilli","- - -",40,92.79773276417525,,,,,92.07916768391927,81.01226693192379,,,,85.78000183105469,,,"Jason Grilli",521,276351
"Bronson Arroyo","CIN",71,84.37926070601851,,84.36744299600291,,,83.44249674479167,72.94664193802521,71.81397394215838,,,75.72883234797297,,,"Bronson Arroyo",978,276520
"Marco Estrada","TOR",186,89.84807276657061,,86.49955332118834,,,,,77.45538159860558,,,77.51548886737658,,,"Marco Estrada",1118,462136
"Tommy Hunter","TBR",58.2,96.34286127645503,,93.9360292257085,,,96.18947181519138,,85.32723563058036,,,,,,"Tommy Hunter",1157,488984
"Matt Bush","TEX",52.1,97.54506858861502,,91.63157894736842,,,97.47709595264317,85.30666775173611,79.98230919471153,,,90.5,,,"Matt Bush",1246,456713
"Adam Ottavino","COL",53.1,94.39882046568627,,91.1,,,94.32472324723247,81.74171539961014,,,,,,,"Adam Ottavino",1247,493603
"Blake Wood","- - -",74.1,96.10779934064716,,,85.115673463736,,96.09554817860803,89.72275951867816,78.3499984741211,,,90.5999984741211,,,"Blake Wood",1345,502028
"Joaquín Benoit","- - -",50.1,94.76005074431147,,,,,94.71910112359551,87.42777845594618,83.69999694824219,,,84.475,,,"Joaquin Benoit",1437,276542
"John Lackey","CHC",170.2,91.01399486675227,,82.50878444901525,,,90.73145954260666,,77.50292589141101,,,83.4710922241211,,,"John Lackey",1507,407793
"Oliver Pérez","WSN",33,92.87712973736703,,,,,92.51089868790064,79.55351257324219,,,,,,,"Oliver Perez",1514,424144
"Sean Doolittle","- - -",51.1,94.68534277485486,,,85.44285910470145,,,81.4025628505609,76.4000015258789,,,,,,"Sean Doolittle",1581,448281
"Francisco Rodríguez","DET",25.1,88.9878134847689,,,,,89.55000305175781,,74.85262900904605,,,83.2980366625817,,,"Francisco Rodriguez",1642,408061
"Matt Belisle","MIN",60.1,90.62349200581396,,,,,90.2931795987216,85.7695056352459,73.69065329293224,,,85.02000122070312,,,"Matt Belisle",1837,279571
"Edwin Jackson","- - -",76,93.08154296875,,,,,93.15306122448979,86.92628502053437,78.89607657638251,,,87.4670722775343,,,"Edwin Jackson",1841,429719
"Ryan Madson","- - -",59,95.7229636863426,,,,,94.7051349796661,92.19999694824219,82.57735726218553,,,85.42213591364504,,,"Ryan Madson",1852,425492
"Matt Moore","SFG",174.1,91.88853675806273,,89.22718861537058,,,,,,81.08011501041923,,83.14354827680525,,,"Matt Moore",1890,519043
"Zack Greinke","ARI",202.1,90.76555501832247,,,,,90.68556062940141,83.95211267605634,74.25787984913794,,65.57618931361607,87.09308609189723,,,"Zack Greinke",1943,425844
"Iván Nova","PIT",187,93.1198779372111,,,,,92.5453720508167,,80.6006990131579,,,86.40157948369566,,,"Ivan Nova",1994,467100
"Clayton Kershaw","LAD",175,92.82984430017606,,,,,94.60769418569711,88.57994914504717,73.33592327821601,,,85.94,,,"Clayton Kershaw",2036,477132
"Jorge De La Rosa","ARI",51.1,93.48969456658291,,87.03077110877403,84.42083062065973,,93.46666463216145,,75.51590798117898,,,,,,"Jorge De La Rosa",2047,407822
"Adam Wainwright","STL",123.1,90.13463224085366,,84.21115695907775,,,89.71192841111568,,72.46132808108982,,61.73749923706055,81.36363636363636,,,"Adam Wainwright",2233,425794
"Blaine Boyer","BOS",41.1,94.1875984132752,,,,,94.07857452876983,86.35511503444881,73.43773492777123,,,,,,"Blaine Boyer",2237,430641
"Héctor Rondón","CHC",57.1,96.42884615384615,,,,,96.3763440860215,85.83137473739495,,,,90.42499651227679,,,"Hector Rondon",2391,444468
"Corey Kluber","CLE",203.2,92.68297502955083,,88.99671758395522,,,92.53584229390681,,84.43264563106796,,,85.75666775173612,,,"Corey Kluber",2429,446372
"Lance Lynn","STL",186.1,92.3651920995671,,87.05514914772728,,,91.43417677238806,,78.93841188948676,,,85.97083682105655,,,"Lance Lynn",2520,458681
"Jhoulys Chacín","SDP",180.1,91.37473460721868,,,,,91.11122809973045,80.0159304740958,75.60339148569915,,,83.30742745535714,,,"Jhoulys Chacin",2608,468504
"Brett Cecil","STL",67.1,91.89304377069537,,88.6920731707317,,,90.87422479059278,,,83.40777523189045,,83.14453125,,,"Brett Cecil",2660,446399
"Rick Porcello","BOS",203.1,92.14247551202138,,,,,89.74190944316877,85.57210800438597,74.67858209847036,,,80.30427046263345,,,"Rick Porcello",2717,519144
"Santiago Casilla","OAK",59,94.14651162790697,,,,,93.77338129496403,89.47435897435898,,80.65068493150685,,87.67551219706633,,,"Santiago Casilla",2873,433586
"Luis Avilán","LAD",46,92.25294404871323,,,,,92.78593272171254,,76.42432300464527,,,84.04460592830883,,,"Luis Avilan",2882,501593
"Zach McAllister","CLE",62,95.4594041511194,,86,,,94.72660729644495,,80.95863669829843,,,,,,"Zach McAllister",2895,502083
"Jeff Locke","MIA",32,90.89295637103874,,,,,90.73367745535714,,,77.92143156090562,,80.54233434078468,,,"Jeff Locke",2929,502046
"Kenley Jansen","LAD",68.1,,,93.2458321092832,,,94.81212269176136,83.28481012658227,,,,,,,"Kenley Jansen",3096,445276
"Tony Watson","- - -",66.2,,,,,,93.45558958652374,84.92726987368101,,,,86.2843729654948,,,"Tony Watson",3132,453265
"Max Scherzer","WSN",200.2,94.02835484441302,,87.91899063818565,,,93.4516875877809,85.38536704458842,77.35960477941177,,,84.63763995181407,,,"Max Scherzer",3137,453286
"David Price","BOS",74.2,94.17954323508523,,88.65115121694711,,,94.35800130208334,,,79.67662226689326,,85.82541517394682,,,"David Price",3184,456034
"Will Harris","HOU",45.1,92.45881922104779,,91.58522727272727,,,,,81.43124624399039,,,,,,"Will Harris",3192,501789
"Chris Young","KCR",30,86.92488997680131,,,,,,81.96402511344884,,,,82.79999732971191,,,"Chris Young",3196,432934
