Name,Team,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,RAR,WAR,Dollars,NameASCII,PlayerId,MLBAMID
"Chris Sale","BOS",7.187356948852539,-0.18726997077465057,-0.24646468460559845,-0.433734655380249,68.91178894042969,7.621091842651367,60.96873474121094,"Chris Sale",10603,519242
"Corey Kluber","CLE",8.47903823852539,1.1920326948165894,0.0748656839132309,1.2668983936309814,64.93423461914062,7.21213960647583,57.69711685180664,"Corey Kluber",2429,446372
"Max Scherzer","WSN",7.445509910583496,2.0696959495544434,-1.055902123451233,1.0137938261032104,58.8872184753418,6.431716442108154,51.453731536865234,"Max Scherzer",3137,453286
"Stephen Strasburg","WSN",6.366052150726318,0.9905513525009155,-0.5207149386405945,0.46983638405799866,53.77085494995117,5.896215915679932,47.16972732543945,"Stephen Strasburg",10131,544931
"Luis Severino","NYY",5.351029396057129,1.03843355178833,-1.2850167751312256,-0.2465832233428955,52.43992614746094,5.5976128578186035,44.78090286254883,"Luis Severino",15890,622663
"Carlos Carrasco","CLE",6.041207790374756,-0.43192848563194275,1.0985199213027954,0.666591465473175,50.80349349975586,5.3746161460876465,42.99692916870117,"Carlos Carrasco",6632,471911
"Zack Greinke","ARI",5.344470024108887,0.6633498668670654,-0.1765972226858139,0.4867526590824127,46.178226470947266,4.857717514038086,38.86174011230469,"Zack Greinke",1943,425844
"Jimmy Nelson","MIL",3.921049118041992,-1.531227707862854,0.63655686378479,-0.8946709036827087,45.2069091796875,4.815720081329346,38.525760650634766,"Jimmy Nelson",10547,519076
"Aaron Nola","PHI",4.528110980987549,-0.3271333575248718,0.3086647689342499,-0.018468592315912247,42.67763900756836,4.546579360961914,36.37263488769531,"Aaron Nola",16149,605400
"Chris Archer","TBR",2.5143511295318604,-1.2370374202728271,-0.7341896295547485,-1.9712269306182861,43.36760711669922,4.4855780601501465,35.88462448120117,"Chris Archer",6345,502042
"James Paxton","SEA",3.884500026702881,-0.09693477302789688,-0.43105971813201904,-0.5279945135116577,41.03617477416992,4.412494659423828,35.299957275390625,"James Paxton",11828,572020
"Clayton Kershaw","LAD",6.256272792816162,1.33639657497406,0.5726411938667297,1.9090378284454346,41.11508560180664,4.347234725952148,34.77787780761719,"Clayton Kershaw",2036,477132
"Justin Verlander","- - -",5.836793899536133,1.2052369713783264,0.4846472293138504,1.6898842453956604,40.174076080322266,4.146909713745117,33.17527770996094,"Justin Verlander",8700,434378
"Jacob deGrom","NYM",3.594768524169922,-0.18213026225566864,-0.3676512539386749,-0.5497815012931824,39.97620391845703,4.144550323486328,33.156402587890625,"Jacob deGrom",10954,594798
"Jose Quintana","- - -",2.9417147636413574,-0.09413054771721363,-0.9963563084602356,-1.090486854314804,38.94148635864258,4.032201528549194,32.257612228393555,"Jose Quintana",11423,500779
"Gio Gonzalez","WSN",6.677900791168213,1.9406712055206299,0.945345938205719,2.886017084121704,36.90741729736328,3.7918834686279297,30.335067749023438,"Gio Gonzalez",7448,461829
"Jeff Samardzija","SFG",2.141284704208374,-0.1287599503993988,-1.500480055809021,-1.6292399168014526,36.788448333740234,3.770524501800537,30.164196014404297,"Jeff Samardzija",3254,502188
"Yu Darvish","- - -",4.244647204875946,0.5081987231969833,0.062445249408483505,0.5706439753994346,35.8403844833374,3.67400324344635,29.3920259475708,"Yu Darvish",13074,506433
"Michael Fulmer","DET",2.8650031089782715,0.9635511040687561,-1.7342350482940674,-0.7706839442253113,35.0267448425293,3.6356871128082275,29.08549690246582,"Michael Fulmer",13218,605242
"Danny Duffy","KCR",3.044935941696167,-0.4256526231765747,-0.12336980551481247,-0.5490224361419678,34.364990234375,3.5939583778381348,28.751667022705078,"Danny Duffy",3542,518633
"Zack Godley","ARI",4.18105310946703,0.6456098034977913,0.08406464383006096,0.7296744342893362,33.125599682331085,3.4513787366449833,27.611029893159866,"Zack Godley",14862,643327
"Kenley Jansen","LAD",3.375532388687134,0.08883803337812424,-0.1461257040500641,-0.05728766322135925,33.46491241455078,3.4328198432922363,27.46255874633789,"Kenley Jansen",3096,445276
"Marcus Stroman","TOR",4.8264031410217285,-0.6443572044372559,2.0696535110473633,1.4252963066101074,33.6362419128418,3.401106595993042,27.208852767944336,"Marcus Stroman",13431,573186
"Gerrit Cole","PIT",3.220458507537842,0.10101553052663803,-0.26625123620033264,-0.165235698223114,33.299739837646484,3.3856942653656006,27.085554122924805,"Gerrit Cole",13125,543037
"Jon Gray","COL",3.2435178756713867,-0.8165696859359741,0.7544019818305969,-0.06216767057776451,30.90230941772461,3.305685520172119,26.445484161376953,"Jon Gray",14916,592351
"Robbie Ray","ARI",5.324546813964844,0.9521350264549255,1.0777117013931274,2.029846668243408,31.940807342529297,3.2946999073028564,26.35759925842285,"Robbie Ray",11486,592662
"Brad Peacock","HOU",3.3641315698623657,0.2833119947463274,-0.13743781670928001,0.14587418735027313,30.8744056224823,3.2182574570178986,25.74605965614319,"Brad Peacock",5401,502748
"Craig Kimbrel","BOS",3.662087917327881,0.2789746820926666,0.17638133466243744,0.45535603165626526,31.551809310913086,3.2067317962646484,25.653854370117188,"Craig Kimbrel",6655,518886
"Carlos Martinez","STL",3.4950501918792725,0.7555699348449707,-0.4529813826084137,0.3025885224342346,31.54024887084961,3.1924617290496826,25.53969383239746,"Carlos Martinez",11682,593372
"Jameson Taillon","PIT",1.7190555334091187,-1.740073561668396,0.2878056466579437,-1.4522680044174194,30.418609619140625,3.171323537826538,25.370588302612305,"Jameson Taillon",11674,592791
"Chase Anderson","MIL",4.679165363311768,1.150613784790039,0.3672831356525421,1.5178968906402588,30.416133880615234,3.1612682342529297,25.290145874023438,"Chase Anderson",6895,502624
"Alex Wood","LAD",4.407456427812576,1.2069182693958282,0.05309450626373291,1.2600127905607224,30.478792548179626,3.1474435329437256,25.179548263549805,"Alex Wood",13781,622072
"Michael Wacha","STL",2.094576120376587,-1.0578323602676392,0.025366177782416344,-1.032466173171997,30.53898048400879,3.127042293548584,25.016338348388672,"Michael Wacha",14078,608379
"Charlie Morton","HOU",2.6300745010375977,0.0717938169836998,-0.5437316298484802,-0.4719378352165222,30.148752212524414,3.1020123958587646,24.816099166870117,"Charlie Morton",4676,450203
"Patrick Corbin","ARI",2.9381469190120697,-1.125816204585135,1.028061881661415,-0.0977543443441391,29.954868584871292,3.0359011804684997,24.287209443747997,"Patrick Corbin",9323,571578
"Drew Pomeranz","BOS",4.493419647216797,-0.513516902923584,2.0457160472869873,1.5321990251541138,29.330875396728516,2.9612205028533936,23.68976402282715,"Drew Pomeranz",11426,519141
"Roberto Osuna","TOR",1.2654286623001099,0.10678532719612122,-1.7892597913742065,-1.6824744939804077,29.08342742919922,2.9479031562805176,23.58322525024414,"Roberto Osuna",13764,532077
"Mike Leake","- - -",2.3082170486450195,-0.4647323191165924,-0.1511659398674965,-0.6158982515335083,28.17068576812744,2.924115300178528,23.392922401428223,"Mike Leake",10130,502190
"J.A. Happ","TOR",2.964176893234253,-0.20255181193351746,0.30152687430381775,0.0989750549197197,28.025400161743164,2.865201950073242,22.921615600585938,"J.A. Happ",7410,457918
"Jon Lester","CHC",1.6538190841674805,-0.396037757396698,-0.8096051216125488,-1.205642819404602,28.26578140258789,2.859462022781372,22.875696182250977,"Jon Lester",4930,452657
"Lance McCullers Jr.","HOU",1.2249581813812256,-0.9200399518013,-0.6935585141181946,-1.6135984659194946,27.371355056762695,2.8385565280914307,22.708452224731445,"Lance McCullers Jr.",14120,621121
"Trevor Bauer","CLE",2.934411570429802,-1.4741861075162888,1.5965194553136826,0.12233329610899091,27.973170042037964,2.8120781034231186,22.49662482738495,"Trevor Bauer",12703,545333
"Dylan Bundy","BAL",2.937523365020752,0.8965270519256592,-0.7371934652328491,0.15933363139629364,27.54552459716797,2.7781896591186523,22.22551727294922,"Dylan Bundy",12917,605164
"Tanner Roark","WSN",1.4415427818894386,0.02323349053040147,-1.3365302681922913,-1.3132967203855515,27.233326425310224,2.754839625384193,22.038717003073543,"Tanner Roark",8753,543699
"Corey Knebel","MIL",4.023024559020996,-0.1636022925376892,1.435922622680664,1.27232027053833,27.107120513916016,2.750704526901245,22.00563621520996,"Corey Knebel",15010,608349
"Sonny Gray","- - -",2.403452157974243,1.014562964439392,-1.357011005282402,-0.3424481153488159,26.8126220703125,2.745900332927704,21.96720266342163,"Sonny Gray",12768,543243
"José Berríos","MIN",2.3088440746068954,0.23910481482744217,-0.6514362245798111,-0.412331435829401,26.75213861465454,2.721175692975521,21.76940554380417,"Jose Berrios",14168,621244
"Ervin Santana","MIN",5.266170024871826,2.56974458694458,-0.018561936914920807,2.551182746887207,27.349218368530273,2.71498703956604,21.71989631652832,"Ervin Santana",3200,429722
"Zach Davies","MIL",3.422226667404175,-0.08029639720916748,0.8180876970291138,0.7377912998199463,26.73246192932129,2.6844353675842285,21.475482940673828,"Zach Davies",13183,605200
"Masahiro Tanaka","NYY",1.5056893825531006,-0.3315247595310211,-0.7590122222900391,-1.0905369520187378,25.956165313720703,2.596226215362549,20.76980972290039,"Masahiro Tanaka",15764,547888
"Marco Estrada","TOR",1.5563533306121826,0.08309704065322876,-1.1138529777526855,-1.0307559967041016,25.94659423828125,2.587109327316284,20.696874618530273,"Marco Estrada",1118,462136
"Pat Neshek","- - -",2.74010306596756,0.13817299157381058,0.02214181423187256,0.16031482815742493,25.311664581298828,2.5797882080078125,20.6383056640625,"Pat Neshek",4682,450212
"Kevin Gausman","BAL",2.2856531143188477,-1.6901934146881104,1.4147591590881348,-0.2754342257976532,25.708881378173828,2.5610873699188232,20.488698959350586,"Kevin Gausman",14107,592332
"Jordan Montgomery","NYY",2.767153739929199,0.7568399906158447,-0.5444316267967224,0.21240836381912231,25.371002197265625,2.5547451972961426,20.43796157836914,"Jordan Montgomery",16511,656756
"Jake Arrieta","CHC",2.6842963695526123,0.8317204713821411,-0.6690443158149719,0.1626761555671692,25.01626205444336,2.521620035171509,20.17296028137207,"Jake Arrieta",4153,453562
"Trevor Williams","PIT",2.298367217183113,0.34770607482641935,-0.5642300024628639,-0.2165239229798317,24.57457584142685,2.514891318976879,20.119130551815033,"Trevor Williams",16977,592866
"Kyle Hendricks","CHC",4.299262046813965,0.6539647579193115,1.1322216987609863,1.7861864566802979,24.60234260559082,2.513075590133667,20.104604721069336,"Kyle Hendricks",12049,543294
"Taijuan Walker","ARI",2.848203659057617,0.35814550518989563,0.03140553459525108,0.389551043510437,24.325544357299805,2.4586527347564697,19.669221878051758,"Taijuan Walker",11836,592836
"Germán Márquez","COL",3.3886475563049316,-0.5193537473678589,1.4672598838806152,0.9479060769081116,24.206226348876953,2.440741539001465,19.52593231201172,"German Marquez",15038,608566
"Chad Green","NYY",2.6074587032198906,0.6182093173265457,-0.4256845638155937,0.1925247609615326,23.41951858997345,2.4149339720606804,19.319471776485443,"Chad Green",15552,643338
"Jhoulys Chacín","SDP",3.0444087982177734,1.2191880941390991,-0.5040289759635925,0.7151590585708618,23.308225631713867,2.329249620437622,18.633996963500977,"Jhoulys Chacin",2608,468504
"Jason Hammel","KCR",1.1339794397354126,-0.9525304436683655,-0.21444368362426758,-1.1669741868972778,23.188823699951172,2.3009536266326904,18.407629013061523,"Jason Hammel",4538,434628
"Rich Hill","LAD",3.118492364883423,1.0690817832946777,-0.23808221518993378,0.8309996128082275,22.529678344726562,2.2874927520751953,18.299942016601562,"Rich Hill",4806,448179
"Dallas Keuchel","HOU",4.230660438537598,1.4174866676330566,0.5369288921356201,1.9544155597686768,22.631147384643555,2.2762451171875,18.2099609375,"Dallas Keuchel",9434,572971
"Felipe Vázquez","PIT",2.769360303878784,0.9761452674865723,-0.476881742477417,0.4992635250091553,22.3557186126709,2.270096778869629,18.16077423095703,"Felipe Vazquez",12076,553878
"Andrew Miller","CLE",3.0517866611480713,0.5738260746002197,0.2114376574754715,0.7852637767791748,22.380268096923828,2.2665228843688965,18.132183074951172,"Andrew Miller",6785,453192
"Alex Cobb","TBR",3.498676300048828,0.6634189486503601,0.5965183973312378,1.2599374055862427,22.590299606323242,2.238739013671875,17.909912109375,"Alex Cobb",6562,502171
"Andrew Cashner","TEX",4.15084171295166,1.2383259534835815,0.6837286353111267,1.9220545291900635,22.399980545043945,2.2287871837615967,17.830297470092773,"Andrew Cashner",8782,488768
"Martín Pérez","TEX",2.17909574508667,-1.3941407203674316,1.352310299873352,-0.04183041676878929,22.455646514892578,2.220926284790039,17.767410278320312,"Martin Perez",6902,527048
"Iván Nova","PIT",2.389841318130493,0.07514645904302597,0.09417105466127396,0.16931751370429993,22.324031829833984,2.2205238342285156,17.764190673828125,"Ivan Nova",1994,467100
"Mike Minor","KCR",2.5736963748931885,0.3265543282032013,0.030387895181775093,0.35694220662117004,21.94709587097168,2.216754198074341,17.734033584594727,"Mike Minor",10021,501985
"Sean Manaea","OAK",1.1367961168289185,-0.8220692873001099,-0.2412986159324646,-1.0633679628372192,22.072938919067383,2.2001640796661377,17.6013126373291,"Sean Manaea",15873,640455
"Chad Kuhl","PIT",2.0484557151794434,-0.7389709949493408,0.5981553792953491,-0.1408156156539917,21.826465606689453,2.1892714500427246,17.514171600341797,"Chad Kuhl",14975,641771
"Brandon McCarthy","LAD",1.2455528378486633,-0.06863726675510406,-0.8748427629470825,-0.9434799998998642,20.973498106002808,2.1890328377485275,17.51226270198822,"Brandon McCarthy",4662,435221
"Anthony Swarzak","- - -",2.706681549549103,0.12890860624611378,0.39332789182662964,0.5222365111112595,21.584916591644287,2.1844451427459717,17.475561141967773,"Anthony Swarzak",7466,461872
"Clayton Richard","SDP",0.7638001441955566,-2.5331335067749023,1.1200186014175415,-1.4131149053573608,21.97345733642578,2.176915168762207,17.415321350097656,"Clayton Richard",3551,453385
"Danny Salazar","CLE",1.5630200952291489,-0.8677281998097897,0.2814279533922672,-0.5863002752885222,21.011426091194153,2.1493203043937683,17.194562435150146,"Danny Salazar",5867,517593
"Tommy Kahnle","- - -",1.5430224537849426,-0.7337671518325806,0.14300581812858582,-0.5907613709568977,21.08786153793335,2.1337838172912598,17.070270538330078,"Tommy Kahnle",11384,592454
"Mike Clevinger","CLE",3.406881108880043,0.5489658936858177,0.7839007526636124,1.3328665867447853,20.307902812957764,2.0740143954753876,16.5921151638031,"Mike Clevinger",12808,605182
"Josh Tomlin","CLE",1.3067774772644043,-1.0832546949386597,0.3320103585720062,-0.7512443661689758,20.58698272705078,2.0580217838287354,16.464174270629883,"Josh Tomlin",9388,458708
"Matthew Boyd","DET",0.5929334368556738,-1.119447249919176,-0.34271906316280365,-1.4621662851423025,20.495740696787834,2.055099662276916,16.44079729821533,"Matthew Boyd",15440,571510
"Yusmeiro Petit","LAA",1.6523956060409546,0.5091000963002443,-0.9089391678571701,-0.39983904361724854,19.965796947479248,2.0522346794605255,16.417877435684204,"Yusmeiro Petit",4020,433589
"Archie Bradley","ARI",3.410949230194092,0.3039827048778534,1.062324047088623,1.3663067817687988,20.141765594482422,2.044642686843872,16.357141494750977,"Archie Bradley",12918,605151
"Kyle Freeland","COL",3.2668016254901886,-0.2832377552986145,1.518678104504943,1.2354403622448444,20.30535101890564,2.0313612669706345,16.250890135765076,"Kyle Freeland",16256,607536
"Jerad Eickhoff","PHI",1.0337170362472534,-0.8594544529914856,-0.12987039983272552,-0.9893248677253723,20.013940811157227,2.0230419635772705,16.184335708618164,"Jerad Eickhoff",12664,595191
"Rick Porcello","BOS",1.1244492530822754,-1.247384786605835,0.35189351439476013,-0.8954912424087524,20.625675201416016,2.0199403762817383,16.159523010253906,"Rick Porcello",2717,519144
"Dan Straily","MIA",2.2128493785858154,0.5252169966697693,-0.31299057602882385,0.21222645044326782,20.17860984802246,2.0006227493286133,16.004981994628906,"Dan Straily",9460,573185
"Eduardo Rodriguez","BOS",2.345328126102686,-0.06289091147482395,0.41519815288484097,0.35230723256245255,19.936872512102127,1.9930208623409271,15.944166898727417,"Eduardo Rodriguez",13164,593958
"Ryan Madson","- - -",2.3801597356796265,0.3704550862312317,0.060340654104948044,0.43079574033617973,19.19703483581543,1.9493639469146729,15.594911575317383,"Ryan Madson",1852,425492
"Jaime García","- - -",1.5488716661930084,-0.08556362986564636,-0.31269529461860657,-0.3982589319348335,19.391876935958862,1.9471306502819061,15.577045202255249,"Jaime Garcia",8137,448802
"Raisel Iglesias","CIN",2.446438789367676,0.13384802639484406,0.430796355009079,0.5646443963050842,18.537424087524414,1.8817943334579468,15.054354667663574,"Raisel Iglesias",17130,628452
"David Robertson","- - -",2.855846881866455,0.8627613186836243,0.13031216338276863,0.9930734932422638,18.456573486328125,1.8627734780311584,14.902187824249268,"David Robertson",8241,502085
"Luis Castillo","CIN",2.8469743728637695,0.9818583726882935,0.0029651427175849676,0.9848235249519348,17.996421813964844,1.8621509075164795,14.897207260131836,"Luis Castillo",15689,622491
"Mike Foltynewicz","ATL",1.461542684584856,-0.852878101170063,0.5052682440727949,-0.34760982915759087,18.17638533934951,1.809152543079108,14.473220344632864,"Mike Foltynewicz",10811,592314
"Joe Smith","- - -",1.1727255582809448,-0.36410706862807274,-0.2633873298764229,-0.6274944245815277,17.840478897094727,1.800220012664795,14.40176010131836,"Joe Smith",3281,501925
"Sean Doolittle","- - -",1.3865968585014343,0.5359858870506287,-0.9452461898326874,-0.4092603474855423,17.73564338684082,1.7958571910858154,14.366857528686523,"Sean Doolittle",1581,448281
"Jason Vargas","KCR",3.54704213142395,0.3055783808231354,1.4500006437301636,1.7555789947509766,18.268699645996094,1.791463017463684,14.331704139709473,"Jason Vargas",8044,450306
"Ken Giles","HOU",2.1943271160125732,0.041088320314884186,0.3621033728122711,0.4031916856765747,17.787967681884766,1.791135549545288,14.329084396362305,"Ken Giles",12910,571704
