Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Pedro Báez","LAD",64,0.29584775,0.76677852,0.53492334,0.58479532,0.74617068,0.7022293,0.5076661,28.87137891,"Pedro Baez",5420,520980
"José Alvarado","TBR",29.2,0.25462963,0.61382114,0.44588745,0.58181818,0.80794702,0.74757282,0.53246753,28.49107143,"Jose Alvarado",17780,621237
"Brad Hand","SDP",79.1,0.28264463,0.62479062,0.45257903,0.43859649,0.82841823,0.70588235,0.49667221,28.29095074,"Brad Hand",9111,543272
"Joaquín Benoit","- - -",50.1,0.31235955,0.74278846,0.5203252,0.60431655,0.80582524,0.74330357,0.48315912,28.26273885,"Joaquin Benoit",1437,276542
"Cory Gearrin","SFG",68,0.23984526,0.62773723,0.43943662,0.54032258,0.81976744,0.7457265,0.51455399,28.1500664,"Cory Gearrin",7947,518715
"Greg Holland","COL",57.1,0.28735632,0.5950783,0.44331066,0.384,0.78571429,0.657289,0.50680272,28.10618067,"Greg Holland",7196,518813
"Blake Parker","LAA",67.1,0.29643527,0.65583174,0.47443182,0.51265823,0.80174927,0.71057884,0.49526515,28.10387985,"Blake Parker",5224,453284
"Francisco Rodríguez","DET",25.1,0.18974359,0.58898305,0.40835267,0.54054054,0.82014388,0.76136364,0.54756381,27.99675325,"Francisco Rodriguez",1642,408061
"Darren O'Day","BAL",60.1,0.29941292,0.61663286,0.45517928,0.59477124,0.84210526,0.75929978,0.49103586,27.87416332,"Darren O'Day",3321,503285
"Cam Bedrosian","LAA",44.2,0.28346457,0.61256545,0.44823067,0.4537037,0.82905983,0.71052632,0.50065531,27.72924188,"Cam Bedrosian",13360,592135
"Bud Norris","LAA",62,0.26758148,0.68774704,0.46280992,0.46794872,0.83908046,0.72420635,0.46464646,27.69625,"Bud Norris",9492,502032
"Chris Beck","CHW",64.2,0.21153846,0.6932409,0.45343777,0.66942149,0.8825,0.83301344,0.50217581,27.67105263,"Chris Beck",13418,571476
"Matt Barnes","BOS",69.2,0.24363057,0.63986014,0.4325,0.47058824,0.82513661,0.72061657,0.47666667,27.62905028,"Matt Barnes",12863,598264
"Joe Kelly","BOS",58,0.28373016,0.65830116,0.47358121,0.65734266,0.81818182,0.77066116,0.50684932,27.58616188,"Joe Kelly",9761,523260
"Junichi Tazawa","MIA",55.1,0.27868852,0.70613108,0.48907388,0.63235294,0.89221557,0.81702128,0.49219563,27.48876404,"Junichi Tazawa",4079,547749
