Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Tommy Hunter","PHI",24.2,1.7604753375053406,,0.5295934484285467,,,0.0008023186036717823,,0.5280997878626773,,,,,,"Tommy Hunter",1157,488984
"Zack Greinke","HOU",67,-0.6850750168408354,,,,,17.22472310066223,0.4153983382617726,2.2247486232970815,12.18643307685852,1.3027086853981018,2.654682151202498,,,"Zack Greinke",1943,425844
"Clayton Kershaw","LAD",58.1,1.022164092576208,,,,,,2.2910935155461343,0.7596063042829138,,,-2.4000927805900574,,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",65.2,-1.0349602200264154,,0.47344226792384764,,,-0.2207338809967041,,3.088371137554726,,,-2.014589568843012,,,"Adam Wainwright",2233,425794
"Héctor Rondón","ARI",20,-3.3388774432436956,,,,,-2.157786415844429,0.0038739267943633925,,,,-2.113498960222517,,,"Hector Rondon",2391,444468
"Lance Lynn","TEX",84,0.7298503603254046,,0.8214926948181737,,,1.3073480318463038,,0.15316936148314916,-4.562771982616849,,-2.955403072493417,,,"Lance Lynn",2520,458681
"Rick Porcello","NYM",59,0.16096975039509895,,,,,-0.7508483308596372,0.3218056225195164,-1.3020751476287842,,,-1.8234756685072375,,,"Rick Porcello",2717,519144
"Kenley Jansen","LAD",24.1,,,0.5789198305295862,,,0.8664262576366034,2.29706043420836,,,,,,,"Kenley Jansen",3096,445276
"Max Scherzer","WSN",67.1,0.26792336962983604,,0.6580489822941967,,,,2.6534404510106793,-2.8403353691101074,,,-3.205340916348487,,,"Max Scherzer",3137,453286
"T.J. McFarland","OAK",20.2,,,,,,-0.8695740290362426,-3.445546137980926,,,,-0.5708104913884943,,,"T.J. McFarland",3237,519008
"Aníbal Sánchez","WSN",53,-3.677895232921338,,-0.9706010860679425,2.0119264353290465,,-5.349022382265561,,-2.3905483881632485,,,-1.8552528487311468,,,"Anibal Sanchez",3284,434671
"Danny Duffy","KCR",56.1,0.5578409870137196,,,,,-1.970470205266425,0.11801455675819773,-0.3640179095187582,,,0.6514389481809404,,,"Danny Duffy",3542,518633
"Liam Hendriks","OAK",25.1,3.1314794833843522,,,,,,2.774352271382402,4.366541825808012,,,-1.2000463902950287,,,"Liam Hendriks",3548,521230
"Yusmeiro Petit","OAK",21.2,2.0027536064831177,,0.790160165892707,,,,,-7.688055318944595,,,5.307320126316004,,,"Yusmeiro Petit",4020,433589
"Derek Holland","PIT",40.2,0.37893682070400403,,,,,-0.9828999400519716,,,-2.3241429186579006,,1.879199821016063,,,"Derek Holland",4141,502706
"Jake Arrieta","PHI",44.1,1.219844321409861,,,,,-1.5356705063267757,2.231873421979374,1.772918566217962,,,-1.0430346573552778,,,"Jake Arrieta",4153,453562
"Rafael Dolis","TOR",24,1.8755055963993073,,,1.2441059211631875,,0.629797399756443,3.449500742412749,,,,,,,"Rafael Dolis",4185,503569
"Mark Melancon","ATL",22.2,-7.8234414259592695,,0.5537292260802195,1.165376678109169,,,,,2.962985492887951,,,,,"Mark Melancon",4264,453343
