Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,NameASCII,PlayerId,MLBAMID
"Tommy Hunter","PHI",24.2,0.14083802700042725,,0.7202470898628235,,,0.0013719648122787476,,0.5016947984695435,,,,,,"Tommy Hunter",1157,488984
"Zack Greinke","HOU",67,-3.3500168323516846,,,,,0.17224723100662231,0.7061771750450134,3.581845283508301,0.609321653842926,0.026054173707962036,6.158862590789795,,,"Zack Greinke",1943,425844
"Clayton Kershaw","LAD",58.1,3.7104556560516357,,,,,,8.156292915344238,1.2685425281524658,,,-0.04800185561180115,,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",65.2,-0.8900657892227173,,1.0084320306777954,,,-0.5562493801116943,,10.994601249694824,,,-0.4633556008338928,,,"Adam Wainwright",2233,425794
"Héctor Rondón","ARI",20,-6.377255916595459,,,,,-0.8846924304962158,0.0055784545838832855,,,,-0.29588985443115234,,,"Hector Rondon",2391,444468
"Lance Lynn","TEX",84,5.108952522277832,,2.571272134780884,,,3.2945170402526855,,0.1822715401649475,-0.41064947843551636,,-0.41375643014907837,,,"Lance Lynn",2520,458681
"Rick Porcello","NYM",59,0.1657988429069519,,,,,-3.14605450630188,0.923582136631012,-0.6510375738143921,,,-2.2611098289489746,,,"Rick Porcello",2717,519144
"Kenley Jansen","LAD",24.1,,,1.5978187322616577,,,1.1003613471984863,0.9877359867095947,,,,,,,"Kenley Jansen",3096,445276
"Max Scherzer","WSN",67.1,1.4950124025344849,,0.7699173092842102,,,,6.20905065536499,-3.124368906021118,,,-6.2183613777160645,,,"Max Scherzer",3137,453286
"T.J. McFarland","OAK",20.2,,,,,,-1.7217565774917603,-2.687525987625122,,,,-0.3139457702636719,,,"T.J. McFarland",3237,519008
"Aníbal Sánchez","WSN",53,-9.636085510253906,,-2.19355845451355,5.693751811981201,,-4.118747234344482,,-1.4343290328979492,,,-1.1688092947006226,,,"Anibal Sanchez",3284,434671
"Danny Duffy","KCR",56.1,2.0249627828598022,,,,,-2.778362989425659,0.19118358194828033,-0.48414381965994835,,,0.9380720853805542,,,"Danny Duffy",3542,518633
"Liam Hendriks","OAK",25.1,8.141846656799316,,,,,,2.2749688625335693,1.135300874710083,,,-0.024000927805900574,,,"Liam Hendriks",3548,521230
"Yusmeiro Petit","OAK",21.2,2.683689832687378,,0.7111441493034363,,,,,-2.613938808441162,,,3.025172472000122,,,"Yusmeiro Petit",4020,433589
"Derek Holland","PIT",40.2,0.08715546876192093,,,,,-3.076476812362671,,,-6.228703022003174,,2.1610797941684723,,,"Derek Holland",4141,502706
"Jake Arrieta","PHI",44.1,0.03659532964229584,,,,,-5.835547924041748,3.7718660831451416,0.93964684009552,,,-1.2933629751205444,,,"Jake Arrieta",4153,453562
