Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Tommy Hunter","PHI",24.2,92.73749542236328,,90.41911764705883,,,92.64561631944444,,82.3389494243421,,,,,,"Tommy Hunter",1157,488984
"Zack Greinke","HOU",67,87.0488720603272,,,,,89.69999694824219,84.45,70.5596309685559,63.6800048828125,53.150001525878906,86.18017578125,,,"Zack Greinke",1943,425844
"Clayton Kershaw","LAD",58.1,91.56060606060606,,,,,,87.86376404494382,74.1437125748503,,,86.9000015258789,,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",65.2,89.15930459665698,,85.01267238849765,,,89.27539837549604,,73.49269772647472,,,81.84782608695652,,,"Adam Wainwright",2233,425794
"Héctor Rondón","ARI",20,95.66387843586388,,,,,95.34390482088415,85.38680691189236,,,,88.32856968470982,,,"Hector Rondon",2391,444468
"Lance Lynn","TEX",84,93.99328125,,89.4185303514377,,,91.96864924355158,,83.93949415703781,78.9888916015625,,85,,,"Lance Lynn",2520,458681
"Rick Porcello","NYM",59,91.55243097694175,,,,,90.06061679594272,86.24076518945994,74.93,,,81.81290165070564,,,"Rick Porcello",2717,519144
"Kenley Jansen","LAD",24.1,,,90.8876811594203,,,92.34173535925197,81.6000011355378,,,,,,,"Kenley Jansen",3096,445276
"Max Scherzer","WSN",67.1,94.65322580645162,,91.12136919070512,,,,85.46068709935898,77.13454367897727,,,84.91803922358247,,,"Max Scherzer",3137,453286
"T.J. McFarland","OAK",20.2,,,,,,88.46111505681819,78.25256660657051,,,,81.8236328125,,,"T.J. McFarland",3237,519008
"Aníbal Sánchez","WSN",53,89.2889283158397,,87.41726009402655,81.80530173365725,,89.57012860186688,,76.32666829427083,,,69.58412388392857,,,"Anibal Sanchez",3284,434671
"Danny Duffy","KCR",56.1,92.166944267336,,,,,92.11205535239361,82.60432339891975,75.51729176456767,,,83.87083201938205,,,"Danny Duffy",3542,518633
"Liam Hendriks","OAK",25.1,96.02192007211538,,,,,,86.75244140625,83.88076547475961,,,90.4000015258789,,,"Liam Hendriks",3548,521230
"Yusmeiro Petit","OAK",21.2,88.14477903451493,,84.42888997395833,,,,,74.29999856387867,,,81.25087376644737,,,"Yusmeiro Petit",4020,433589
"Derek Holland","PIT",40.2,92.13912963867188,,,,,92.31373552316293,,,80.71679323111007,,84.34087126358696,,,"Derek Holland",4141,502706
