Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
"Tommy Hunter","PHI",24.2,0.0195122,,0.33170732,,,0.41707317,,0.23170732,,,,,,,"Tommy Hunter",1157,488984
"Zack Greinke","HOU",67,0.46132075,,,,,0.0009434,0.16037736,0.15188679,0.00471698,0.00188679,0.21886792,,,,"Zack Greinke",1943,425844
"Clayton Kershaw","LAD",58.1,0.40878378,,,,,,0.4009009,0.18806306,,,0.00225225,,,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",65.2,0.09247312,,0.22903226,,,0.27096774,,0.3827957,,,0.02473118,,,,"Adam Wainwright",2233,425794
"Héctor Rondón","ARI",20,0.48974359,,,,,0.10512821,0.36923077,,,,0.03589744,,,,"Hector Rondon",2391,444468
"Lance Lynn","TEX",84,0.49751244,,0.22245913,,,0.17910448,,0.08457711,0.00639659,,0.00995025,,,,"Lance Lynn",2520,458681
"Rick Porcello","NYM",59,0.10478128,,,,,0.42624619,0.29196338,0.0508647,,,0.12614446,,,,"Rick Porcello",2717,519144
"Kenley Jansen","LAD",24.1,,,0.61883408,,,0.28475336,0.09641256,,,,,,,,"Kenley Jansen",3096,445276
"Max Scherzer","WSN",67.1,0.46001649,,0.09645507,,,,0.19291014,0.09068425,,,0.15993405,,,,"Max Scherzer",3137,453286
"T.J. McFarland","OAK",20.2,,,,,,0.59818731,0.23564955,,,,0.16616314,,,,"T.J. McFarland",3237,519008
"Aníbal Sánchez","WSN",53,0.26982492,,0.23274974,0.29145211,,0.07929969,,0.06179197,,,0.06488157,,,,"Anibal Sanchez",3284,434671
"Danny Duffy","KCR",56.1,0.38494168,,,,,0.1495228,0.17179215,0.14103924,,,0.15270414,,,,"Danny Duffy",3542,518633
"Liam Hendriks","OAK",25.1,0.7027027,,,,,,0.22162162,0.07027027,,,0.00540541,,,,"Liam Hendriks",3548,521230
"Yusmeiro Petit","OAK",21.2,0.42539683,,0.28571429,,,,,0.10793651,,,0.18095238,,,,"Yusmeiro Petit",4020,433589
"Derek Holland","PIT",40.2,0.03198887,,,,,0.43532684,,,0.37273992,,0.15994437,,,,"Derek Holland",4141,502706
"Jake Arrieta","PHI",44.1,0.00411523,,,,,0.521262,0.23182442,0.07270233,,,0.17009602,,,,"Jake Arrieta",4153,453562
"Rafael Dolis","TOR",24,0.00483092,,,0.18599034,,0.60628019,0.20289855,,,,,,,,"Rafael Dolis",4185,503569
