Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Shane Bieber","CLE",8,1,1.629310130506038,12,12,10,0,0,0,0,0,77.1,297,46,15,14,7,21,0,1,5,0,122,"Shane Bieber",19427,669456
"Jacob deGrom","NYM",4,2,2.3823529411764706,12,12,8,0,0,0,0,0,68,268,47,21,18,7,18,0,0,4,0,104,"Jacob deGrom",10954,594798
"Trevor Bauer","CIN",5,4,1.7260275776513063,11,11,9,2,2,0,0,0,73,278,41,17,14,9,17,1,3,3,0,100,"Trevor Bauer",12703,545333
"Lucas Giolito","CHW",4,3,3.4838704777912928,12,12,8,1,1,0,0,0,72.1,288,47,31,28,8,28,0,2,3,0,97,"Lucas Giolito",15474,608337
"Aaron Nola","PHI",5,5,3.2803740656754017,12,12,7,2,1,0,0,0,71.1,289,54,31,26,9,23,2,2,1,0,96,"Aaron Nola",16149,605400
"Gerrit Cole","NYY",7,3,2.8356161419995303,12,12,8,2,1,0,0,0,73,288,53,27,23,14,17,0,2,2,0,94,"Gerrit Cole",13125,543037
"Yu Darvish","CHC",8,3,2.013157894736842,12,12,10,0,0,0,0,0,76,297,59,18,17,5,14,1,2,3,0,93,"Yu Darvish",13074,506433
"Dinelson Lamet","SDP",3,1,2.0869562909824215,12,12,6,0,0,0,0,0,69,267,39,18,16,5,20,0,4,1,0,93,"Dinelson Lamet",17186,659275
"Max Scherzer","WSN",5,4,3.742574540134433,12,12,6,1,0,0,0,0,67.1,295,70,30,28,10,23,1,1,6,0,92,"Max Scherzer",3137,453286
"Tyler Glasnow","TBR",5,1,4.0813948962416875,11,11,3,0,0,0,0,0,57.1,238,43,26,26,11,22,0,0,7,0,91,"Tyler Glasnow",14374,607192
"Brandon Woodruff","MIL",3,5,3.0542990642977843,13,13,6,1,0,0,0,0,73.2,293,55,26,25,9,18,0,4,1,0,91,"Brandon Woodruff",16162,605540
"Lance Lynn","TEX",6,3,3.3214285714285716,13,13,10,1,0,0,0,0,84,344,64,34,31,13,25,0,6,2,0,89,"Lance Lynn",2520,458681
"Luis Castillo","CIN",4,6,3.2142857142857144,12,12,7,1,0,0,0,0,70,292,62,31,25,5,24,0,1,1,0,89,"Luis Castillo",15689,622491
