Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
"Tommy Hunter","PHI",24.2,9.101057052612305,,6.361300300149357,,,7.3059531763980265,,-2.9432896664268093,,,,,,"Tommy Hunter",1157,488984
"Zack Greinke","HOU",67,10.1071832262909,,,,,8.59138298034668,3.651938763786765,-6.395889187451475,-7.431068420410156,7.5065717697143555,2.920477242305361,,,"Zack Greinke",1943,425844
"Clayton Kershaw","LAD",58.1,11.618875634900137,,,,,,5.080006117231391,-8.883695499625748,,,10.092145919799805,,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",65.2,8.559045835982921,,3.6752766353983275,,,6.778803265283978,,-8.112672270014045,,,4.195822010869565,,,"Adam Wainwright",2233,425794
"Héctor Rondón","ARI",20,8.994275477544175,,,,,6.933005728372714,0.1480143732494778,,,,3.1801888602120534,,,"Hector Rondon",2391,444468
"Lance Lynn","TEX",84,9.055302036830357,,4.109793861072284,,,4.3434656536768355,,-1.7685526358981092,-4.828987121582031,,5.164051055908203,,,"Lance Lynn",2520,458681
"Rick Porcello","NYM",59,9.499975111878033,,,,,6.151868287589499,4.468492674079922,-3.0458724975585936,,,4.2581959386025705,,,"Rick Porcello",2717,519144
"Kenley Jansen","LAD",24.1,,,7.907195602638134,,,10.578617125984252,-2.2090399098950764,,,,,,,"Kenley Jansen",3096,445276
"Max Scherzer","WSN",67.1,9.091690118167563,,5.223402235243055,,,,1.617460462782118,-5.139354913884943,,,1.7554818379510309,,,"Max Scherzer",3137,453286
"T.J. McFarland","OAK",20.2,,,,,,0.8849925802211569,-1.387530302390074,,,,0.6836652582341974,,,"T.J. McFarland",3237,519008
"Aníbal Sánchez","WSN",53,9.946349631739027,,7.249203302163993,4.1063275556261045,,8.664778275923295,,-1.1334330240885417,,,3.524631802997892,,,"Anibal Sanchez",3284,434671
"Danny Duffy","KCR",56.1,10.52004273469783,,,,,8.68678922179743,-0.4129412144790461,-7.574716797448639,,,6.521700806087917,,,"Danny Duffy",3542,518633
"Liam Hendriks","OAK",25.1,11.582583383413462,,,,,,2.1136683022103657,-6.305914071890024,,,8.934885025024414,,,"Liam Hendriks",3548,521230
"Yusmeiro Petit","OAK",21.2,10.33537451900653,,8.863437906901042,,,,,-0.5417590982773725,,,8.619154009902687,,,"Yusmeiro Petit",4020,433589
