Name,Team,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA,NameASCII,PlayerId,MLBAMID
"Devin Williams","MIL",27,37,83.71388753255208,100.9,109.4,2.4444444444444446,2,0.05405405,10,0.27027027,0.33333338042836796,1.4159692239485586,"Devin Williams",15816,642207
"Trevor Rosenthal","- - -",23.2,44,90.47441633357558,104.7,108.7,14.372093023255815,3,0.06818182,18,0.40909091,1.9014090381193547,1.9642433066548508,"Trevor Rosenthal",10745,572096
"Victor González","LAD",20.1,52,86.8076905470628,103.5,113.8,-2.4423076923076925,0,0,22,0.42307692,1.3278689354986557,2.0247913495946306,"Victor Gonzalez",16408,624647
"Anthony Bass","TOR",25.2,70,89.2588249655331,103.8,109.9,4.426470588235294,2,0.02857143,27,0.38571429,3.506495677957707,2.0804478037793426,"Anthony Bass",7982,542914
"Trevor Bauer","CIN",73,158,88.48598601711784,104.6,110,20.872611464968152,10,0.06329114,60,0.37974684,1.7260275776513063,2.1049643882790905,"Trevor Bauer",12703,545333
"Lucas Sims","CIN",25.2,55,87.29444263599537,101.9,107.4,18.75925925925926,1,0.01818182,19,0.34545455,2.454545880152248,2.17877735228466,"Lucas Sims",13470,608371
"James Karinchak","CLE",27,40,87.65897310697116,107.4,109.9,23.153846153846153,1,0.025,14,0.35,2.6666672318071223,2.202072141479762,"James Karinchak",20151,675916
"Chad Green","NYY",25.2,60,87.70678297139831,103.8,110.6,15.389830508474576,5,0.08333333,16,0.26666667,3.5064951568060536,2.2094829004968,"Chad Green",15552,643338
"Evan Marshall","CHW",22.2,56,88.31852213541667,105,107.3,6.703703703703703,0,0,19,0.33928571,2.38235521316745,2.330417325516839,"Evan Marshall",12297,605359
"Mike Mayers","LAA",30,68,89.04925081623135,102.8,109.3,20.104477611940297,4,0.05882353,26,0.38235294,2.100000534057753,2.3840415176052967,"Mike Mayers",15451,594577
"Liam Hendriks","OAK",25.1,52,90.217998046875,104.7,109.2,17.2,2,0.03846154,17,0.32692308,1.7763160123719683,2.402100383062934,"Liam Hendriks",3548,521230
"Jake Diekman","OAK",21.1,40,85.96316046463816,104.9,115.9,6.657894736842105,3,0.075,17,0.425,0.42187517602004004,2.4061253726989476,"Jake Diekman",5003,518617
