Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Rafael Dolis","TOR",24,0.2887931,0.57142857,0.41304348,0.44776119,0.85576923,0.69590643,0.43961353,32.03020134,"Rafael Dolis",4185,503569
"Daniel Hudson","WSN",20.2,0.24050633,0.75909091,0.54232804,0.47368421,0.79041916,0.73170732,0.58201058,29.24285714,"Daniel Hudson",7146,543339
"Alex Colomé","CHW",22.1,0.35514019,0.75657895,0.52185792,0.48684211,0.85217391,0.70680628,0.41530055,29.14015152,"Alex Colome",6661,517008
"Kyle Finnegan","WSN",24.2,0.21674877,0.66359447,0.44761905,0.47727273,0.81944444,0.7393617,0.51666667,28.88888889,"Kyle Finnegan",15009,640448
"Josh Staumont","KCR",25.2,0.26609442,0.61924686,0.44491525,0.43548387,0.74324324,0.65238095,0.50635593,28.83661972,"Josh Staumont",18335,622251
"Kenley Jansen","LAD",24.1,0.33333333,0.70434783,0.52466368,0.61111111,0.75925926,0.71367521,0.51569507,28.77643505,"Kenley Jansen",3096,445276
"Pete Fairbanks","TBR",26.2,0.31558935,0.67105263,0.48065173,0.46987952,0.75163399,0.65254237,0.46435845,28.54395604,"Pete Fairbanks",17998,664126
"A.J. Minter","ATL",21.2,0.25870647,0.73469388,0.49370277,0.55769231,0.77777778,0.71938776,0.49370277,28.50488599,"A.J. Minter",18655,621345
"Brad Hand","CLE",22,0.2345679,0.595,0.43370166,0.55263158,0.82352941,0.75796178,0.55248619,27.88970588,"Brad Hand",9111,543272
"Matt Andriese","LAA",32,0.27935223,0.65612648,0.47,0.50724638,0.89156627,0.7787234,0.506,27.78021978,"Matt Andriese",12022,542882
"Yu Darvish","CHC",76,0.30177515,0.64551084,0.49436253,0.4379085,0.80815348,0.70877193,0.56027754,27.74185766,"Yu Darvish",13074,506433
"Bryan Garcia","DET",21.2,0.25,0.75625,0.4939759,0.6744186,0.88429752,0.82926829,0.48192771,27.70338983,"Bryan Garcia",19457,650530
"Tyler Clippard","MIN",26,0.26415094,0.66176471,0.45913462,0.64285714,0.77037037,0.73298429,0.49038462,27.66559486,"Tyler Clippard",5640,461325
"Matt Barnes","BOS",23,0.31048387,0.57487923,0.43076923,0.57142857,0.84033613,0.73469388,0.45494505,27.49132948,"Matt Barnes",12863,598264
"Emilio Pagán","SDP",22,0.25,0.70053476,0.47956403,0.55555556,0.82442748,0.75568182,0.50953678,27.31021898,"Emilio Pagan",14771,641941
"Tyler Kinley","COL",23.2,0.2970297,0.65895954,0.464,0.4,0.78070175,0.64942529,0.46133333,27.11111111,"Tyler Kinley",18297,641755
"Ryan Brasier","BOS",25,0.31443299,0.7173913,0.53301887,0.42622951,0.8,0.69911504,0.54245283,27.10032362,"Ryan Brasier",5615,518489
"Shun Yamaguchi","TOR",25.2,0.27443609,0.72765957,0.48702595,0.53424658,0.8128655,0.7295082,0.46906188,26.92572944,"Shun Yamaguchi",27460,685493
"Mark Melancon","ATL",22.2,0.26086957,0.65432099,0.45820433,0.54761905,0.91509434,0.81081081,0.50154799,26.74090909,"Mark Melancon",4264,453343
"Nik Turley","PIT",21.2,0.25388601,0.61111111,0.42627346,0.55102041,0.87272727,0.77358491,0.48257373,26.72363636,"Nik Turley",5530,543867
"Jeremy Jeffress","CHC",23.1,0.21142857,0.56969697,0.38529412,0.40540541,0.91489362,0.77099237,0.48529412,26.71836735,"Jeremy Jeffress",9490,502026
"Trevor May","MIN",23.1,0.2706422,0.69791667,0.47073171,0.33898305,0.7238806,0.60621762,0.46829268,26.69480519,"Trevor May",6398,543507
"Jeurys Familia","NYM",26.2,0.24894515,0.59174312,0.41318681,0.55932203,0.81395349,0.73404255,0.47912088,26.6728972,"Jeurys Familia",5114,544727
"Ryan Pressly","HOU",21,0.3655914,0.65868263,0.50424929,0.41176471,0.80909091,0.65730337,0.47308782,26.56976744,"Ryan Pressly",7005,519151
"Matt Foster","CHW",28.2,0.25480769,0.69298246,0.48394495,0.60377358,0.76582278,0.72511848,0.52293578,26.56307692,"Matt Foster",19647,641582
"Taylor Rogers","MIN",20,0.33333333,0.62376238,0.4972067,0.48076923,0.9047619,0.78089888,0.56424581,26.46415094,"Taylor Rogers",13449,573124
