Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
"Tommy Hunter","PHI",24.2,-3.9984066486358643,,1.417766907635857,,,-8.322990194398757,,6.779398386101974,,,,,,"Tommy Hunter",1157,488984
"Zack Greinke","HOU",67,-1.0267627302610558,,,,,-8.154122352600098,3.2630758846507355,5.727979198005629,7.274391937255859,0.4004761576652527,-7.70086775154903,,,"Zack Greinke",1943,425844
"Clayton Kershaw","LAD",58.1,0.1252148841038223,,,,,,-2.166391608420383,-2.198263568078686,,,6.933563232421875,,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",65.2,-1.5720472114030706,,2.9440823407240315,,,-7.295539977058532,,9.256302394224017,,,-7.988461038340693,,,"Adam Wainwright",2233,425794
"Héctor Rondón","ARI",20,-5.104646852503272,,,,,-9.332005942740091,2.661002688937717,,,,-8.907642364501953,,,"Hector Rondon",2391,444468
"Lance Lynn","TEX",84,-4.68618408203125,,0.18476232705405726,,,-8.333644321986608,,1.459393028451615,3.6035859849717884,,-5.287299019949777,,,"Lance Lynn",2520,458681
"Rick Porcello","NYM",59,-4.769084745240443,,,,,-9.376379190595166,0.9697797290124129,5.320499877929688,,,-8.622613722278226,,,"Rick Porcello",2717,519144
"Kenley Jansen","LAD",24.1,,,3.9331687153249546,,,-4.298701729361467,3.3712438539017078,,,,,,,"Kenley Jansen",3096,445276
"Max Scherzer","WSN",67.1,-6.916864429323477,,-1.5503000112680287,,,,1.2601330096905048,7.427377596768466,,,-9.02520248570393,,,"Max Scherzer",3137,453286
"T.J. McFarland","OAK",20.2,,,,,,9.830418442234848,-3.5341370411408253,,,,8.52276611328125,,,"T.J. McFarland",3237,519008
"Aníbal Sánchez","WSN",53,-3.3085900226622136,,0.05598815141525944,-7.990984913317138,,-7.255539138595779,,2.139155069986979,,,-5.3862096392919145,,,"Anibal Sanchez",3284,434671
"Danny Duffy","KCR",56.1,3.6452951982986828,,,,,7.14131153728945,-2.3626153263044944,-4.358308949864897,,,8.273238579432169,,,"Danny Duffy",3542,518633
"Liam Hendriks","OAK",25.1,-5.121064640925481,,,,,,0.025284999754370714,1.506554970374474,,,-8.471890449523926,,,"Liam Hendriks",3548,521230
"Yusmeiro Petit","OAK",21.2,-3.1460562179337686,,-0.24223130544026691,,,,,7.177372203153722,,,-6.268380148368969,,,"Yusmeiro Petit",4020,433589
"Derek Holland","PIT",40.2,7.5451537422511885,,,,,9.72764182776308,,,0.7594953223840514,,7.521772965140965,,,"Derek Holland",4141,502706
"Jake Arrieta","PHI",44.1,-4.460711161295573,,,,,-10.027190840871711,1.1609758004634338,5.999156448076356,,,-10.364415322580646,,,"Jake Arrieta",4153,453562
"Rafael Dolis","TOR",24,-3.292459487915039,,,-5.743225493988433,,-8.365551466010956,3.490626743861607,,,,,,,"Rafael Dolis",4185,503569
"Mark Melancon","ATL",22.2,-3.889186011420356,,0.3173490802893478,-8.35203857421875,,,,,1.3446277436755953,,,,,"Mark Melancon",4264,453343
"Charlie Morton","TBR",38,-6.488235343215812,,1.7801367661048626,-11.682098388671875,,-10.728804878566576,,9.548048231336805,,,,,,"Charlie Morton",4676,450203
