Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,NameASCII,PlayerId,MLBAMID
"R.A. Dickey","TOR",214.1,-1.0365491443210177,,,,,,,,,-1.440689349785829,,,0.42257079077459997,"R.A. Dickey",1245,285079
"Steven Wright","BOS",72.2,1.7375500221562579,,,,,,,-2.7325768776930093,,,,,0.15196581499292217,"Steven Wright",8185,453214
"Neftalí Feliz","- - -",48,-1.0439969142446053,,,,,0.9735750965774059,0.0009742625262759148,0.43231863528490067,,,1.7944613755759546,,,"Neftali Feliz",18,491703
"Xavier Cedeño","- - -",46,-0.7878041634192834,,,3.72450090944767,,-4.227339304410494,,2.817950615038474,,,1.9708634664614995,,,"Xavier Cedeno",36,458584
"Jason Marquis","CIN",47.1,,,,,,-2.0874916857883563,-0.5068292617797852,,,,-1.250466922434365,,,"Jason Marquis",105,150302
"Rafael Betancourt","COL",39.1,0.1742246262545656,,0.35866231850858005,,,,-2.312013456376932,,,,0.022717155516147614,,,"Rafael Betancourt",177,429783
"Mark Buehrle","TOR",198.2,0.6422554981339508,,-0.812871946880292,,,-1.0152640550032905,,0.7071933311050859,,,0.647887622608858,,,"Mark Buehrle",225,279824
"Bartolo Colon","NYM",194.2,-0.7678971990295078,,,,,0.7964569434056299,-1.6155469589508495,-0.954839214682579,,,-0.3038486296480352,,,"Bartolo Colon",375,112526
"CC Sabathia","NYY",167.1,0.13490750266455762,,-5.873878672719002,,,-1.1846199516178102,-0.8860216061931011,,,,0.5854162129950017,,,"CC Sabathia",404,282332
"Fernando Rodney","- - -",62.2,-2.4902299953543623,,,,,-0.7301665977020126,,,,,0.9850729079473587,,,"Fernando Rodney",494,407845
"A.J. Burnett","PIT",164,-1.406666350691286,,,,,0.590307666705205,,,-0.39896899796054075,,0.07457177252529963,,,"A.J. Burnett",512,150359
"Jason Grilli","ATL",33.2,-0.022041919903877456,,,,,-4.105467597643534,2.1029309155469273,,,,-4.601837694644928,,,"Jason Grilli",521,276351
"Jeremy Affeldt","SFG",35.1,,,,,,-2.1992947896321615,,1.158176317359462,,,2.74092157681783,,,"Jeremy Affeldt",583,346793
"LaTroy Hawkins","- - -",38.2,0.2168610692024231,,,,,4.045424610376358,-1.0724482785784797,-12.077190726995468,,,1.3894556259567088,,,"LaTroy Hawkins",729,115629
"Kyle Lohse","MIL",152.1,-9.184415638446808,,,,,-1.4400880901154691,0.32622860028193545,-2.0637108411403062,,,-0.057360597122880747,,,"Kyle Lohse",739,346798
"Randy Choate","STL",27.1,-2.0917338629563647,,,,,-0.6286247468097902,0.9976839366024488,,,,,,,"Randy Choate",813,329092
"Scott Carroll","CHW",36.2,-5.7153763193072695,,-1.2695151567459106,,,0.5268174573915814,0.22350481670835742,2.583615323330494,,,-2.650417659593665,,,"Scott Carroll",888,453222
"Tim Hudson","SFG",123.2,-0.26118499728349537,,0.663664952062088,0.41821156290994177,,-0.969402377684638,,2.527707634970199,,,,,,"Tim Hudson",921,218596
"Randy Wolf","DET",34.2,-2.979657637704279,,,,,-3.0449554031970454,0.9139217044177809,-0.11853975119050016,,,-1.759580047666163,,,"Randy Wolf",976,150116
"Joe Beimel","SEA",47.1,-0.8413103648594447,,,,,0.2718553060793695,-2.186254035221057,-1.0362331356321062,-3.492240607738495,,0.6220900398843429,,,"Joe Beimel",979,346847
"Aaron Thompson","MIN",32.1,0.20864000287624673,,,,,,1.4650382756189324,-24.726414680480957,,,-0.06670695588444218,,,"Aaron Thompson",999,457744
"Ryan Vogelsong","SFG",135,-0.22964021073112006,,-3.492240607738495,,,-0.8592940843808725,0.6046680665351976,-0.19874385461179567,,,-2.5473659688776187,,,"Ryan Vogelsong",1011,285064
"Jake Peavy","SFG",110.2,1.907754561480354,,0.9301285301674989,,,-1.4184657858793068,2.5449656206986,0.10897829590073552,,,-0.81508925982884,,,"Jake Peavy",1051,408241
"Marco Estrada","TOR",181,0.603809320157574,,-0.910879125422482,,,,,-0.22547010135056444,,,1.6087696742426396,,,"Marco Estrada",1118,462136
"Jerome Williams","PHI",121,-3.072532685051512,,0.6685592129617511,,,-1.2676472038165476,-1.0594637812794867,-4.029613693660878,,,-1.3704698685317012,,,"Jerome Williams",1137,425532
"Tommy Hunter","- - -",60.1,1.7028597700239414,,3.016417473554611,,,-2.4561283775188953,0.6640849635004997,0.5201502149835284,,,-2.3963309824466705,,,"Tommy Hunter",1157,488984
"Colby Lewis","TEX",204.2,-0.5666680721554496,,,,,-0.6701259325582085,0.6873632980896546,-1.218544878065586,,,0.9449116537504108,,,"Colby Lewis",1259,407890
"Nick Hagadone","CLE",27.1,-1.3780806592838493,,3.7487710316975913,,,,0.8160707562468773,,,,,,,"Nick Hagadone",1351,444935
"Charlie Furbush","SEA",21.2,5.030708617352424,,,,,1.2811722205235407,0.697621908681146,2.87701171987197,,,-2.3963309824466705,,,"Charlie Furbush",1370,518703
"Joaquín Benoit","SDP",65.1,1.8049400679919183,,,,,-4.810361455126507,1.3739877146453106,,,,1.8175742995571083,,,"Joaquin Benoit",1437,276542
"Aaron Harang","PHI",172.1,0.5352249337201143,,,,,-0.47265902675431354,-0.7996779447708287,-2.3183484872182207,,,-2.7632085208235115,,,"Aaron Harang",1451,421685
"Felix Doubront","- - -",75.1,-3.548847170736898,,0.011676389899029829,,,0.04257226460858395,,-0.09784585127801251,,,2.133401306058867,,,"Felix Doubront",1478,467094
"John Lackey","STL",218,0.6410140340004755,,-0.3972770646214485,,,1.5682506856534502,,0.3634876675075955,,,0.08574456694614457,,,"John Lackey",1507,407793
"Oliver Pérez","- - -",41,-0.5812395548989587,,,,,-1.3230107667791935,1.5253641001589886,,,,0,,,"Oliver Perez",1514,424144
"Francisco Rodríguez","MIL",57,-2.662708191644578,,,,,0.6744290270456453,,0.3376045734575479,,,5.014917525378141,,,"Francisco Rodriguez",1642,408061
"Javier López","SFG",39.1,,,,,,2.946927840031158,3.01347214442033,3.4438406879251655,,,-7.02701210975647,,,"Javier Lopez",1663,425657
"Chris Capuano","NYY",40.2,,,,,,-1.2581823590379324,-0.00007419409800548943,-1.7336865023868842,,,-3.684817559152677,,,"Chris Capuano",1701,425626
"Dan Haren","- - -",187.1,-0.013468158778859608,,0.9248028098533451,-2.3214907038445567,,0.13375388332671184,,,-1.165700712923296,,,,,"Dan Haren",1757,429717
"Kevin Correia","PHI",23.1,0.8295900850410921,,-10.43498607782217,,,-4.750900072594211,-0.9315061454589549,0.026704445481300354,,,-4.026366233825684,,,"Kevin Correia",1767,429781
"Neal Cotts","- - -",63.1,-0.4056112788547979,,,,,-1.3053291883224096,0.4185628718536542,,,,-1.4856367061535516,,,"Neal Cotts",1797,425840
"Matt Belisle","STL",33.2,2.0006350529046704,,,,,-0.387112021446228,-0.19969819598115246,-1.101333352754701,,,-12.865845362345377,,,"Matt Belisle",1837,279571
"Edwin Jackson","- - -",55.2,0.9281839404392058,,,,,-6.828526171242319,1.0925266968369973,1.0534478945935026,,,6.089027722676596,,,"Edwin Jackson",1841,429719
"Ryan Madson","KCR",63.1,0.652128376372873,,-0.4775427959182046,,,-5.3179750839869175,,,,,3.5081404906052813,,,"Ryan Madson",1852,425492
"Matt Moore","TBR",63,-0.856041785578785,,0.9874722590813271,,,-2.827283176215919,,,-0.15948951000072917,,-2.2011907577514647,,,"Matt Moore",1890,519043
"David Aardsma","ATL",30.2,-0.7719927567702073,,,-4.698274053376297,,,4.148383331298828,,,,,,,"David Aardsma",1902,430911
"Jason Frasor","- - -",28,0.5849551534798532,,,,,-2.3963309824466705,-0.5940643329064823,,,,0.4000358879566192,,,"Jason Frasor",1906,430630
"Matt Thornton","WSN",41.1,1.8512746265956332,,-2.434522906939189,,,2.9489945202338985,-0.42002709969034735,,,,,,,"Matt Thornton",1918,407819
"Zack Greinke","LAD",222.2,1.503038642597131,,,,,0.5288336426019669,2.966224473204482,-0.22666125461972994,,3.059782274067402,3.25764377100938,,,"Zack Greinke",1943,425844
"Iván Nova","NYY",94,-2.602484706433839,,,,,-0.1987345316453904,,0.2451765930259621,,,-2.6013874145875495,,,"Ivan Nova",1994,467100
"Clayton Kershaw","LAD",232.2,1.3786734860990748,,,,,1.8968991935253143,1.8988325133177029,2.837516350474784,,,-6.642205064946954,,,"Clayton Kershaw",2036,477132
"Justin Masterson","BOS",59.1,-2.8903470271163516,,,,,-1.3203634364711332,0.5148120199389731,,,,-1.8396672877398403,,,"Justin Masterson",2038,475416
"Jorge De La Rosa","COL",149,-0.601272798527432,,-1.3517374084109353,1.3531317447592146,,0.6105465814471245,-0.7768645261724789,-0.38933431108792627,,,1.2856166395876143,,,"Jorge De La Rosa",2047,407822
"Jeremy Guthrie","KCR",148.1,-0.6107432692200988,,-2.453601288411956,,,-2.238444208000113,-0.35023155497081243,-1.138872916207594,,-30.54182529449463,-0.11010491611933944,,,"Jeremy Guthrie",2072,425386
"Chris Narveson","MIA",30.1,0.33166141345583156,,1.1779518817600452,,,-2.5516914364732344,,4.705143085232487,,,-0.7414317355965668,,,"Chris Narveson",2141,429780
"Alfredo Simon","DET",187,0.32646445109403394,,-0.040081508698001984,-0.6057019345462322,,-1.1310188818731373,-12.563498318195343,-1.653997399913731,,-2.4354642484246227,-3.46680388731115,,,"Alfredo Simon",2155,430580
"Chad Qualls","HOU",49.1,,,,,,0.156184294812685,0.4891283737331726,,,,10.748621225357056,,,"Chad Qualls",2170,430589
"Adam Wainwright","STL",28,4.473797678947449,,1.7548602218775786,,,-1.9286585581857105,,2.1746062180575203,,,-14.989477396011353,,,"Adam Wainwright",2233,425794
"Blaine Boyer","MIN",65,0.3306574413171237,,,,,-0.3525836062881182,-0.4208097509715868,4.0783716873689135,,,0.9392553940415382,,,"Blaine Boyer",2237,430641
"Brandon Gomes","TBR",59,0.5786797692698817,,,0.12449817015574528,,-1.1015779390109806,-0.5681563431108502,2.4819269986219807,,,,,,"Brandon Gomes",2267,460156
"Joel Peralta","LAD",29,0.7912438456751719,,,2.2018458745250964,,,,-5.272596947690274,,,,,,"Joel Peralta",2332,407908
"Héctor Rondón","CHC",70,0.9170945081333657,,1.984170638024807,,,0.5888594614042268,1.861668636924342,-5.873878672719002,,,-2.2720177968343096,,,"Hector Rondon",2391,444468
"Cory Rasmus","LAA",20.2,-0.6804555933288977,,,,,-13.59699396416545,3.9824424957742495,0.00016835141689219374,,,1.5305466819227789,,,"Cory Rasmus",2413,474284
"Corey Kluber","CLE",222,0.4243479226548839,,,,,-0.8659948170880863,1.8955328805106026,3.115264590423886,,,0.8345657093509746,,,"Corey Kluber",2429,446372
"Lance Lynn","STL",175.1,1.221997511773264,,,,,-0.15089026042724757,-0.16345624995027852,-2.1848274160314487,,,-2.2986964599506274,,,"Lance Lynn",2520,458681
"Wandy Rodriguez","TEX",86.1,-0.3654250689283048,,,,,-0.7282933342122586,,-0.33179761725904305,,,-4.340548639173631,,,"Wandy Rodriguez",2586,434643
"Jhoulys Chacín","ARI",26.2,-1.4352603707202645,,-3.203108106086503,,,-2.6795490805445046,5.67244525049247,3.143079082171122,,,1.9151762530610368,,,"Jhoulys Chacin",2608,468504
"Brian Matusz","BAL",49,1.8724630860721365,,,,,-4.259078007824016,1.0722893608940973,-1.6604745139678319,,,-1.9183146215118136,,,"Brian Matusz",2646,451085
"Brett Cecil","TOR",54.1,0.5701810121536255,,-3.9151948690414424,,,1.1510119259914506,,2.9542545729045626,,,2.345153358247545,,,"Brett Cecil",2660,446399
"Joba Chamberlain","- - -",27.2,-1.6461754194363392,,,,,-0.019246811668078106,-1.726624608677339,-2.7845977366655723,,,1.8172197043895721,,,"Joba Chamberlain",2692,501955
"Rick Porcello","BOS",172,-0.07746398241262403,,,,,0.04830618484600171,-0.683448762239532,-0.9773287020231548,,,-2.35879888405671,,,"Rick Porcello",2717,519144
"Ross Detwiler","- - -",58.1,-1.45455463366075,,,,,-0.6319546095344291,-6.0356492164150986,4.280301928520203,,,-3.805370529492696,,,"Ross Detwiler",2859,446321
"Santiago Casilla","SFG",58,-0.7608181678208729,,,,,-0.2662556240982339,-0.5183136075492797,,2.4057766970466163,,4.850894723619733,,,"Santiago Casilla",2873,433586
"Luis Avilán","- - -",53.1,1.7117774614723782,,-24.464652625223003,,,0.5126599898705115,,-6.015078371221369,,,1.9323914257948063,,,"Luis Avilan",2882,501593
"Zach McAllister","CLE",69,0.5302763582936237,,-1.2434245745340984,,,0.6621249366638272,0.027225651713304738,-0.6630799568751279,,,-1.7421963314215343,,,"Zach McAllister",2895,502083
"Jeff Locke","PIT",168.1,-0.48113945652456847,,,,,-0.4542870228516989,,,0.048371905074847316,,0.5017785218577034,,,"Jeff Locke",2929,502046
"Kenley Jansen","LAD",52.1,2.3781916073390414,,1.7053694881254724,,,,0.751129259546119,,,,,,,"Kenley Jansen",3096,445276
"Tony Watson","PIT",75.1,,,,,,1.3465526599239035,3.2597485455599697,,,,3.432090395972842,,,"Tony Watson",3132,453265
"Max Scherzer","WSN",228.2,1.1264927670269664,,0.1600658893585205,,,,1.9741155468362799,-0.09201613849379481,,,1.087226325815374,,,"Max Scherzer",3137,453286
"David Price","- - -",220.1,0.6732037224745387,,0.33334324868877285,,,1.486030491915616,,,0.6717130378052428,,1.6287392432536554,,,"David Price",3184,456034
"Will Harris","HOU",71,1.9040104271709057,,1.5726518378686654,,,,,1.446869057607433,,,-2.48611181974411,,,"Will Harris",3192,501789
"Chris Young","KCR",123.1,0.2513481160022195,,,,,,0.9711830566326777,,,,1.3830868785197918,,,"Chris Young",3196,432934
"Ervin Santana","MIN",108,-1.0450636434276201,,,,,6.989852587381999,1.4520550549514895,,,,-0.3007449122036205,,,"Ervin Santana",3200,429722
"Francisco Liriano","PIT",186.2,2.254575490951538,,,,,-0.38979591036135436,2.4600348851506064,-3.895401954650879,,,0.5258588022307346,,,"Francisco Liriano",3201,434538
"Jean Machi","- - -",58,-0.6275653035453196,,,,,4.987260734751111,,0.9498064054383172,,,-1.4358742390909502,,,"Jean Machi",3220,466948
"T.J. McFarland","BAL",40.1,-5.910750697640812,,,,,-0.16527115510948956,1.0043651324052076,,,,-4.057865070574211,,,"T.J. McFarland",3237,519008
"Zack Britton","BAL",65.2,,,,,,1.5814033301338168,3.8828595118089155,,,,,,,"Zack Britton",3240,502154
"Jeff Samardzija","CHW",214,-0.06133112259941359,,1.6135033528516247,0.7210852964869086,,-1.3915653729495685,-1.4697679980047818,2.700572896886755,,,,,,"Jeff Samardzija",3254,502188
"Roberto Hernandez","HOU",84.2,-1.4605852140896562,,,,,-0.5180979383988278,-1.7076131302056854,,,,1.7551976972849583,,,"Roberto Hernandez",3273,433584
"Joe Smith","LAA",65.1,-0.7833898067474365,,,,,0.5908628304799397,1.8405731032494785,,,,-3.6171160638332367,,,"Joe Smith",3281,501925
"Aníbal Sánchez","DET",157,-0.8023521000433875,,-2.4120045559746877,0.3436345616286209,,1.5103126691136548,-0.8318947930621285,1.1929480974064317,,,-0.4871387566838946,,,"Anibal Sanchez",3284,434671
"Hector Noesí","CHW",32.2,-1.6889847304723034,,,,,-2.6309075454870863,-1.8336122645471329,-16.195220853153028,,,1.8976061574874388,,,"Hector Noesi",3292,456051
"Chris Hatcher","LAD",39,1.078075070620915,,-7.143376090309837,1.247976641905935,,-0.30630345930132946,0.3653947173095331,,,,,,,"Chris Hatcher",3299,501822
"Darren O'Day","BAL",65.1,1.8304518778891141,,,,,1.1031857991622667,1.0636540559621959,10.39191260933876,,,-16.000601649284363,,,"Darren O'Day",3321,503285
"Matt Garza","MIL",148.2,-0.7267632613560217,,,,,-0.9833182922746769,-0.36830621037056777,-1.114968702768506,,,-1.8098913447957645,,,"Matt Garza",3340,490063
"Cesár Ramos","LAA",52.1,-0.0590032674896885,,,,,-1.0472388731108773,1.1641042927900949,3.369094479468561,,,-2.3082339763641357,,,"Cesar Ramos",3357,459987
"Ubaldo Jiménez","BAL",184,0.0273261936053351,,4.987385869026184,0.6407529173998451,,0.005376772232936346,-0.5897251479828839,-0.6987520853678385,,,,,,"Ubaldo Jimenez",3374,434622
"Jumbo Diaz","CIN",60.1,0.8509232306892264,,0.3497004508972168,,,-1.6587011954363655,-0.6963050656202363,,,,-1.6271707037804832,,,"Jumbo Diaz",3397,471822
"Danny Duffy","KCR",136.2,0.8224035037382869,,2.8674581776494565,,,-0.25923819411975535,,-0.6292861094449294,,4.054973342201927,-1.890136965182649,,,"Danny Duffy",3542,518633
"Clay Buchholz","BOS",113.1,0.8067717854405793,,1.962855742438207,1.366887173869393,,-1.4550260060739308,,0.37622470264286956,,,1.9831225985572452,,,"Clay Buchholz",3543,453329
"Carlos Frías","LAD",77.2,0.4516117805297899,,1.513830540885388,,,-1.2977581777993372,,-4.011625838729571,,,-1.877615418074266,,,"Carlos Frias",3547,516910
"Liam Hendriks","TOR",64.2,3.37981385544847,,,,,-0.2203107521098147,0.4466641516912551,-3.3139418582527003,,,-3.375390560730644,,,"Liam Hendriks",3548,521230
"Clayton Richard","CHC",42.1,-1.0666166360561664,,,,,0.5140454726046827,-3.3586644643061865,0.10959344941216546,,,-2.449699965390292,,,"Clayton Richard",3551,453385
"C.J. Wilson","LAA",132,-1.0780423442272768,,-1.1969099546733655,,,1.1215247874595338,0.8074046960517542,-0.916188523389291,,,2.0244921358248678,,,"C.J. Wilson",3580,450351
"Jim Johnson","- - -",66.2,-2.26149838021461,,,,,0.25831136467501936,,1.1632384073854698,,,-0.5178145452666639,,,"Jim Johnson",3656,462382
"Cesar Jimenez","- - -",23,0.15385279071674426,,,,,,2.3195628697673483,,,,4.954453557729721,,,"Cesar Jimenez",3762,462945
"Mat Latos","- - -",116.1,-1.7388188789391468,,0.4333339013387022,-0.24724973560269198,,3.7577196828682315,-1.3226423910594878,0.7925843723215066,,,-1.4203973970300443,,,"Mat Latos",3815,502009
"Ricky Nolasco","MIN",37.1,-1.1505801062863152,,,-1.4403901062905788,,-5.36734149104259,0.438723533469088,1.38501581308004,,,,,,"Ricky Nolasco",3830,445060
"Zach Duke","CHW",60.2,2.4262992044289904,,,,,0.7915113883589225,-0.5314059095618165,-0.8912764354185625,,,1.3696092825669508,,,"Zach Duke",3840,435043
"Brett Oberholtzer","HOU",38.1,-1.5686725167667164,,,,,1.7525632535257647,0.36736524530819487,,-5.022709223688865,,-1.2767714513859278,,,"Brett Oberholtzer",3855,519085
"Rubby De La Rosa","ARI",188.2,0.23545239557518366,,,,,-2.339651584625244,1.2609990867408545,3.242716644749497,,,-1.9914529146553026,,,"Rubby De La Rosa",3862,523989
"Enrique Burgos","ARI",27,-1.521150954067707,,,,,,1.0649946308875269,,,,,,,"Enrique Burgos",3895,542609
"Casey Fien","MIN",63.1,0.5057445226931104,,,,,-5.180846106621527,1.4360327811591955,0.06675904288011439,,,3.72450090944767,,,"Casey Fien",3926,502272
"David Carpenter","- - -",24.2,0.041178517675927645,,,,,,-0.18818676471710205,,,,-55.46448826789856,,,"David Carpenter",3959,502304
"Edward Mujica","- - -",47.1,0.07993943090068882,,,-0.9943320420370148,,1.2417612537260978,1.9212020574695003,,-3.4990843385457993,,,,,"Edward Mujica",3970,465629
"Edinson Volquez","KCR",200.1,-1.0109329696304055,,,,,-0.15697695858856026,,,0.5884997262299516,,1.3265500261077603,,,"Edinson Volquez",3990,450172
"Allen Webster","ARI",31,0.191107313883932,,,,,-3.54305868861319,-0.461025873819987,-20.451383931296213,,,-2.9470390365237282,,,"Allen Webster",3993,543903
"Enny Romero","TBR",30,-0.9807318449020386,,0.26572488122067206,,,8.901814371347427,0.702492313252555,,,,-7.248745361963908,,,"Enny Romero",4001,544836
"Yusmeiro Petit","SFG",76,-1.765564436975278,,-0.17041616862820042,,,,-1.497317287562923,4.654565465644123,,,-0.5897308966910192,,,"Yusmeiro Petit",4020,433589
"Héctor Santiago","LAA",180.2,,,-1.1992923500251211,,,0.42607744286845145,-0.3731212662715538,-3.106723756206279,,,-0.9902358715474491,-0.8490529975720815,,"Hector Santiago",4026,502327
"Brian Duensing","MIN",48.2,2.262317981475439,,,,,-0.08225272740087201,-2.852393014090402,1.6138579885838396,,,2.2659931864057272,,,"Brian Duensing",4064,488846
