Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Madison Bumgarner","SFG",218.1,0.33544705,0.66810611,0.50406504,0.52741021,0.85410896,0.74689826,0.5068793,24.10134257,"Madison Bumgarner",5524,518516
"Jason Motte","CHC",48.1,0.30232558,0.71624714,0.53393086,0.76923077,0.91693291,0.88009592,0.55953905,24.04424779,"Jason Motte",5861,435400
"Tom Wilhelmsen","SEA",62,0.27747748,0.64271457,0.45075758,0.56493506,0.85093168,0.75840336,0.47443182,24.03861004,"Tom Wilhelmsen",9975,452666
"Brandon Morrow","SDP",33,0.26890756,0.68181818,0.47708333,0.65625,0.84242424,0.79039301,0.50416667,24.01149425,"Brandon Morrow",9346,453344
"Collin McHugh","HOU",203.2,0.30721003,0.64464832,0.47801858,0.63265306,0.85388994,0.78367876,0.50619195,23.98179454,"Collin McHugh",7531,543521
"Yovani Gallardo","TEX",184.1,0.23560209,0.63255814,0.42090571,0.72098765,0.89495798,0.84303611,0.46681141,23.96928902,"Yovani Gallardo",8173,451596
"Adam Warren","NYY",131.1,0.27175844,0.64007782,0.44753946,0.67320261,0.87386018,0.81016598,0.47725162,23.96265823,"Adam Warren",9029,476589
"Matt Albers","CHW",37.1,0.27304965,0.58545455,0.42728905,0.72727273,0.89440994,0.84033613,0.49371634,23.93811881,"Matt Albers",4300,458006
"Cory Rasmus","LAA",20.2,0.28426396,0.63372093,0.44715447,0.57142857,0.75229358,0.69090909,0.46612466,23.92605634,"Cory Rasmus",2413,474284
"Edwin Jackson","- - -",55.2,0.30290456,0.68974359,0.47591743,0.52739726,0.89962825,0.7686747,0.44724771,23.91451613,"Edwin Jackson",1841,429719
"Aroldis Chapman","CIN",66.1,0.3078203,0.6589698,0.47766323,0.46486486,0.66037736,0.59532374,0.48367698,23.90046296,"Aroldis Chapman",10233,547973
"Mayckol Guaipe","SEA",26.2,0.3440367,0.58874459,0.46993318,0.57333333,0.88235294,0.77251185,0.51447661,23.89846154,"Mayckol Guaipe",11663,515052
"Nathan Eovaldi","NYY",154.1,0.27866242,0.64735699,0.4717482,0.63714286,0.88478747,0.81511254,0.52370118,23.89112051,"Nathan Eovaldi",9132,543135
"A.J. Burnett","PIT",164,0.26833333,0.6,0.44016064,0.52484472,0.9121447,0.79835766,0.51807229,23.88048499,"A.J. Burnett",512,150359
"Jeremy Affeldt","SFG",35.1,0.20384615,0.62711864,0.42882883,0.62264151,0.92972973,0.86134454,0.53153153,23.8694517,"Jeremy Affeldt",583,346793
"Jaime García","STL",129.2,0.28445006,0.65226337,0.48723766,0.56444444,0.89589905,0.80908033,0.55133296,23.84935897,"Jaime Garcia",8137,448802
"Arquimedes Caminero","PIT",74.2,0.28429423,0.71144279,0.51717902,0.59440559,0.8041958,0.75174825,0.54520796,23.83464567,"Arquimedes Caminero",8992,491708
"Ricky Nolasco","MIN",37.1,0.3,0.617737,0.45814307,0.5959596,0.89108911,0.79401993,0.49771689,23.83228512,"Ricky Nolasco",3830,445060
"James Shields","SDP",202.1,0.31114719,0.63531016,0.4546003,0.53043478,0.84656652,0.72594559,0.44253394,23.8275429,"James Shields",7059,448306
"Jose Quintana","CHW",206.1,0.2911084,0.63391813,0.46599045,0.58786611,0.89391144,0.80025608,0.5101432,23.81296449,"Jose Quintana",11423,500779
"Zach McAllister","CLE",69,0.22485207,0.65384615,0.47394541,0.62280702,0.83006536,0.78883072,0.58064516,23.80518018,"Zach McAllister",2895,502083
"Zack Greinke","LAD",222.2,0.3007034,0.67015707,0.47526283,0.54385965,0.8515625,0.74886142,0.4724799,23.78351836,"Zack Greinke",1943,425844
"Ryan Tepera","TOR",33,0.28828829,0.70781893,0.50752688,0.6875,0.84883721,0.80508475,0.52258065,23.77743902,"Ryan Tepera",10291,572193
"Tony Watson","PIT",75.1,0.31650485,0.70415225,0.52150046,0.65030675,0.83046683,0.77894737,0.52881976,23.75879397,"Tony Watson",3132,453265
