Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"R.A. Dickey","TOR",214.1,81.70388997395834,,,,,,,,,64.41153971354167,,,76.2262661733428,"R.A. Dickey",1245,285079
"Steven Wright","BOS",72.2,83.32845846036585,,,,,,,67.0825141948429,,,,,74.61135500286697,"Steven Wright",8185,453214
"Neftalí Feliz","- - -",48,94.53868674022199,,,,,92.22500228881836,83.31238800888761,81.05000305175781,,,86.51186357918432,,,"Neftali Feliz",18,491703
"Xavier Cedeño","- - -",46,88.20245868389424,,,83.0999984741211,,89.41538649338942,,80.61093711853027,,,85.46666463216145,,,"Xavier Cedeno",36,458584
"Jason Marquis","CIN",47.1,,,,,,87.70218035130719,81.97932942708333,,,,78.24207436166158,,,"Jason Marquis",105,150302
"Rafael Betancourt","COL",39.1,90.79039024014779,,90.00943396226415,,,,78.75,,,,84.22999877929688,,,"Rafael Betancourt",177,429783
"Mark Buehrle","TOR",198.2,83.85598923283983,,79.35264401183971,,,82.91362092391304,,71.24522659491701,,,78.16823792016807,,,"Mark Buehrle",225,279824
"Bartolo Colon","NYM",194.2,90.25537078154971,,,,,87.24919748339504,82.21500000586876,80.9000015258789,,,81.97626264167555,,,"Bartolo Colon",375,112526
"CC Sabathia","NYY",167.1,90.21502209131076,,89.5999984741211,,,89.18837057897287,79.00198217975206,,,,83.28457446808511,,,"CC Sabathia",404,282332
"Fernando Rodney","- - -",62.2,94.93652556046196,,,,,94.63971189643502,,,,,82.63523646763393,,,"Fernando Rodney",494,407845
"A.J. Burnett","PIT",164,91.07020547945206,,,,,90.91890775240384,,,81.7335146631327,,85.69953981164383,,,"A.J. Burnett",512,150359
"Jason Grilli","ATL",33.2,93.93179086538461,,,,,93.90000406901042,82.50588026403743,,,,85.9000015258789,,,"Jason Grilli",521,276351
"Jeremy Affeldt","SFG",35.1,,,,,,90.40586458333334,,74.45606208570075,,,86.0625,,,"Jeremy Affeldt",583,346793
"LaTroy Hawkins","- - -",38.2,93.04215734145221,,,,,93.17777760823567,87.13595341028793,77.66666158040364,,,84.11590576171875,,,"LaTroy Hawkins",729,115629
"Kyle Lohse","MIL",152.1,89.14999898274739,,,,,89.33411622412241,84.0599430787373,74.81098294120304,,,79.22067559034305,,,"Kyle Lohse",739,346798
"Randy Choate","STL",27.1,84.23333231608073,,,,,83.5909090909091,74.05411226455479,,,,,,,"Randy Choate",813,329092
"Scott Carroll","CHW",36.2,90.3030303030303,,83.94,,,89.8201810970948,81.70217497452445,78.17233730884308,,,82.31999830163043,,,"Scott Carroll",888,453222
"Tim Hudson","SFG",123.2,87.92999995304989,,82.3605663634819,80.2961371232922,,88.12657139309493,,75.26697685773982,,,,,,"Tim Hudson",921,218596
"Randy Wolf","DET",34.2,88.6639155751651,,,,,87.95146867340686,83.1118433099044,69.17835259191769,,,78.00579988783684,,,"Randy Wolf",976,150116
"Joe Beimel","SEA",47.1,88.56898118622449,,,,,85.34389163883588,79.15842806355337,71.59285627092633,81.5999984741211,,80.69852941176471,,,"Joe Beimel",979,346847
"Aaron Thompson","MIN",32.1,89.71375967603211,,,,,,81.1276150627615,72.75,,,82.56969844933712,,,"Aaron Thompson",999,457744
"Ryan Vogelsong","SFG",135,90.95928311247363,,83,,,90.93012422360249,87.88873376980634,76.47600890724522,,,83.42777876420455,,,"Ryan Vogelsong",1011,285064
"Jake Peavy","SFG",110.2,90.06894301470588,,85.83096801035504,,,90.18571221891534,83.83103785021552,80.15421451430723,,,82.49905133928571,,,"Jake Peavy",1051,408241
"Marco Estrada","TOR",181,89.21264427923387,,87.98642368230345,,,,,77.32274287809092,,,78.57325237250767,,,"Marco Estrada",1118,462136
"Jerome Williams","PHI",121,90.17643770062311,,87.18416814096943,,,89.83091991303733,79.23243012299409,73.161699984936,,,83.33713464569627,,,"Jerome Williams",1137,425532
"Tommy Hunter","- - -",60.1,96.4717607973422,,92.20640837840544,,,95.98110554075461,82.5,84.43247124365774,,,88.5,,,"Tommy Hunter",1157,488984
"Colby Lewis","TEX",204.2,87.97505075155495,,,,,87.4737574800532,82.48189048423423,76.78007507324219,,,83.16448233060747,,,"Colby Lewis",1259,407890
"Nick Hagadone","CLE",27.1,93.9095831773952,,89.10533203125,,,,78.57209529433139,,,,,,,"Nick Hagadone",1351,444935
"Charlie Furbush","SEA",21.2,91.3468043550532,,,,,91.06153846153846,80.82413456357759,77.72353228400735,,,83.69999694824219,,,"Charlie Furbush",1370,518703
"Joaquín Benoit","SDP",65.1,94.14208984375,,,,,94.23902558117378,87.38669950738917,,,,84.08845180457746,,,"Joaquin Benoit",1437,276542
"Aaron Harang","PHI",172.1,88.99698492462312,,,,,89.31756802262932,81.08850423511294,73.71136659564394,,,83.50482893318966,,,"Aaron Harang",1451,421685
"Felix Doubront","- - -",75.1,90.69477550660629,,86.89664413144925,,,90.77236617238898,,75.684048798918,,,83.94317263968716,,,"Felix Doubront",1478,467094
"John Lackey","STL",218,91.59478885893981,,83.27718505859374,,,91.60444078947368,,78.09865582912458,,,83.71204936935241,,,"John Lackey",1507,407793
"Oliver Pérez","- - -",41,91.96773361314273,,,,,91.36564997316317,79.26201520647321,,,,83.5,,,"Oliver Perez",1514,424144
"Francisco Rodríguez","MIL",57,89.69761904761904,,,,,89.3158524676067,,75.05742380878714,,,82.87045565518466,,,"Francisco Rodriguez",1642,408061
"Javier López","SFG",39.1,,,,,,84.53081143929504,77.84519136868991,71.31818181818181,,,78.93500366210938,,,"Javier Lopez",1663,425657
"Chris Capuano","NYY",40.2,,,,,,88.55590062111801,81.36122349330357,74.56585395626905,,,77.83812262603591,,,"Chris Capuano",1701,425626
"Dan Haren","- - -",187.1,85.99724409801952,,83.3033640440867,81.13529698988971,,85.30674547066718,,,76.28393970498783,,,,,"Dan Haren",1757,429717
"Kevin Correia","PHI",23.1,88.3012048192771,,88.36923452524039,,,87.9013671875,86.16057880108173,75.87333170572917,,,83.56932942708333,,,"Kevin Correia",1767,429781
"Neal Cotts","- - -",63.1,90.02827239705023,,,,,90.10897748898238,85.75027372004973,,,,86.73333485921223,,,"Neal Cotts",1797,425840
"Matt Belisle","STL",33.2,90.5209860468107,,,,,90.237998046875,85.29133173771676,74.72452645931604,,,85.82222493489583,,,"Matt Belisle",1837,279571
