Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
"Tommy Hunter","NYM",23.2,0.07901907,,0.3133515,,,0.39237057,,0.14168937,,,0.07356948,,,,"Tommy Hunter",1157,488984
"Adam Ottavino","NYM",61.2,0.05566406,,0.15039063,,,0.37695313,0.27832031,,,,0.13867188,,,,"Adam Ottavino",1247,493603
"Matt Moore","- - -",52.2,0.4801444,,,,,,,,0.20697954,,0.31287605,,,,"Matt Moore",1890,519043
"Zack Greinke","KCR",142.1,0.26543488,,0.07030194,,,0.1568274,0.20009013,0.14060388,0.00045065,,0.16629112,,,,"Zack Greinke",1943,425844
"Clayton Kershaw","LAD",131.2,0.36920039,,,0.00246792,,0.00197433,0.43385982,0.17522211,,,0.01727542,,,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",101,0.09915966,,0.22633053,,,0.31428571,0.00280112,0.30588235,0.00168067,,0.04985994,,,,"Adam Wainwright",2233,425794
"Corey Kluber","BOS",55,0.02323232,,0.27373737,,,0.26262626,,0.28181818,,,0.15858586,,,,"Corey Kluber",2429,446372
"Lance Lynn","- - -",183.2,0.43732239,,0.22987054,,,0.12598674,0.06315125,0.07388696,,,0.06978213,,,,"Lance Lynn",2520,458681
"Kenley Jansen","BOS",44.2,,,0.78779473,,,0.09292649,0.11789182,,,,0.00138696,,,,"Kenley Jansen",3096,445276
"Max Scherzer","- - -",152.2,0.46347403,,0.1038961,,,,0.16801948,0.12378247,,,0.14082792,,,,"Max Scherzer",3137,453286
"Charlie Morton","ATL",163.1,0.31738213,,0.07987333,,,0.06790992,,0.43209008,,,0.10274455,,,,"Charlie Morton",4676,450203
"Rich Hill","- - -",146.1,0.34176215,,0.14697748,,,0.03951008,0.08771237,0.35361517,0.00750691,,0.02291584,,,,"Rich Hill",4806,448179
"Jake Diekman","- - -",56.2,0.5813253,,0.03614458,,,0.05722892,0.17871486,,,,0.14658635,,,,"Jake Diekman",5003,518617
"Jesse Chavez","ATL",34.2,0.00172117,,0.50774527,,,0.29776248,,0.05679862,,,0.13597246,,,,"Jesse Chavez",5448,445926
"Ryan Brasier","- - -",59.2,0.36423841,,0.13576159,,,0.14569536,0.35320088,,,,0.00110375,,,,"Ryan Brasier",5615,518489
"Huascar Brazobán","MIA",58.2,0.17490119,,0.32806324,,,0.21442688,,,,,0.2826087,,,,"Huascar Brazoban",6107,623211
"Trevor May","OAK",46.2,0.42471042,,,,,,0.35263835,,,,0.22265122,,,,"Trevor May",6398,543507
"José Cisnero","DET",59.1,0.36815416,,0.12271805,,,0.21298174,0.19776876,,,,0.09837728,,,,"Jose Cisnero",6399,542585
"Alex Cobb","SFG",151.1,0.00279553,,,0.38777955,,0.3965655,0.05111821,,0.16174121,,,,,,"Alex Cobb",6562,502171
"Carlos Carrasco","NYM",90,0.3226213,,0.00378072,,,0.09955892,0.18399496,0.09073724,,,0.29930687,,,,"Carlos Carrasco",6632,471911
