Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Karl Kauffmann","COL",0.3162393162393162,1.063829787,0.198347107,0.41322314,0.388429752,0.042553191,0.106382978,24,6.171428907744757,239,344,583,0.36885246,0.40163934,0.2295082,0.09016393,0.40163934,0.50819672,"Karl Kauffmann",27488,666154
"Nick Robertson","- - -",0.39705882352941174,1.375,0.185714285,0.471428571,0.342857142,0.083333333,0.125,12,4.835821170853639,130,262,392,0.47142857,0.37142857,0.15714286,0.15714286,0.35714286,0.48571429,"Nick Robertson",26226,687798
"Dinelson Lamet","- - -",0.4268292682926829,1.085714285,0.17977528,0.426966292,0.393258426,0.114285714,0.2,3,0.9759036705237509,257,348,605,0.4494382,0.37078652,0.17977528,0.13483146,0.40449438,0.46067416,"Dinelson Lamet",17186,659275
"Amos Willingham","WSN",0.3253012048192771,0.75,0.153846153,0.362637362,0.483516483,0.068181818,0.181818181,13,4.808219806229553,167,296,463,0.36263736,0.35164835,0.28571429,0.14285714,0.40659341,0.45054945,"Amos Willingham",26128,686294
"Devin Smeltzer","MIA",0.3188405797101449,0.742857142,0.197368421,0.342105263,0.460526315,0.057142857,0.2,10,4.029850975711366,123,239,362,0.36842105,0.43421053,0.19736842,0.10526316,0.44736842,0.44736842,"Devin Smeltzer",19487,656970
"Peyton Battenfield","CLE",0.27,1.045454545,0.158878504,0.429906542,0.411214953,0.045454545,0.159090909,4,1.0384616146426284,194,357,551,0.4953271,0.3364486,0.1682243,0.05607477,0.5046729,0.43925234,"Peyton Battenfield",25777,685410
"Eric Lauer","MIL",0.296875,0.486486486,0.236111111,0.25,0.513888888,0.054054054,0.216216216,34,6.557143080477819,324,523,847,0.46527778,0.33333333,0.20138889,0.09027778,0.47222222,0.4375,"Eric Lauer",19316,641778
"Peter Lambert","COL",0.2964426877470356,0.99122807,0.162361623,0.416974169,0.420664206,0.070175438,0.157894736,59,6.080153025861727,538,913,1451,0.36531365,0.36162362,0.27306273,0.12177122,0.44280443,0.43542435,"Peter Lambert",17969,663567
"Justin Bruihl","- - -",0.3132530120481928,1.5,0.176470588,0.494117647,0.329411764,0.035714285,0.071428571,7,2.2500002490622935,159,280,439,0.51764706,0.25882353,0.22352941,0.10588235,0.45882353,0.43529412,"Justin Bruihl",23779,677865
"Dylan Lee","ATL",0.3076923076923077,1,0.223880597,0.388059701,0.388059701,0.076923076,0.153846153,7,2.6619725460999573,117,275,392,0.43478261,0.31884058,0.24637681,0.17391304,0.39130435,0.43478261,"Dylan Lee",19996,669276
