Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Trevor Gott","- - -",-2.066295802593231,-6.789283514022827,4.722987413406372,-12.458001136779785,-1.1931163668632507,1.196810158816251,0.9683328615108007,1.084931245073676,1.1105098747739606,51,-0.2941220421344042,-1.4323805175004312,13,18,"Trevor Gott",15046,641627
"Ian Gibaut","CIN",0.34028393030166626,-8.144267082214355,8.484551429748535,12.331999778747559,1.1867659091949463,1.4719053506851196,1.3255759477615356,1.5403324365615845,1.6893322467803955,59,0.4442709982395172,-0.21308498472086523,32,18,"Ian Gibaut",17871,664139
"Carlos Hernández","KCR",-2.361224189400673,-8.500475943088531,6.139251798391342,-8.432999730110168,-0.7688223123550415,1.2613144902171045,1.1052819955639723,1.3269731162199334,1.0751577065541194,52,0.17526301927864552,-2.047297478340672,20,17,"Carlos Hernandez",22713,672578
"Yimi García","TOR",0.06799402832984924,-6.995265483856201,7.063259601593018,3.187999963760376,0.33092018961906433,1.3971881866455078,1.2716960906982422,1.3805752992630005,1.5987473726272583,57,-0.19372457265853882,0.2423894761981939,25,16,"Yimi Garcia",12095,554340
"Buck Farmer","CIN",0.384075790643692,-6.5032219886779785,6.887298107147217,7.7870001792907715,0.7223499417304993,1.2188136577606201,1.1377524137496948,1.2928141355514526,1.2121835947036743,61,0.4607018530368805,-0.14557920225417487,23,16,"Buck Farmer",14814,571656
"Sam Moll","- - -",0.21182554587721825,-5.725918542593718,5.937744170427322,9.382999837398529,0.9759477712213993,1.2813621445706016,1.0270011133617825,1.3395485528877804,1.4134455731040554,57,0.7650726586580276,-0.5997598727490892,20,16,"Sam Moll",14874,594580
"Aaron Bummer","CHW",-0.4512113630771637,-6.8163957595825195,6.365184307098389,-6.270000457763672,-0.612676739692688,1.356286644935608,1.1123392581939697,1.4128787517547607,1.3843622207641602,53,-0.2119957059621811,-0.1206857111718686,15,16,"Aaron Bummer",16258,607481
"Jose Cuas","- - -",-0.871443722397089,-6.162435915321112,5.290992058813572,-4.78999936580658,-0.43358853831887245,1.0690059136403234,0.8084789755798522,1.1217722329828475,0.891286646326383,60,0.15015748783480376,-0.9653482283888304,14,16,"Jose Cuas",17701,621016
"Cionel Pérez","BAL",-0.45154792070388794,-4.741316318511963,4.289768218994141,-6.495000839233398,-0.6436807513237,1.0794872045516968,0.9285614490509033,1.1855891942977905,1.3605942726135254,52,-0.5229242444038391,0.10462570524569087,11,16,"Cionel Perez",19614,672335
"Trevor Stephan","CLE",-0.028087396174669266,-8.899930000305176,8.871842384338379,3.116000175476074,0.35076865553855896,1.6699671745300293,1.4588583707809448,1.5620704889297485,1.6648932695388794,60,0.1587374210357666,-0.17555655173668816,29,16,"Trevor Stephan",19932,663986
"Justin Lawrence","COL",0.3426438868045807,-10.025603294372559,10.368247985839844,13.0649995803833,1.2982350587844849,1.7221304178237915,1.43435800075531,1.4834202527999878,1.4587199687957764,40,0.8722717761993408,-0.6733066552896421,31,15,"Justin Lawrence",17639,664875
"Drew Smith","NYM",-0.8590919971466064,-5.598877906799316,4.739785671234131,-0.2490002065896988,-0.022059593349695206,1.0200271606445312,1.0092014074325562,1.2202870845794678,1.0148825645446777,46,-0.6865522265434265,-0.15567240265543358,14,15,"Drew Smith",17755,622098
"Alex Young","CIN",-0.7344575524330139,-5.018001556396484,4.283543586730957,-7.081000328063965,-0.718985915184021,1.0333644151687622,0.9571179747581482,1.1975746154785156,1.1656421422958374,57,-0.2610562741756439,-0.44968772053900585,14,15,"Alex Young",18333,622065
"Griffin Jax","MIN",-0.18728972971439362,-8.565423965454102,8.378134727478027,7.488999843597412,0.740044116973877,1.6977087259292603,1.4930717945098877,1.6016647815704346,1.5120947360992432,57,0.10350416600704193,-0.21382328427150066,32,15,"Griffin Jax",20253,643377
"Emmanuel Clase","CLE",-1.962606430053711,-13.251418113708496,11.288810729980469,3.5400002002716064,0.36505281925201416,2.2445766925811768,1.898594856262207,1.9239306449890137,2.7409801483154297,10,0.5976867079734802,-1.472063794994191,35,15,"Emmanuel Clase",21032,661403
"Jake Bird","COL",-1.162209801375866,-7.467969834804535,6.305760025978088,3.351400136947632,0.3306988701224327,0.9359194935896458,0.8777644800452086,1.1163943001202175,1.1324645588474889,62,0.7556060254573822,-1.9973899709101064,15,15,"Jake Bird",21267,656234
"Adam Ottavino","NYM",-1.084624171257019,-7.2436842918396,6.159060001373291,7.025000095367432,0.7043234705924988,1.4060249328613281,1.2280389070510864,1.3625363111495972,1.4472733736038208,30,0.44655641913414,-1.217968181406205,17,14,"Adam Ottavino",1247,493603
"Nick Martinez","SDP",1.042472280561924,-9.34256386756897,10.385035991668701,7.943200349807739,0.9169350862503052,1.272086724638939,1.094694747030735,1.181663453578949,1.2379999599958722,57,1.71145099401474,-0.8919531874812957,16,14,"Nick Martinez",12730,607259
"Chris Stratton","- - -",-0.25469982624053955,-5.611205816268921,5.356506109237671,-1.086000218987465,-0.1149415448307991,0.9089666709388043,0.826242218698774,1.1032781414687634,1.2339121655720036,41,0.5377544611692429,-0.8179625638244029,15,14,"Chris Stratton",13761,608717
"Josh Winckowski","BOS",0.009196016937494278,-8.557388311251998,8.566584050655365,8.363998860120773,0.8317055404186249,1.3202498064603627,1.0950651394693476,1.281686673561732,1.3650384098291397,52,0.07369792461395264,-0.06673256329180322,23,14,"Josh Winckowski",22387,670174
