Name,Team,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA,NameASCII,PlayerId,MLBAMID
"Jacob deGrom","TEX",30.1,66,86.19091057054925,103.5,108,13.848484848484848,6,0.09090909,22,0.33333333,2.670329782269228,1.8258817807005079,"Jacob deGrom",10954,594798
"Félix Bautista","BAL",61,99,88.57916259765625,102.6,110.4,21.463917525773194,8,0.08080808,34,0.34343434,1.4754099283318396,2.0925668190952207,"Felix Bautista",20666,642585
"Tarik Skubal","DET",80.1,191,88.48510222739361,104.4,110.2,8.74468085106383,8,0.04188482,77,0.40314136,2.8008300528517633,2.3118256242772572,"Tarik Skubal",22267,669373
"Ryan Helsley","STL",36.2,76,88.62631707442434,104.1,109.9,15.513157894736842,3,0.03947368,30,0.39473684,2.454545880152248,2.313854567324314,"Ryan Helsley",18138,664854
"Josh Hader","SDP",56.1,113,86.98272372159092,103.3,112,20.436363636363637,5,0.04424779,32,0.28318584,1.2781066242743158,2.368691508449367,"Josh Hader",14212,623352
"Brock Stewart","MIN",27.2,58,88.34821428571429,102.6,113.3,15,2,0.03448276,18,0.31034483,0.650602559147699,2.4135282218029777,"Brock Stewart",16727,592779
"Sawyer Gipson-Long","DET",20,48,86.65000406901042,103.5,106.4,18.625,3,0.0625,13,0.27083333,2.7,2.5091168224577265,"Sawyer Gipson-Long",26048,687830
"Tanner Scott","MIA",78,175,85.30935900950293,103.3,111.2,9.058479532163743,6,0.03428571,46,0.26285714,2.3076925334140617,2.5241608439262895,"Tanner Scott",17586,656945
"Jhoan Duran","MIN",62.1,142,89.15072322237319,105.8,113.7,-3.6956521739130435,10,0.07042254,54,0.38028169,2.454545654830986,2.551271249641481,"Jhoan Duran",21029,661395
"Jeff Hoffman","PHI",52.1,118,88.07043138586957,104.6,112,14.408695652173913,3,0.02542373,36,0.30508475,2.4076437215988755,2.5690971965352567,"Jeff Hoffman",17432,656546
"Pete Fairbanks","TBR",45.1,92,85.72333441840277,104.8,112.3,10.455555555555556,3,0.0326087,33,0.35869565,2.5808826425084104,2.6387585741912973,"Pete Fairbanks",17998,664126
"Tom Cosgrove","SDP",51.1,137,83.91954740366542,101.9,110.5,16.29850746268657,5,0.03649635,35,0.25547445,1.753247187539432,2.6718337870903692,"Tom Cosgrove",23443,676680
"Colin Poche","TBR",60.2,160,87.24615635016026,102.8,112.6,21.108974358974358,9,0.05625,50,0.3125,2.22527509840663,2.674968570155304,"Colin Poche",19403,621363
"Devin Williams","MIL",58.2,115,85.88947711074562,102.7,111.5,8.903508771929825,8,0.06956522,34,0.29565217,1.5340909755919618,2.682106208434606,"Devin Williams",15816,642207
"Shawn Armstrong","TBR",52,138,87.46014846580616,102.6,114.4,18.057971014492754,5,0.03623188,46,0.33333333,1.3846154861901714,2.7029538462167766,"Shawn Armstrong",12857,542888
"Andrew Nardi","MIA",57.1,139,84.59706025965073,102.4,112.3,12.335766423357665,9,0.0647482,38,0.27338129,2.66860524301867,2.7250341770074655,"Andrew Nardi",25942,677053
"Angel Perdomo","PIT",29,59,88.18928745814732,104.3,113.7,19.839285714285715,7,0.11864407,22,0.37288136,3.7241389107905185,2.7347975329596523,"Angel Perdomo",17759,622780
"Max Fried","ATL",77.2,211,86.45023777173913,103.5,112.9,4.806763285024155,8,0.03791469,69,0.32701422,2.549356306652554,2.7430283376608053,"Max Fried",13743,608331
"Paul Sewald","- - -",60.2,144,85.93000139508929,102.9,110.4,20.857142857142858,8,0.05555556,43,0.29861111,3.1153849418750115,2.7621795257098727,"Paul Sewald",13892,623149
"Tyler Rogers","SFG",74,227,84.35972850678733,103.8,113.2,8.72972972972973,5,0.02202643,62,0.27312775,3.040540854020078,2.7646348338273494,"Tyler Rogers",15541,643511
"José Alvarado","PHI",41.1,90,91.13033817591293,105.1,111.6,8.47191011235955,4,0.04444444,41,0.45555556,1.7419355374593284,2.7715831762024785,"Jose Alvarado",17780,621237
"Gregory Soto","PHI",60.1,161,87.38607594936708,103.5,112.9,8.354430379746836,9,0.05590062,56,0.34782609,4.624310366869841,2.777894972384005,"Gregory Soto",19677,642397
"Aroldis Chapman","- - -",58.1,109,86.48425745081019,105,110.8,10.44954128440367,10,0.09174312,36,0.33027523,3.0857144538723786,2.7865745958630845,"Aroldis Chapman",10233,547973
"Robert Stephenson","- - -",52.1,108,86.95794392523365,106.3,111.7,19.401869158878505,14,0.12962963,35,0.32407407,3.0955419841802896,2.794785594499052,"Robert Stephenson",13594,596112
"Clay Holmes","NYY",63,165,89.46363636363637,104.1,111.7,-3.4545454545454546,4,0.02424242,71,0.43030303,2.8571432031471864,2.8369979449952476,"Clay Holmes",13649,605280
"Brandon Woodruff","MIL",67,161,89.0208848397943,105,114.8,18.27672955974843,11,0.06832298,67,0.41614907,2.283582089552239,2.8373699091615756,"Brandon Woodruff",16162,605540
"JoJo Romero","STL",36.2,94,87.61195439877717,104,108.2,-0.5217391304347826,2,0.0212766,36,0.38297872,3.681818820228372,2.8394035167486416,"JoJo Romero",19574,668941
"David Bednar","PIT",67.1,173,87.9976447610294,103.5,109,15.594117647058823,9,0.05202312,70,0.40462428,2.004950646500589,2.857055233243648,"David Bednar",19569,670280
"Sam Moll","- - -",62.1,163,87.66894469646193,102.3,112.9,7.882716049382716,4,0.02453988,58,0.35582822,3.032086643923107,2.8681243414642976,"Sam Moll",14874,594580
"Griffin Jax","MIN",65.1,183,86.76777886284722,103,109,6.905555555555556,6,0.03278689,61,0.33333333,3.8571431574251727,2.8957610588768885,"Griffin Jax",20253,643377
"Drew Rasmussen","TBR",44.2,118,87.26638267780173,101.7,115.9,9.017241379310345,5,0.04237288,38,0.3220339,2.6194031342123876,2.896604336144543,"Drew Rasmussen",25385,656876
"Joe Kelly","- - -",39.1,88,84.86437006106321,104.7,114.3,0.7613636363636364,6,0.06818182,32,0.36363636,4.11864460038584,2.9012643269969547,"Joe Kelly",9761,523260
"Tommy Kahnle","NYY",40.2,97,86.828125,102.2,113,8.239583333333334,4,0.04123711,22,0.22680412,2.6557378709973114,2.9038349733151727,"Tommy Kahnle",11384,592454
"Camilo Doval","SFG",67.2,160,88.93924297863924,104.5,115.4,8.018867924528301,8,0.05,66,0.4125,2.926108814274652,2.9231091837195224,"Camilo Doval",21992,666808
"Hoby Milner","MIL",64.1,178,86.59028459821428,101.4,112.5,10.131428571428572,11,0.06179775,63,0.35393258,1.8186534248797717,2.948152922321417,"Hoby Milner",13346,571948
"James McArthur","KCR",23.1,64,89.15079655722967,105.5,112.2,3.4126984126984126,3,0.046875,28,0.4375,4.628571680808568,2.9643388067715937,"James McArthur",21527,663704
"Andrés Muñoz","SEA",49,117,88.42906149839743,104.8,110.8,1.8205128205128205,6,0.05128205,42,0.35897436,2.9387757389906075,2.9923742324492193,"Andres Munoz",20373,662253
"Pablo López","MIN",194,510,87.0580213490099,103.2,112.8,12.63960396039604,32,0.0627451,177,0.34705882,3.6649484536082473,3.0116094268148195,"Pablo Lopez",17085,641154
"Danny Coulombe","BAL",51.1,138,85.64518229166667,102.6,110.4,13.666666666666666,8,0.05797101,42,0.30434783,2.805195916984228,3.017965262735305,"Danny Coulombe",13293,543056
"Dauri Moreta","PIT",58,136,86.66343575093283,103.3,113,13.246268656716419,11,0.08088235,45,0.33088235,3.7241386658514615,3.0195797602052066,"Dauri Moreta",21101,664294
"Zach Eflin","TBR",177.2,490,87.45384777806653,104.8,115.5,9.132780082987551,44,0.08979592,172,0.35102041,3.495309468416154,3.024544555264231,"Zach Eflin",13774,621107
"Justin Topa","SEA",69,197,87.52947162828947,104,110.4,2.6443298969072164,6,0.03045685,72,0.36548223,2.608695940619863,3.027252571842228,"Justin Topa",15145,623437
"Kevin Ginkel","ARI",65.1,159,87.99182512775157,103.7,112.5,9.528301886792454,12,0.0754717,59,0.37106918,2.4795923193313287,3.0696784804792743,"Kevin Ginkel",19876,656464
"Ryan Walker","SFG",61.1,159,85.13375640674761,101.3,108.4,10.853503184713375,7,0.04402516,42,0.26415094,3.2282616392427705,3.0697110920429025,"Ryan Walker",20423,676254
"Spencer Strider","ATL",186.2,415,88.50507623792271,104.2,111.8,17.02415458937198,34,0.08192771,150,0.36144578,3.857143067340473,3.0838810214030925,"Spencer Strider",27498,675911
"A.J. Puk","MIA",56.2,149,87.33469520620748,105.5,112.1,13.020408163265307,12,0.08053691,48,0.32214765,3.9705889480750494,3.0868218852384874,"A.J. Puk",19343,640462
"Erik Swanson","TOR",66.2,166,89.2414610327744,104.7,114.3,17.109756097560975,10,0.06024096,67,0.40361446,2.9700004531861044,3.107680092384326,"Erik Swanson",16587,657024
"Ryan Pepiot","LAD",42,113,86.73486328125,103.4,114.3,19.954128440366972,10,0.08849558,31,0.27433628,2.142857142857143,3.1094734847498047,"Ryan Pepiot",26221,686752
"Emmanuel Clase","CLE",72.2,221,88.42430271612149,103.4,109.6,1.9128440366972477,11,0.04977376,83,0.37556561,3.2201835989360146,3.1118741425041407,"Emmanuel Clase",21032,661403
"Trent Thornton","- - -",31.1,93,85.89569649645077,101.6,110.9,14.956989247311828,4,0.04301075,27,0.29032258,2.0106385630577304,3.1157584659542574,"Trent Thornton",17948,663423
"Phil Maton","HOU",66,166,84.4920257381135,100.7,108,11.680981595092025,12,0.07228916,39,0.23493976,3.0000003467907006,3.115907609447093,"Phil Maton",18064,664208
"Joe Musgrove","SDP",97.1,272,87.49261992619927,102.7,111.9,11.121771217712178,14,0.05147059,91,0.33455882,3.051370022466478,3.1218089071181097,"Joe Musgrove",12970,605397
"Evan Phillips","LAD",61.1,152,88.15466796875,103.4,115.1,14.98,10,0.06578947,56,0.36842105,2.054347996450341,3.1247165355349935,"Evan Phillips",17734,623465
"Brusdar Graterol","LAD",67.1,195,86.98359575221147,102.9,112.4,1.9,9,0.04615385,63,0.32307692,1.2029703879003535,3.1267404413101305,"Brusdar Graterol",20367,660813
"Trevor Megill","MIL",34.2,83,90.7390218595179,102.5,110.3,16.646341463414632,6,0.07228916,32,0.38554217,3.6346156512491996,3.133661626636354,"Trevor Megill",17722,656730
"Raisel Iglesias","ATL",55.2,148,88.8006816007653,105.1,109.7,12.517006802721088,10,0.06756757,56,0.37837838,2.7485031195773333,3.139398987951112,"Raisel Iglesias",17130,628452
"José Leclerc","TEX",57,136,85.8661750344669,103.6,112.6,25.044117647058822,11,0.08088235,44,0.32352941,2.684211065234348,3.1653297318759352,"Jose Leclerc",14524,600917
"Joel Payamps","MIL",70.2,188,87.76086956521739,103.7,110,13.869565217391305,9,0.04787234,63,0.33510638,2.547170177988042,3.17589135631941,"Joel Payamps",14332,606303
"Will Vest","DET",48.1,130,90.17054263565892,105.2,111,11.031007751937985,7,0.05384615,58,0.44615385,2.979311011061664,3.1843608171110493,"Will Vest",19769,676684
"Matt Strahm","PHI",87.2,219,90.21162790697674,104.8,112.8,19.76279069767442,18,0.08219178,92,0.42009132,3.285171483861131,3.1876033556791157,"Matt Strahm",13799,621381
"Kenley Jansen","BOS",44.2,117,89.773046875,103.3,111.9,28.652173913043477,8,0.06837607,42,0.35897436,3.626865878140229,3.194124720736583,"Kenley Jansen",3096,445276
"Robert Suarez","SDP",27.2,74,88.10675543707771,102.1,110,9.445945945945946,5,0.06756757,27,0.36486486,4.228916051374325,3.1947212223031447,"Robert Suarez",30115,663158
"Gregory Santos","CHW",66.1,201,88.87185929648241,102.6,111.2,2.8844221105527637,3,0.01492537,70,0.34825871,3.3919604492111683,3.205649909161984,"Gregory Santos",21894,666619
"Victor González","LAD",33.2,92,86.598911948826,105.8,111.2,0.7934782608695652,6,0.06521739,27,0.29347826,4.009901981630497,3.2134719173186665,"Victor Gonzalez",16408,624647
"Zack Wheeler","PHI",192,527,86.92519233062977,103.2,113.2,14.244274809160306,27,0.0512334,192,0.36432638,3.609375,3.2143298599978976,"Zack Wheeler",10310,554430
"Chris Martin","BOS",51.1,145,84.5293719951923,103.9,109.5,4.041958041958042,3,0.02068966,45,0.31034483,1.0519481561782793,3.217987637228971,"Chris Martin",11847,455119
"Mason Miller","OAK",33.1,82,89.17037248022763,101.4,112.4,23.77777777777778,3,0.03658537,28,0.34146341,3.780000144195562,3.2214004454091203,"Mason Miller",31757,695243
"Bryan Abreu","HOU",72,153,89.9059589714404,103.2,117.4,14.47019867549669,15,0.09803922,52,0.33986928,1.7500001854366922,3.223855638843848,"Bryan Abreu",16609,650556
"Luke Jackson","SFG",33.1,84,88.76547386532738,103.6,108.5,7.75,7,0.08333333,34,0.4047619,2.9700004531861044,3.2261723176240467,"Luke Jackson",11752,592426
