Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Yuki Matsui","SDP",63.1,0.3,0.70588235,0.48824083,0.47953216,0.84195402,0.72254335,0.46378175,23.25380711,"Yuki Matsui",33826,673513
"Luke Weaver","NYY",64.2,0.34230769,0.69565217,0.52049571,0.56179775,0.81793478,0.73443223,0.5042898,22.31096774,"Luke Weaver",16918,596133
"Félix Bautista","BAL",34.2,0.26347305,0.66211604,0.44976077,0.46590909,0.77835052,0.68085106,0.46730463,21.96280992,"Felix Bautista",20666,642585
"David Morgan","SDP",47.1,0.28065395,0.68671679,0.4921671,0.54368932,0.84671533,0.76392573,0.52088773,21.84063047,"David Morgan",31616,688158
"Steven Wilson","CHW",55.1,0.23290598,0.69215686,0.47239264,0.55963303,0.83569405,0.77056277,0.52147239,21.82900137,"Steven Wilson",20353,621051
"Pete Fairbanks","TBR",60.1,0.32727273,0.64351005,0.50253293,0.49305556,0.85511364,0.75,0.55420466,21.75749319,"Pete Fairbanks",17998,664126
"Alex Vesia","LAD",59.2,0.2832618,0.67684022,0.49755621,0.59848485,0.76392573,0.72102161,0.54447703,21.72704082,"Alex Vesia",25007,681911
"Devin Williams","NYY",62,0.36610169,0.64312977,0.49640934,0.55555556,0.72700297,0.66003617,0.47037702,21.57814336,"Devin Williams",15816,642207
"Josh Simpson","MIA",30.2,0.29856115,0.59036145,0.45737705,0.51807229,0.87755102,0.77060932,0.5442623,21.46854664,"Josh Simpson",25957,681006
"Tyler Kinley","- - -",72.2,0.31433225,0.66123779,0.48778502,0.47668394,0.81280788,0.70450751,0.5,21.35441658,"Tyler Kinley",18297,641755
"Ryan Helsley","- - -",56,0.33618844,0.703125,0.52808989,0.38853503,0.86111111,0.71760155,0.52298264,21.34903047,"Ryan Helsley",18138,664854
"Yohan Ramírez","PIT",33.1,0.28735632,0.65014577,0.49337748,0.49333333,0.83856502,0.75167785,0.56788079,21.29333333,"Yohan Ramirez",19444,670990
"Kade Strowd","BAL",26.1,0.305,0.64563107,0.47783251,0.49180328,0.88721805,0.7628866,0.50738916,21.27,"Kade Strowd",26191,669704
"Chris Martin","TEX",42.1,0.35249042,0.69496021,0.55485893,0.58695652,0.87022901,0.79661017,0.59090909,21.20824295,"Chris Martin",11847,455119
"Génesis Cabrera","- - -",42.2,0.28279883,0.65508021,0.47698745,0.51546392,0.84081633,0.74853801,0.52161785,21.15819209,"Genesis Cabrera",17490,650893
"Brock Stewart","- - -",37.2,0.27797834,0.6996997,0.50819672,0.45454545,0.79828326,0.71290323,0.54590164,21.09598214,"Brock Stewart",16727,592779
"Frankie Montas","NYM",38.2,0.30470914,0.67146974,0.48446328,0.59090909,0.84978541,0.76676385,0.49011299,21.08867925,"Frankie Montas",14309,593423
"Matt Strahm","PHI",62.1,0.30484988,0.68928571,0.52165156,0.56060606,0.84455959,0.77220077,0.56394763,21.00272109,"Matt Strahm",13799,621381
"Emilio Pagán","CIN",68.2,0.33589251,0.70932358,0.52715356,0.50857143,0.81958763,0.72291297,0.51217228,21.00126582,"Emilio Pagan",14771,641941
"Joe Ross","PHI",51,0.26356589,0.70526316,0.50696056,0.65686275,0.85074627,0.80549199,0.55104408,20.94611727,"Joe Ross",12972,605452
"Kyle Finnegan","- - -",57,0.26330532,0.66666667,0.4964539,0.55319149,0.84969325,0.78333333,0.57801418,20.92810458,"Kyle Finnegan",15009,640448
"Jonathan Loáisiga","NYY",29.2,0.36134454,0.71179039,0.53319058,0.61627907,0.8404908,0.76305221,0.49036403,20.90690691,"Jonathan Loaisiga",19753,642528
"Logan Henderson","MIL",25.1,0.30057803,0.7257384,0.54634146,0.59615385,0.83139535,0.77678571,0.57804878,20.90032154,"Logan Henderson",31475,701656
"Kyle Bradish","BAL",32,0.30522088,0.59591837,0.44939271,0.38157895,0.82876712,0.67567568,0.49595142,20.88828338,"Kyle Bradish",24586,680694
"Tyler Wells","BAL",21.2,0.33108108,0.73195876,0.55847953,0.63265306,0.85211268,0.79581152,0.56725146,20.87984496,"Tyler Wells",20000,669330
"Shane Baz","TBR",166.1,0.30344275,0.6460177,0.48859455,0.54353562,0.84720759,0.76054217,0.54047093,20.85807096,"Shane Baz",22264,669358
"Gordon Graceffo","STL",43,0.28198433,0.68364611,0.48015873,0.52777778,0.90196078,0.79063361,0.49338624,20.84821429,"Gordon Graceffo",29519,700669
"Logan Gilbert","SEA",131,0.32285714,0.68535262,0.50881262,0.40412979,0.823219,0.69371012,0.51298701,20.84200743,"Logan Gilbert",22250,669302
