Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Chris Stratton","- - -",0.4117647058823529,1.4,0.166666666,0.486111111,0.347222222,0.08,0.16,11,4.714286142466059,159,252,411,0.36111111,0.40277778,0.23611111,0.19444444,0.51388889,0.29166667,"Chris Stratton",13761,608717
"Matt Gage","- - -",0.3645833333333333,1.642857142,0.204301075,0.494623655,0.301075268,0.142857142,0,17,4.93548538930505,196,336,532,0.45833333,0.26041667,0.28125,0.15625,0.55208333,0.29166667,"Matt Gage",17381,657424
"Eduardo Salazar","WSN",0.3883495145631068,1.71875,0.194444444,0.509259259,0.296296296,0.0625,0.21875,18,5.586207631368654,203,342,545,0.38181818,0.36363636,0.25454545,0.20909091,0.5,0.29090909,"Eduardo Salazar",23135,674285
"Logan Allen","CLE",0.297008547008547,1.144385026,0.168049792,0.443983402,0.387966804,0.14973262,0.096256684,80,4.595744979257461,1040,1669,2709,0.40412371,0.33608247,0.25979381,0.1814433,0.52783505,0.29072165,"Logan Allen",27589,671106
"Jonathan Bowlan","KCR",0.27927927927927926,1.435897435,0.173913043,0.486956521,0.339130434,0.076923076,0.153846153,19,3.8571432996641803,269,458,727,0.41880342,0.2991453,0.28205128,0.1965812,0.51282051,0.29059829,"Jonathan Bowlan",24607,680742
"Tyler Wells","BAL",0.22413793103448276,0.617647058,0.112903225,0.338709677,0.548387096,0.117647058,0.117647058,8,3.323077020588714,101,241,342,0.46774194,0.35483871,0.17741935,0.12903226,0.58064516,0.29032258,"Tyler Wells",20000,669330
"Jake Woodford","ARI",0.328125,1.390243902,0.234375,0.4453125,0.3203125,0.097560975,0.073170731,13,3.2201839370285086,240,385,625,0.44274809,0.32061069,0.23664122,0.20610687,0.50381679,0.29007634,"Jake Woodford",18674,663765
"Cristian Javier","HOU",0.27884615384615385,0.561403508,0.168224299,0.29906542,0.53271028,0.175438596,0.052631578,21,5.108108108108108,236,382,618,0.41121495,0.35514019,0.23364486,0.21495327,0.4953271,0.28971963,"Cristian Javier",17606,664299
"Ryan Bergert","- - -",0.25728155339805825,0.613861386,0.231132075,0.29245283,0.476415094,0.05940594,0.07920792,33,3.890829953577963,489,823,1312,0.38317757,0.3411215,0.27570093,0.09813084,0.61214953,0.28971963,"Ryan Bergert",29863,686701
"Adrian Houser","- - -",0.3027027027027027,1.491935483,0.182539682,0.489417989,0.328042328,0.080645161,0.080645161,60,4.320000131835942,657,1235,1892,0.44736842,0.36052632,0.19210526,0.14473684,0.56578947,0.28947368,"Adrian Houser",12718,605288
"Jeremiah Estrada","SDP",0.2987012987012987,0.702380952,0.12804878,0.359756097,0.512195121,0.178571428,0.142857142,24,2.9589047280726453,415,821,1236,0.31927711,0.43975904,0.24096386,0.1686747,0.54216867,0.28915663,"Jeremiah Estrada",22210,669093
"Shawn Dubin","- - -",0.3163265306122449,1.457142857,0.173076923,0.490384615,0.336538461,0.171428571,0.171428571,9,2.4059411847187344,206,345,551,0.375,0.30769231,0.31730769,0.20192308,0.50961538,0.28846154,"Shawn Dubin",24977,681869
"Jordan Hicks","- - -",0.3523809523809524,2.23076923,0.207547169,0.547169811,0.245283018,0.076923076,0.115384615,30,4.0099013497953395,454,746,1200,0.37674419,0.36744186,0.25581395,0.13488372,0.57674419,0.28837209,"Jordan Hicks",19618,663855
"Tony Santillan","CIN",0.24864864864864866,0.906666666,0.239361702,0.361702127,0.39893617,0.146666666,0.093333333,22,2.68778317658205,436,794,1230,0.34031414,0.40837696,0.2513089,0.14659686,0.56544503,0.28795812,"Tony Santillan",19926,663574
"Steven Cruz","KCR",0.2440944881889764,1,0.20610687,0.396946564,0.396946564,0.096153846,0.096153846,32,6.306570747892449,222,420,642,0.37878788,0.39393939,0.22727273,0.15151515,0.56060606,0.28787879,"Steven Cruz",23165,674444
"Hoby Milner","TEX",0.30434782608695654,1.602941176,0.144927536,0.526570048,0.328502415,0.058823529,0.073529411,33,4.222750036664494,402,756,1158,0.38207547,0.35849057,0.25943396,0.16509434,0.54716981,0.28773585,"Hoby Milner",13346,571948
"Carmen Mlodzinski","PIT",0.3230240549828179,1.647058823,0.237288135,0.474576271,0.288135593,0.129411764,0.094117647,43,3.9090912103434254,600,1048,1648,0.3812709,0.34113712,0.27759197,0.17056856,0.54180602,0.28762542,"Carmen Mlodzinski",27572,669387
"Fernando Cruz","NYY",0.2916666666666667,1,0.26,0.37,0.37,0.135135135,0.135135135,30,5.625001341104827,317,476,793,0.46534653,0.35643564,0.17821782,0.17821782,0.53465347,0.28712871,"Fernando Cruz",7048,518585
"Jose A. Ferrer","WSN",0.3377777777777778,3.044444444,0.168949771,0.625570776,0.205479452,0.022222222,0.111111111,40,4.716157990860917,406,807,1213,0.36956522,0.35652174,0.27391304,0.15652174,0.55652174,0.28695652,"Jose A. Ferrer",24017,678606
"Jacob Lopez","ATH",0.2920353982300885,0.546218487,0.220338983,0.275423728,0.504237288,0.109243697,0.12605042,53,5.147482102680242,628,1038,1666,0.41908714,0.33609959,0.24481328,0.19502075,0.5186722,0.28630705,"Jacob Lopez",25098,682052
"Drew Pomeranz","CHC",0.2727272727272727,0.905660377,0.192,0.384,0.424,0.150943396,0.094339622,29,5.255034532457399,266,535,801,0.35714286,0.34920635,0.29365079,0.20634921,0.50793651,0.28571429,"Drew Pomeranz",11426,519141
"Devin Williams","NYY",0.2962962962962963,1.16981132,0.17266187,0.446043165,0.381294964,0.056603773,0.094339622,27,3.9193550798573082,400,716,1116,0.45714286,0.33571429,0.20714286,0.13571429,0.57857143,0.28571429,"Devin Williams",15816,642207
"Dean Kremer","BAL",0.2837022132796781,0.953703703,0.182170542,0.399224806,0.418604651,0.097222222,0.101851851,101,5.295145797761859,952,1804,2756,0.40733591,0.34942085,0.24324324,0.15637066,0.55791506,0.28571429,"Dean Kremer",19350,665152
"Tarik Skubal","DET",0.2727272727272727,1.067039106,0.206008583,0.409871244,0.384120171,0.117318435,0.100558659,100,4.607508652397615,846,2003,2849,0.37100213,0.34541578,0.28358209,0.20255864,0.51172708,0.28571429,"Tarik Skubal",22267,669373
