Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Hayden Birdsong","SFG",-0.18104171752929688,-5.4807140827178955,5.299672365188599,-7.523800730705261,-0.793681263923645,1.0171454835247684,0.964249310359149,0.9622285706656319,1.3162736767216732,19,-0.3140706904232502,0.1360806973871278,7,3,"Hayden Birdsong",31635,806185
"Seth Halvorsen","COL",1.7460980415344238,-3.5584306716918945,5.304528713226318,-1.6690001487731934,-0.22088375687599182,1.3537781238555908,1.5062114000320435,1.4824047088623047,1.3951789140701294,19,0.30888456106185913,0.9809117584129281,20,3,"Seth Halvorsen",33294,678020
"Charlie Morton","- - -",-2.614045314490795,-13.31839806586504,10.704352036118507,-22.25310067087412,-2.2921636030077934,0.9922096419001816,0.8231570198164357,0.7771939508842699,0.8165562618523836,32,-2.3849721918813884,-0.249597362879876,0,2,"Charlie Morton",4676,450203
"Hunter Strickland","LAA",0.46996814012527466,-1.259672999382019,1.7296411991119385,3.435999631881714,0.3608534336090088,0.878333330154419,1.10530686378479,1.8474842309951782,0.9211077094078064,13,0.4099023640155792,0.12516572914519153,5,2,"Hunter Strickland",7836,519326
"Brooks Raley","NYM",0.7766640782356262,-1.0981178283691406,1.874781847000122,7.689000129699707,0.8010371923446655,1.0012646913528442,0.9678414463996887,1.1708600521087646,0.9099103212356567,29,1.0400142669677734,-0.2643311884141416,8,2,"Brooks Raley",10061,548384
"Taijuan Walker","PHI",-0.8230120092630386,-9.100337982177734,8.277325868606567,3.628200501203537,0.34326830925419927,0.8781678369002682,0.7969343736767769,0.790600012330448,0.9253933429718018,30,-0.9575546681880951,0.020362511198967703,2,2,"Taijuan Walker",11836,592836
"John Brebbia","- - -",-0.39460380375385284,-1.3412840068340302,0.9466801881790161,-13.22499966621399,-1.3695059567689896,0.5187277368136815,0.5889988899230957,0.47304547239433636,1.351222187280655,9,-0.49953603744506836,-0.26117864146863723,0,2,"John Brebbia",12777,605154
"Anthony DeSclafani","ARI",0.29878413677215576,-2.5130980014801025,2.8118821382522583,-5.352799654006958,-0.5687787532806396,0.9877385961061175,0.8427309649331229,0.8533384937506455,2.060524970293045,8,-0.7824038863182068,1.0848970134978355,3,2,"Anthony DeSclafani",13050,543101
"Chris Stratton","- - -",-0.23267393978312612,-0.3789219558238983,0.14624802395701408,-9.96899962425232,-1.019774317741394,0.11614528270262592,0.12054242464629086,0.142786668241024,0.06466666236519814,6,-1.1073220074176788,-0.8959788100494914,0,2,"Chris Stratton",13761,608717
"Chris Flexen","CHC",0.6361639201641083,-1.3603743016719818,1.996538296341896,4.246000051498413,0.43062031269073486,0.5010282471776009,0.5584044244554308,0.7827523719696772,0.7923111087746091,9,0.3880474269390106,0.8816692482140482,3,2,"Chris Flexen",13896,623167
"Lance McCullers Jr.","HOU",-1.7781160175800323,-5.773580074310303,3.9954640716314316,-18.52280044555664,-1.988584816455841,0.9959810451722481,0.8690203246423753,0.9426625072956085,0.8522714525461197,14,-1.7236804813146591,-0.061610540235373934,0,2,"Lance McCullers Jr.",14120,621121
"Josh Hader","HOU",4.246212005615234,-4.134777545928955,8.380990028381348,14.711999893188477,1.5480703115463257,2.052497148513794,1.863398790359497,1.751908302307129,2.585028648376465,7,1.5798665285110474,0.48893634836013433,28,2,"Josh Hader",14212,623352
"Cole Sulser","TBR",-0.15127192437648773,-1.0856220722198486,0.9343500733375549,6.50499963760376,0.6727128624916077,0.6128914952278137,0.4986586570739746,0.5937444567680359,1.024828553199768,7,0.49543294310569763,-0.7422497541633539,3,2,"Cole Sulser",15256,642121
"Brandon Waddell","NYM",0.27030400931835175,-1.026662141084671,1.2969660609960556,3.559999942779541,0.3682580888271332,0.524831109576755,0.5929421344224144,0.8067817958918485,0.9742285864693778,7,0.02410559356212616,0.4909248693544791,3,2,"Brandon Waddell",18347,663399
"Tommy Nance","TOR",0.5643799304962158,-1.1579490900039673,1.722329020500183,8.86299991607666,0.9080999493598938,0.653924822807312,0.7447658181190491,0.7709266543388367,1.037000060081482,21,0.1699565052986145,0.6931089585162041,4,2,"Tommy Nance",19178,667297
"Thomas Hatch","- - -",-0.1280538872233592,-1.3517299829400145,1.223676080815494,-3.73799991607666,-0.37278057634830475,0.47797089688409167,0.4513686184699719,0.4658000022172928,0.45202500000596046,8,-0.48097265884280205,0.21306118544944946,1,2,"Thomas Hatch",19264,641672
"Cionel Pérez","BAL",-0.33348986506462097,-0.5962339639663696,0.26274409890174866,-11.712000846862793,-1.1647169589996338,0.17697368562221527,0.18208888173103333,0.2070210576057434,0.10461539030075073,13,-0.5822868943214417,-1.3021167891533993,0,2,"Cionel Perez",19614,672335
"Kyle Hart","SDP",-0.1808217540383339,-2.7315658926963806,2.5507441759109497,-0.1390995979309082,0.010769575834274292,0.7944891297298929,0.7537300086021423,0.7169600367546082,1.1875555515289307,18,-0.0478115975856781,-0.17978340311597896,1,2,"Kyle Hart",19646,606996
"Bryse Wilson","CHW",-0.5852958410978317,-3.172261953353882,2.586966037750244,-13.827799797058105,-1.398888885974884,0.7012803111864433,0.5651301283102769,0.5502799972891808,1.0471666504939396,12,-1.9061151146888733,1.0715047145942038,2,2,"Bryse Wilson",19990,669060
"Tristan Beck","SFG",0.6279902160167694,-1.4899621307849884,2.117952346801758,0.9049994945526123,0.09143462777137756,0.47935378075647755,0.5258954205820637,0.7327742076689198,0.7474817850373008,22,0.245916485786438,1.064160207518715,6,2,"Tristan Beck",21584,663941
"Elvis Alvarado","ATH",0.38162949681282043,-2.1707355976104736,2.5523650646209717,2.871999979019165,0.2754112482070923,0.7130753993988037,0.749023973941803,0.647935152053833,0.8392333388328552,24,-0.14799843728542328,0.6831865774660739,6,2,"Elvis Alvarado",21662,665660
"Yoendrys Gómez","- - -",-0.238613705849275,-3.3980675812345,3.1594539768993855,-8.027999520301819,-0.8246661797165871,0.6514524463173392,0.6076205968856812,0.5316571405689631,0.8507384932958163,13,-0.2083213236182928,-0.1579582217240546,0,2,"Yoendrys Gomez",22872,672782
"Max Lazar","PHI",0.29354819655418396,-1.2989540100097656,1.592502236366272,3.0220000743865967,0.3050806224346161,0.4221762716770172,0.434597909450531,0.6163166761398315,0.7170000076293945,17,0.18303221464157104,0.5122891860333603,5,2,"Max Lazar",23426,676661
"Austin Cox","ATL",-0.36899808049201965,-0.7453319877386093,0.37633393704891205,-12.892999529838562,-1.3172498494386673,0.27803654223680496,0.400131987200843,0.5189999983860896,0.9379110866122775,9,-1.2283857315778732,-0.09877104257644764,1,2,"Austin Cox",24604,680735
"Jacob Lopez","ATH",0.5418162941932678,-6.278179883956909,6.819996207952499,5.198000013828278,0.38939084485173225,0.9487317172492423,0.876767680644989,0.8598571334566388,0.9148200064897537,20,0.19593870639801025,0.37515666686959037,0,2,"Jacob Lopez",25098,682052
"Sawyer Gipson-Long","DET",-0.6435079425573349,-2.35532408952713,1.711816132068634,-8.504199981689453,-0.8851262629032135,0.8097889311611652,0.7905555227223564,1.0491750240325928,0.9049750342965126,8,-1.1715105772018433,0.3768492552267432,2,2,"Sawyer Gipson-Long",26048,687830
"Orlando Ribalta","WSN",-0.35421594977378845,-0.7506400346755981,0.3964240550994873,-6.111000061035156,-0.6335747838020325,0.26769593358039856,0.19851155579090118,0.25434544682502747,0.20154666900634766,15,-0.6645585298538208,-0.6586440494166068,0,2,"Orlando Ribalta",26247,687377
"Bryce Jarvis","ARI",-0.22413389384746552,-0.7544499039649963,0.5303159952163696,-1.9849997758865356,-0.21192456781864166,0.3286159932613373,0.2691040337085724,0.23955000936985016,1.1757999658584595,5,-0.41914671659469604,-0.26290740871751705,0,2,"Bryce Jarvis",27477,686826
