Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
"Tommy Hunter","NYM",22.1,0.03151862,,0.46131805,,,0.35816619,,0.14613181,,,0.00286533,,,,"Tommy Hunter",1157,488984
"Matt Bush","- - -",59.2,0.48237885,,0.16189427,,,0.00330396,,0.35242291,,,,,,,"Matt Bush",1246,456713
"Adam Ottavino","NYM",65.2,0.12181303,,0.05193579,,,0.32577904,0.42965061,,,,0.07082153,,,,"Adam Ottavino",1247,493603
"Matt Moore","TEX",74,0.44951923,,,,,,,,0.38221154,,0.16826923,,,,"Matt Moore",1890,519043
"Zack Greinke","KCR",137,0.38292254,,0.15272887,,,0.02244718,0.07394366,0.20334507,,,0.16461268,,,,"Zack Greinke",1943,425844
"Clayton Kershaw","LAD",126.1,0.39956569,,,,,0.00434311,0.4267101,0.16340934,,,0.00597177,,,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",191.2,0.09352059,,0.25023939,,,0.2780083,0.00095755,0.30641558,0.01053304,,0.06032557,,,,"Adam Wainwright",2233,425794
"Corey Kluber","TBR",164,0.01466993,,0.34189079,,,0.26813366,,0.27261614,,,0.10268949,,,,"Corey Kluber",2429,446372
"Lance Lynn","CHW",121.2,0.45944609,,0.2586548,,,0.13155292,0.02670623,0.08605341,,,0.03758655,,,,"Lance Lynn",2520,458681
"Jhoulys Chacín","COL",47.1,0.08778626,,,,,0.35750636,0.28117048,0.24681934,,,0.02671756,,,,"Jhoulys Chacin",2608,468504
"Ross Detwiler","CIN",26.1,0.25477707,,0.43524416,,,0.24840764,,0.03397028,,,0.02760085,,,,"Ross Detwiler",2859,446321
"Kenley Jansen","ATL",64,,,0.65234765,,,0.21678322,0.13086913,,,,,,,,"Kenley Jansen",3096,445276
"Max Scherzer","NYM",145.1,0.45404157,,0.09515012,,,,0.23279446,0.09237875,,,0.1256351,,,,"Max Scherzer",3137,453286
