Name,Team,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA,NameASCII,PlayerId,MLBAMID
"Pete Fairbanks","TBR",24,46,87.25999891493055,102.6,107.3,9.422222222222222,1,0.02173913,12,0.26086957,1.1250000894069743,1.0036145969478076,"Pete Fairbanks",17998,664126
"Edwin Díaz","NYM",62,97,85.48315686677631,102.3,112.7,10.421052631578947,4,0.04123711,37,0.3814433,1.3064517736683228,1.7045779919608635,"Edwin Diaz",14710,621242
"Andrés Muñoz","SEA",65,133,86.18931148616412,102.8,112.3,7.129770992366412,7,0.05263158,48,0.36090226,2.492307984843091,1.8214641189912764,"Andres Munoz",20373,662253
"Emmanuel Clase","CLE",72.2,183,86.29547912252825,102.2,109.5,0.3202247191011236,4,0.02185792,59,0.32240437,1.3623853687806216,1.9730919092280448,"Emmanuel Clase",21032,661403
"Devin Williams","MIL",60.2,111,84.2927927927928,101.7,109.4,9.35135135135135,1,0.00900901,30,0.27027027,1.9285716306845309,2.0493006879682145,"Devin Williams",15816,642207
"Ryan Helsley","STL",64.2,125,88.79919039818549,105.3,112,22.169354838709676,11,0.088,49,0.392,1.2525775166269701,2.059594495584978,"Ryan Helsley",18138,664854
"Jason Adam","TBR",63.1,139,85.16159278759058,100.8,113,14.376811594202898,7,0.05035971,38,0.27338129,1.563158114425394,2.089083007335635,"Jason Adam",11861,592094
"Hayden Wesneski","CHC",33,89,84.5367782417385,104,110.2,14,4,0.04494382,24,0.26966292,2.181818307923884,2.161131440584605,"Hayden Wesneski",27581,669713
"Jhoan Duran","MIN",67.2,157,88.2422065239448,105.3,112.2,-1.0714285714285714,7,0.04458599,55,0.35031847,1.8620690354997995,2.190567331312799,"Jhoan Duran",21029,661395
"Evan Phillips","LAD",63,138,86.08656424906717,103.1,109.8,14.985185185185186,6,0.04347826,43,0.3115942,1.1428572812588744,2.1951870706243763,"Evan Phillips",17734,623465
"Jovani Morán","MIN",40.2,92,85.03152067764945,104,111.4,7.456521739130435,5,0.05434783,26,0.2826087,2.21311510009689,2.237859124904964,"Jovani Moran",20422,663558
"Erik Swanson","SEA",53.2,125,85.02520479031695,102.2,110.3,20.30081300813008,8,0.064,38,0.304,1.6770188322148805,2.2864491307337906,"Erik Swanson",16587,657024
"Trevor Stephan","CLE",63.2,163,87.48125,103.7,111.6,10.24375,5,0.03067485,56,0.34355828,2.685864303487297,2.2904192935893066,"Trevor Stephan",19932,663986
"Jacob deGrom","NYM",64.1,129,89.33228500246064,105.9,111.6,15.244094488188976,12,0.09302326,41,0.31782946,3.0777204505817988,2.2921439775776307,"Jacob deGrom",10954,594798
"Adam Ottavino","NYM",65.2,158,84.80448717948718,101.2,112,7.6369426751592355,5,0.03164557,47,0.29746835,2.0558378819248384,2.3034194752640804,"Adam Ottavino",1247,493603
"Spencer Strider","ATL",131.2,278,88.00935462567446,103.6,111.4,14.046762589928058,17,0.06115108,100,0.35971223,2.6658229135355365,2.386501902602221,"Spencer Strider",27498,675911
"Clay Holmes","NYY",63.2,166,89.11676897321429,104.9,112.2,-7.962732919254658,3,0.01807229,71,0.42771084,2.5445030243563864,2.3996196975493302,"Clay Holmes",13649,605280
"Kenley Jansen","ATL",64,151,87.08707350127551,102.1,117.2,21.86394557823129,11,0.07284768,49,0.32450331,3.375000201165688,2.415394587858945,"Kenley Jansen",3096,445276
"A.J. Minter","ATL",70,159,88.27677671370968,104.2,112.2,17.98076923076923,14,0.08805031,54,0.33962264,2.0571430813536598,2.4320289741530563,"A.J. Minter",18655,621345
