Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
"Tommy Hunter","NYM",22.1,-3.860707022927024,,0.6571225468416392,,,-8.2570888671875,,5.258758544921875,,,-3.124455451965332,,,"Tommy Hunter",1157,488984
"Matt Bush","- - -",59.2,-4.154353982237376,,0.603887447694532,,,-8.090389092763266,,4.429202449321747,,,,,,"Matt Bush",1246,456713
"Adam Ottavino","NYM",65.2,-5.428447871245155,,1.0355180913751776,,,-10.285495923913043,9.060758284684066,,,,-10.042040201822916,,,"Adam Ottavino",1247,493603
"Matt Moore","TEX",74,5.861165364583333,,,,,,,,-1.8453068443314335,,10.1437744140625,,,"Matt Moore",1890,519043
"Zack Greinke","KCR",137,-1.6728850967582616,,3.121023744258826,,,-6.909147973154106,4.231510344005766,6.670814943520021,,,-7.620783025568182,,,"Zack Greinke",1943,425844
"Clayton Kershaw","LAD",126.1,0.10334522827811864,,,,,5.037639141082764,-2.572704674330073,-2.5227255583601536,,,7.498700228604403,,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",191.2,-1.087150912236028,,3.1075237040617028,,,-7.787928409335533,9.22796376546224,8.925410970052083,8.880286939216383,,-8.407969318369709,,,"Adam Wainwright",2233,425794
"Corey Kluber","TBR",164,-4.179190741644965,,0.9399395148148838,,,-9.9261953243731,,8.735980708146487,,,-8.24306911892361,,,"Corey Kluber",2429,446372
"Lance Lynn","CHW",121.2,-3.0114231006963132,,0.23469730180262607,,,-6.985450687265038,1.803294994212963,4.944564994724318,,,-7.419884932668586,,,"Lance Lynn",2520,458681
"Jhoulys Chacín","COL",47.1,-2.0559765359629756,,,,,-6.858459255449288,1.9891495510463801,8.143912718468105,,,-3.5202811104910716,,,"Jhoulys Chacin",2608,468504
"Ross Detwiler","CIN",26.1,5.5769195556640625,,-0.6557950647865853,,,9.244144798344017,,-3.0672943592071533,,,7.70401118351863,,,"Ross Detwiler",2859,446321
"Kenley Jansen","ATL",64,,,4.4209522755551305,,,-2.8195108861967166,2.2653454496660306,,,,,,,"Kenley Jansen",3096,445276
"Max Scherzer","NYM",145.1,-7.356571977524161,,-0.9387407765805142,,,,0.6524825323195684,8.592784423828125,,,-9.397064208984375,,,"Max Scherzer",3137,453286
"David Price","LAD",40.1,6.7037504279755975,,0.8517040756513488,,,9.342686360677083,,,-3.929942932128906,,8.995383262634277,,,"David Price",3184,456034
"T.J. McFarland","STL",32.2,,,,,,10.3289164624183,-2.1716692125475086,,,,8.985266569618867,,,"T.J. McFarland",3237,519008
"Joe Smith","MIN",27.1,-10.72521357913669,,,,,-8.895120823636969,6.904048764608739,,,,,,,"Joe Smith",3281,501925
"Aníbal Sánchez","WSN",69.1,-2.319269447510945,,0.08992439792269752,,,-7.068888173204787,2.6813095092773436,1.6894877337027288,,,-7.7269190228174605,,,"Anibal Sanchez",3284,434671
"Darren O'Day","ATL",21.2,-7.14786129906064,,,,,-9.974299575343277,3.3605840931768003,,,,,,,"Darren O'Day",3321,503285
"Liam Hendriks","CHW",57.2,-3.958183049324913,,,,,,0.7132604000342153,1.2708360290527343,,,,,,"Liam Hendriks",3548,521230
"Mark Melancon","ARI",56,-5.52687750922309,,-0.3268409289902063,-7.926557995024181,,,0.4238653779029846,,1.884612692926163,,,,,"Mark Melancon",4264,453343
"Charlie Morton","ATL",172,-6.7417408706963,,0.27832594304946956,,,-10.444196543677805,,8.061560656760436,,,-10.662569107547883,,,"Charlie Morton",4676,450203
"Rich Hill","BOS",124.1,5.206308828235346,,-0.5787124930652663,,,10.831868489583334,-12.181846582494076,-9.753356588762358,-9.912573563425164,,9.55364990234375,,,"Rich Hill",4806,448179
"Jake Diekman","- - -",57.2,10.164973549861244,,,,,11.135256038482533,-7.960004449180733,,,,9.073206220354352,,,"Jake Diekman",5003,518617
"Anthony Gose","CLE",21,4.084426153273809,,,,,,-1.804127861471737,,,,2.260469436645508,,,"Anthony Gose",5097,543238
"Jeurys Familia","- - -",44.1,-6.194676998272613,,,-9.655984652244438,,-9.204550388305986,-0.7930381081321023,,,,,,,"Jeurys Familia",5114,544727
"Manny Banuelos","- - -",41,7.138460477193196,,,,,9.673953785615808,-1.6272190244574296,-4.861072296791888,,,9.414177152845594,,,"Manny Banuelos",5365,544365
"Michael Pineda","DET",46.2,-3.7801274041931294,,,,,,-0.5635551404041849,,,,-9.121904089095745,,,"Michael Pineda",5372,501381
"Jesse Chavez","- - -",69.1,-7.6623757102272725,,-1.6585515276952223,,,-9.97891976630274,,7.901681990850539,,,-9.389346756473664,,,"Jesse Chavez",5448,445926
"Madison Bumgarner","ARI",158.2,5.423810686383929,,-0.7489698924592736,,,8.10168685913086,-2.1752527236938475,-4.402184986646611,,,8.246799133499593,,,"Madison Bumgarner",5524,518516
"Ryan Brasier","BOS",62.1,-4.5756908899066095,,,,,-9.278288188733553,3.2203008412751184,,,,-7.73417252760667,,,"Ryan Brasier",5615,518489
"Huascar Brazobán","MIA",32,-6.527909529836554,,-1.0564542828184185,,,-10.273526872907366,,,,,-9.423603177820361,,,"Huascar Brazoban",6107,623211
"David Phelps","TOR",63.2,-5.853739420572917,,-0.2872052377378437,,,-9.581005853964083,,,1.0912303234401501,,-10.903291613556618,,,"David Phelps",6316,475479
"Chris Archer","MIN",102.2,-4.030000596958268,,,,,,2.5205916587752526,2.421345649881566,,,-7.778408964323907,,,"Chris Archer",6345,502042
"Jake Odorizzi","- - -",106.1,-5.952388066830842,,1.0513722176939797,-6.99760799344168,,,3.21879057181898,5.535820781320766,,,,,,"Jake Odorizzi",6397,543606
"Trevor May","NYM",25,-5.034742011398565,,,-4.726451376210088,,,2.392598221941692,,,,-7.992173665364583,,,"Trevor May",6398,543507
"José Cisnero","DET",25,-6.859359840941585,,0.9585724724663629,,,-9.60212806317446,3.613241022283381,,,,-8.952283506040219,,,"Jose Cisnero",6399,542585
"Steve Cishek","WSN",66.1,-7.862479894301471,,,,,-11.082918583439087,8.142387740108944,,,,-11.893656158447266,,,"Steve Cishek",6483,518553
"Alex Cobb","SFG",149.2,-5.283412933349609,,,-7.906980521947958,,-9.61435797275641,1.6922543048858643,,2.810043747360642,,,,,"Alex Cobb",6562,502171
"Carlos Carrasco","NYM",152,-4.799680761147661,,,,,-9.621690240098443,0.7491412663863877,4.003963586055871,,,-5.027832854658516,,,"Carlos Carrasco",6632,471911
"Craig Kimbrel","LAD",60,-6.902536945291328,,,,,,,,4.829852348935288,,,,,"Craig Kimbrel",6655,518886
"Alex Colomé","COL",47,-1.7238443603515625,,0.5875076451717134,,,,,,,,,,,"Alex Colome",6661,517008
"Johnny Cueto","CHW",158.1,-7.743393041732463,,-2.7403094163581505,,,-10.226832145787844,0.689842414855957,1.0717909495035807,,,-7.575366134163718,,,"Johnny Cueto",6893,456501
"Chase Anderson","CIN",24,-4.273841002515254,,-0.01775584708560597,,,-7.048597194530346,3.773139227004278,3.1678092354222347,,,-9.82083478655134,,,"Chase Anderson",6895,502624
"Martín Pérez","TEX",196.1,6.6846496324498945,,1.0009204169004662,,,9.67776788906101,-1.4296865917387462,-3.2908879793607273,,,8.269903838851763,,,"Martin Perez",6902,527048
"Luis García","SDP",61,-4.074817276000976,,,-5.710998046875,,-9.243382881298924,5.95205078125,,,,,,,"Luis Garcia",6984,472610
"Ian Kennedy","ARI",50.1,-6.542798549107143,,1.1881499820285373,-4.717587062290737,,,5.276426696777344,,3.762552315848214,,-8.111648559570312,,,"Ian Kennedy",6986,453178
"Ryan Pressly","HOU",48.1,-1.8565395189368206,,,,,,2.6460699907207856,8.304351170857748,,,-8.4817822265625,,,"Ryan Pressly",7005,519151
"Daniel Bard","COL",60.1,-4.051822026570638,,,,,-8.726216104083166,3.681837444540895,7.229562759399414,,,-9.638917342476223,,,"Daniel Bard",7115,453268
"Daniel Hudson","LAD",24.1,-7.214578304650648,,,,,-10.314285278320312,-0.05510192758896772,,,,-10.584856305803571,,,"Daniel Hudson",7146,543339
"Craig Stammen","SDP",40.2,-4.370114803314209,,-0.08699953479151572,,,-8.790119877567998,5.36558706110174,,3.687132952506082,,-9.06914640727796,,,"Craig Stammen",7274,489334
"Collin McHugh","ATL",69.1,-6.725372314453125,,-0.23532057178112886,,,,8.577140982824428,7.030983558067908,6.7701263427734375,,,,,"Collin McHugh",7531,543521
"Jake McGee","- - -",37,7.2801532415876915,,,,,,0.11787562900119358,,,,,,,"Jake McGee",7550,459429
"Jordan Lyles","BAL",179,-3.8230983786386985,,2.176010904432852,,,-8.018389136904762,8.89552349751222,3.823894348144531,,,-8.206681493681426,,,"Jordan Lyles",7593,543475
"Wily Peralta","DET",38.1,-4.4912410556333855,,5.173773288726807,-6.671149280336168,,-7.104467994288394,0.5376449022892017,,,,,,,"Wily Peralta",7738,503449
"Richard Bleier","MIA",50.2,4.969982960007408,,0.48826689611781726,-0.5913368463516235,,9.763619348766337,-3.8687297962913827,,,,9.909645998253012,,,"Richard Bleier",7803,542947
"Hunter Strickland","CIN",62.1,-3.756984814541742,,0.9274494647979736,,,-8.188989739668997,3.8345299130394346,,,,-8.501555471709281,,,"Hunter Strickland",7836,519326
"Anthony Bass","- - -",70.1,-4.142684011748343,,,-6.3375582572741385,,-8.211187989919777,2.088399103338068,,,,,,,"Anthony Bass",7982,542914
"Will Smith","- - -",59,5.273502224938996,,,,,8.828844887869698,-2.023972971062911,-4.580995178222656,,,8.22132788764106,,,"Will Smith",8048,519293
"Bryan Shaw","CLE",58.1,,,1.8296453791259104,-3.6850078105926514,,-5.97475649946827,4.603511422367419,3.1280619538860557,,,-5.497822523117065,,,"Bryan Shaw",8110,543766
"David Robertson","- - -",63.2,,,-0.35557085242474895,,,,4.128865128856594,,3.3563114219987895,,,,,"David Robertson",8241,502085
"Paolo Espino","WSN",113.1,-2.0756168216964164,,,,,,10.089806002571695,7.0890602347777065,,,-7.555644728920677,,,"Paolo Espino",8246,502179
"Lucas Luetge","NYY",57.1,0.5723501443862915,,-2.7195422966670626,,,,-10.686605623452971,-5.6555653447690215,,,,,,"Lucas Luetge",8337,476595
"Justin Verlander","HOU",175,-5.956946589828897,,,,,,1.613370735147781,3.411925150760565,,,-9.279712495349703,,,"Justin Verlander",8700,434378
"Wade Miley","CHC",37,2.49592462182045,,-0.9802649268470859,,,7.802751159667968,-5.339153392894848,-4.879698753356934,,,9.730505603854938,,,"Wade Miley",8779,489119
"Brad Hand","PHI",45,6.611033033288043,,,,,10.384293265964674,-8.622365579044118,,,,,,,"Brad Hand",9111,543272
"Nathan Eovaldi","BOS",109.1,-7.849304839767616,,-0.06083940233503069,-7.729065782110881,,,2.8756725383254715,4.758132839795225,,,,,,"Nathan Eovaldi",9132,543135
"Patrick Corbin","WSN",152.2,5.264174452773085,,,,,8.732241334033613,-0.8923230313820709,-0.7895158529281616,,,7.800942135296659,,,"Patrick Corbin",9323,571578
"Dallas Keuchel","- - -",60.2,2.479650166829427,,-0.14051086447212133,,,9.157401220607943,-5.0060695525138605,,,,8.456004423253676,,,"Dallas Keuchel",9434,572971
