Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,NameASCII,PlayerId,MLBAMID
"Cory Abbott","WSN",48,97.72247526579886,148.09827630714577,65.98488623541168,204.06548824046084,92.11195551067563,139.59553545001947,97.93449020797887,112.37948115387944,84.98701729229742,104.51936344807184,130.82468772340204,157.6074988775426,142.2053463199752,60.41403661765958,64.16427142837313,164.44999594466447,"Cory Abbott",20277,676265
"Steven Wilson","SDP",53,104.23732195523552,107.30140809130515,93.47858884804097,107.80819798573924,109.50131565647887,112.72013264756448,78.03062189821827,82.60215718505187,75.84361442998203,109.70048364194054,78.86545281119905,104.08199389544356,115.50850645107698,91.45723585366925,54.196066259791756,159.21016764329775,"Steven Wilson",20353,621051
"Elieser Hernández","MIA",62.1,100.33538079094191,100.35836647451058,99.97710035224092,248.80713204082778,95.42533516978483,95.44719187461659,110.07031177595894,111.62175493444713,95.05773321421705,93.78933849562013,153.57408485962839,159.3754911942489,126.12004459362666,73.3198218175253,63.038582312088266,158.6798204743278,"Elieser Hernandez",16933,622694
"Ryan Pepiot","LAD",36.1,120.49450582911403,211.3049975903844,57.023975757006426,134.79555658272866,116.06106409948896,203.53029066773533,82.7991599031094,114.03805746348009,83.5619301120912,119.20265870808511,87.6238555730877,133.2837315123263,132.62602243589674,80.0618745471335,60.892706715941415,157.5191530968136,"Ryan Pepiot",26221,686752
"Jake McGee","- - -",37,70.43062551161586,92.22121356107182,76.37139611157083,132.36682706526932,67.81248272499366,88.7930377945897,112.40945549759884,111.98333397483677,99.92614142570908,74.47069739714904,171.27027568318198,122.94533085075425,138.05280551524885,83.5845968003349,62.65065265217509,153.48666275341586,"Jake McGee",7550,459429
"Matt Wisler","TBR",44,85.02201176141068,94.14734984724528,90.30739060186744,113.99062482381154,89.50934245683393,99.11629799360117,77.51125697103186,79.83213524901224,69.1865729946698,100.20188286710521,60.17300162489347,110.94966665916856,124.56826019009056,89.07134139834311,58.55708350364046,152.0241355205888,"Matt Wisler",12804,605538
"Kenley Jansen","ATL",64,138.44018154489288,97.74486818876433,141.63422550400685,102.03275020185627,144.54491490075435,102.05507412459771,78.93987702626956,81.8415835445507,88.64576781821144,105.34983896970552,82.77113264289365,82.32592843524195,86.74035563598609,74.4598770663703,68.94329515188844,151.02550648358948,"Kenley Jansen",3096,445276
"Giovanny Gallegos","STL",59,128.97159151442565,86.75045356104533,148.6696510887191,83.00969549877829,137.34480524947787,92.38254277199415,80.12821926107361,79.5020699212084,89.37493394597581,99.2341286389903,76.90071423929999,73.66715886581909,88.10789544773776,87.5928456799091,63.26054926638197,150.55281305959417,"Giovanny Gallegos",14986,606149
"Cristian Javier","HOU",148.2,139.47748156018926,103.49573237479537,134.76641366764034,95.58854251817444,149.2652989301147,110.75852949796956,70.68673643316491,75.71522480481207,79.4769810033707,114.70412835105776,66.31083134987566,80.53508011134174,89.20111405860375,86.66936210843367,61.37604946030783,150.12577092119622,"Cristian Javier",17606,664299
"Alexis Díaz","CIN",63.2,135.89054229134248,147.38494690206227,92.20110367106368,64.10435209810066,143.9113850802317,156.08423129788014,53.418812840715745,74.9026117443715,61.08441867883877,112.5895968835454,42.773288515152025,78.37164925788682,99.44620751797306,75.38293361362045,69.79796430088012,149.49999623680154,"Alexis Diaz",21132,664747
