Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Luis Patiño","TBR",4.950000472068831,5.850000557899528,0.84615385,2.70000025749209,0.1122449,0.13265306,-0.02040816,0.30952380952380953,1.9500001859665095,0.29850746268656714,0.69620253,216.6227983373392,210.66604598586238,174.85132990875388,8.10000077247627,8.012431468963669,0.08756930351260017,6.851114755534768,6.3543273841448285,"Luis Patino",22815,672715
"Jackson Tetreault","WSN",3.857142857142857,4.285714285714286,0.9,1.7142857142857142,0.09375,0.10416667,-0.01041667,0.26744186046511625,1.5714285714285714,0.2602739726027397,0.65693431,128.15479613721016,152.64203828995707,144.56366015685663,5.142857142857143,6.160050049282256,-1.0171929064251124,5.7986730073179515,6.030682898005634,"Jackson Tetreault",20565,676194
"Tucker Davidson","- - -",5.711538880534457,6.057692752082,0.94285714,1.2115385504164,0.13580247,0.14403292,-0.00823045,0.2634146341463415,1.711538587096184,0.28484848484848485,0.64476886,169.0577834235632,144.8000715029694,147.49822690507116,6.750000495177085,5.7855081208359005,0.9644923743411846,5.82903259420911,5.9522181268572245,"Tucker Davidson",19871,656353
"Adam Oller","OAK",5.569506750275765,4.721973114364236,1.17948718,2.058295972928,0.13649852,0.115727,0.02077151,0.27702702702702703,1.627802697544366,0.27896995708154504,0.68548387,168.2398365516058,171.82085367918017,154.44575560147,6.295964152485647,6.502565545309325,-0.2066013928236785,6.058712372595553,5.82991022964019,"Adam Oller",20132,670124
"Josh Rogers","WSN",4.101266614941293,3.7594943970295187,1.09090909,2.0506333074706466,0.10619469,0.09734513,0.00884956,0.23529411764705882,1.3291141807680118,0.21428571428571427,0.7518797,127.7492676595497,158.92744709536078,147.7475151675475,5.126583268676616,6.416229108143694,-1.2896458394670782,5.927732321670643,5.82250092170036,"Josh Rogers",18510,642028
"Heath Hembree","- - -",6.954547263374484,6.954547263374484,1,2.4545460929557,0.1588785,0.1588785,0,0.28888888888888886,1.9545459629091686,0.29850746268656714,0.69364162,180.2884781374626,184.09444285953472,153.7982625323027,7.363638278867101,7.430613942974162,-0.06697566410706113,6.173002694722963,5.8155613974114395,"Heath Hembree",11632,592390
"Justin Dunn","CIN",6.096774568666924,4.935484174635129,1.23529412,3.1935485835874364,0.15217391,0.12318841,0.02898551,0.2711864406779661,1.5806452585432766,0.2441860465116279,0.84699454,141.90541222337038,194.13077959800006,149.16673610872658,6.096774568666924,8.305979708305403,-2.2092051396384784,5.985261223259601,5.749054059845166,"Justin Dunn",19268,643290
"Vladimir Gutierrez","CIN",7.118181941607769,5.890909193054705,1.20833333,1.9636363976849018,0.16201117,0.13407821,0.02793296,0.3087248322147651,1.9090909421936546,0.3392857142857143,0.69444444,177.10531833858977,159.6895828108918,156.59721708815331,7.609091041028995,6.8215219750680225,0.7875690659609722,6.28645985739823,5.644835999256687,"Vladimir Gutierrez",19278,661269
"Carlos Hernández","KCR",5.625000574759134,4.982143366215232,1.12903226,1.1250001149518267,0.13157895,0.11654135,0.01503759,0.3076923076923077,1.8392859022228278,0.3385416666666667,0.59447983,181.96481276825537,132.27986337794292,145.67100421565127,7.392857898254861,5.201716929430886,2.1911409688239747,5.717965584334859,5.541133394762394,"Carlos Hernandez",22713,672578
"Miguel Yajure","PIT",5.917808992282526,5.917808992282526,1,1.1095891860529739,0.13445378,0.13445378,0,0.3069306930693069,1.9315071016477692,0.34146341463414637,0.51339286,214.65878617341727,139.9337732224913,142.6223195426069,8.87671348842379,5.619280644227334,3.2574328441964564,5.719979697553908,5.4995555424416285,"Miguel Yajure",21111,664337
"Connor Overton","CIN",3.8181821492092958,3.000000260093018,1.27272727,0.27272729637209253,0.11290323,0.08870968,0.02419355,0.18584070796460178,0.9696970537674401,0.20408163265306123,0.71895425,63.47861312626698,86.2894308836533,124.08635339009369,2.7272729637209254,3.6578855944073934,-0.9306126306864679,4.968614112602562,5.441638535584792,"Connor Overton",18376,656818
"Ralph Garza Jr.","TBR",4.371429047876527,4.1142861627073195,1.0625,1.0285715406768299,0.11111111,0.10457516,0.00653595,0.2814814814814815,1.5428573110152448,0.2982456140350877,0.83333333,89.39988624608515,135.34542677269212,134.67902606416175,3.342857507199697,5.169574083016868,-1.826716575817171,5.291118020561711,5.3368066174083655,"Ralph Garza Jr.",17682,621248
"Garrett Hill","DET",5.966851143117828,4.325967078760425,1.37931034,1.1933702286235657,0.15209125,0.11026616,0.0418251,0.23043478260869565,1.3591160937101718,0.24725274725274726,0.76203209,104.67264007963749,132.6631560033849,141.65528466833632,4.027624521604534,5.151105142228467,-1.1234806206239325,5.562024580637056,5.310610350273895,"Garrett Hill",25097,682051
"Jonathan Heasley","KCR",6.0576923076923075,4.0673076923076925,1.4893617,1.6442307692307692,0.15053763,0.10107527,0.04946237,0.2621359223300971,1.4903846153846154,0.2755417956656347,0.69940476,129.93138313179114,144.33321077748,139.72866309725038,5.278846153846154,5.670123309355516,-0.3912771555093615,5.487208772909183,5.304350257777057,"Jonathan Heasley",22224,669169
"Aníbal Sánchez","WSN",6.230769687855771,4.283654160400842,1.45454545,1.6875001237942713,0.16438356,0.1130137,0.05136986,0.21568627450980393,1.2692308623409905,0.21649484536082475,0.78590786,106.74432720942706,142.98073966088663,131.56492573291396,4.283654160400842,5.76627735019437,-1.4826231897935278,5.2717621566122475,5.260347310312361,"Anibal Sanchez",3284,434671
"Tyler Matzek","ATL",7.4198484085677645,5.97710010690181,1.24137931,0.6183207007139804,0.19565217,0.1576087,0.03804348,0.16993464052287582,1.2595421681210712,0.20175438596491227,0.68181818,85.93034356841824,114.58372403929965,139.50311852205914,3.503817304045889,4.486477003249831,-0.9826596992039422,5.593541168258961,5.226741305901386,"Tyler Matzek",10058,554431
"José Cisnero","DET",8.280001263427927,6.840001043701331,1.21052632,0,0.21904762,0.18095238,0.03809524,0.17647058823529413,1.360000207519563,0.24193548387096775,0.88571429,28.067777403067097,94.12321934933638,129.59227241118197,1.080000164794947,3.67243108711244,-2.592430922317493,5.093585931763448,5.192782494892421,"Jose Cisnero",6399,542585
"Tyler Gilbert","ARI",5.242718932023922,2.621359466011961,2,2.097087572809569,0.1369863,0.06849315,0.06849315,0.24444444444444444,1.252427300427937,0.2336448598130841,0.70121951,128.00176911330593,152.8766624786672,128.57738572520512,5.242718932023922,5.937673981698322,-0.6949550496743999,5.1506605789017526,5.151795336363993,"Tyler Gilbert",17964,656457
"Dakota Hudson","STL",5.026253349377278,3.9307878757950503,1.27868852,0.579952309543532,0.13087248,0.10234899,0.02852349,0.26806083650190116,1.4463008213307835,0.30068337129840544,0.70564516,112.07499172859872,110.3354947591142,120.51824613719378,4.446301039833745,4.336774766255109,0.10952627357863598,4.823978922228048,5.110086744870788,"Dakota Hudson",19206,641712
"Kohei Arihara","TEX",6.3,4.95,1.27272727,1.8,0.12962963,0.10185185,0.02777778,0.3829787234042553,2.35,0.42105263157894735,0.63063063,242.7809158273973,161.03209047863896,132.81626114552483,9.45,6.412431001663208,3.0375689983367913,5.218781935423612,5.094279122502686,"Kohei Arihara",27505,685503
