Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Tommy Hunter","NYM",22.1,93.845458984375,,91.33664717585404,,,93.219203125,,84.61960975796569,,,88.30000305175781,,,"Tommy Hunter",1157,488984
"Matt Bush","- - -",59.2,97.32808500664419,,92.94557791988866,,,96.03333282470703,,80.96187419891358,,,,,,"Matt Bush",1246,456713
"Adam Ottavino","NYM",65.2,94.74883418120154,,87.83091264204545,,,94.208984375,81.02307692307693,,,,89.07866536458333,,,"Adam Ottavino",1247,493603
"Matt Moore","TEX",74,93.89162071078431,,,,,,,,83.57924692085953,,85.02713913690476,,,"Matt Moore",1890,519043
"Zack Greinke","KCR",137,89.1549389367816,,85.8242074927954,,,89.43529794730392,81.7827380952381,71.95692978896103,,,86.46898500167113,,,"Zack Greinke",1943,425844
"Clayton Kershaw","LAD",126.1,90.72200874660327,,,,,90.8375015258789,86.59452528625954,73.1980053467608,,,83.8272705078125,,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",191.2,87.97474269411263,,84.30331234056122,,,88.58323765786453,75.26666768391927,72.92947591145834,67.66060754024622,,82.18253968253968,,,"Adam Wainwright",2233,425794
"Corey Kluber","TBR",164,88.89999728732639,,86.29964056912992,,,88.87917933130699,,80.7230182642003,,,82.91944134424604,,,"Corey Kluber",2429,446372
"Lance Lynn","CHW",121.2,92.93207582077503,,88.79369323613767,,,91.43759545347744,86.0055519386574,82.03103672772988,,,85.75526187294408,,,"Lance Lynn",2520,458681
"Jhoulys Chacín","COL",47.1,92.59420289855072,,,,,92.90925266903915,86.96380090497738,79.8293834568299,,,85.37142508370536,,,"Jhoulys Chacin",2608,468504
"Ross Detwiler","CIN",26.1,92.38250325520833,,86.0409775152439,,,91.80341880341881,,77.01249694824219,,,86.83846341646634,,,"Ross Detwiler",2859,446321
"Kenley Jansen","ATL",64,,,92.23996817572741,,,93.63041834677419,81.19694507395039,,,,,,,"Kenley Jansen",3096,445276
"Max Scherzer","NYM",145.1,94.01454412512716,,89.20873786407768,,,,84.9422588045635,74.979501953125,,,84.07941032858456,,,"Max Scherzer",3137,453286
"David Price","LAD",40.1,92.10796657121514,,87.94717349646227,,,92.40333333333334,,,78.3639990234375,,83.8687515258789,,,"David Price",3184,456034
"T.J. McFarland","STL",32.2,,,,,,88.79183261846406,79.52162294130068,,,,81.83457761390187,,,"T.J. McFarland",3237,519008
"Joe Smith","MIN",27.1,86.03956834532374,,,,,83.61808614527925,76.88536902947155,,,,,,,"Joe Smith",3281,501925
"Aníbal Sánchez","WSN",69.1,89.84492942330918,,87.2485119047619,,,89.11702127659575,83.01856863839286,75.44347967617753,,,79.89365079365079,,,"Anibal Sanchez",3284,434671
"Darren O'Day","ATL",21.2,85.95952497209821,,,,,85.88788026751894,78.23967179008152,,,,,,,"Darren O'Day",3321,503285
"Liam Hendriks","CHW",57.2,97.56079867160278,,,,,,89.0036496350365,85.77900390625,,,,,,"Liam Hendriks",3548,521230
"Mark Melancon","ARI",56,91.74814633969908,,90.88669064748201,83.71428571428571,,,84.0875015258789,,81.65752026550751,,,,,"Mark Melancon",4264,453343
"Charlie Morton","ATL",172,94.91120407245631,,88.36863612776753,,,94.68151815181518,,81.26987154038113,,,87.16048702116936,,,"Charlie Morton",4676,450203
"Rich Hill","BOS",124.1,88.49675030896893,,84.19883116488327,,,87.26666259765625,69.22606727636256,71.93417858403954,65.79999743009868,,82.76547386532738,,,"Rich Hill",4806,448179
"Jake Diekman","- - -",57.2,95.63996138996139,,,,,95.3458523812773,81.41484184914842,,,,86.42142595563617,,,"Jake Diekman",5003,518617
"Anthony Gose","CLE",21,96.9626968625992,,,,,,86.12647202435662,,,,88,,,"Anthony Gose",5097,543238
"Jeurys Familia","- - -",44.1,95.3999980370603,,,92.50169243246822,,95.20158414412928,88.63801814307851,,,,,,,"Jeurys Familia",5114,544727
"Manny Banuelos","- - -",41,93.70486365424262,,,,,93.46078112234477,86.59210312157346,82.18042303856383,,,83.08055453830295,,,"Manny Banuelos",5365,544365
