Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,NameASCII,PlayerId,MLBAMID
"Tommy Hunter","NYM",22.1,-1.2311437129974365,,1.2113776206970215,,,1.4631752967834473,,-2.111196756362915,,,0,,,"Tommy Hunter",1157,488984
"Matt Bush","- - -",59.2,1.1349916756153107,,-3.5312043130397797,,,0.0673583596944809,,7.234088182449341,,,,,,"Matt Bush",1246,456713
"Adam Ottavino","NYM",65.2,-4.3981428146362305,,0.05877193808555603,,,6.869286060333252,9.623283386230469,,,,-0.5821642875671387,,,"Adam Ottavino",1247,493603
"Matt Moore","TEX",74,5.66756534576416,,,,,,,,3.4416966438293457,,4.765303134918213,,,"Matt Moore",1890,519043
"Zack Greinke","KCR",137,3.511834144592285,,0.8713266253471375,,,-2.542917013168335,-4.92290735244751,5.196044921875,,,-6.055831432342529,,,"Zack Greinke",1943,425844
"Clayton Kershaw","LAD",126.1,10.959915161132812,,,,,-0.5436947345733643,10.4336519241333,5.535510540008545,,,-1.7328121662139893,,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",191.2,-2.262255907058716,,2.4211292266845703,,,-1.5696321725845337,-0.083908312022686,5.138148307800293,-0.23823155462741852,,0.06375255435705185,,,"Adam Wainwright",2233,425794
"Corey Kluber","TBR",164,-1.3452357053756714,,4.649282932281494,,,-7.087839126586914,,-3.986760377883911,,,3.3006327152252197,,,"Corey Kluber",2429,446372
"Lance Lynn","CHW",121.2,10.229621887207031,,2.9016153812408447,,,-6.0568623542785645,1.0334367752075195,-3.4617083072662354,,,-5.418224334716797,,,"Lance Lynn",2520,458681
"Jhoulys Chacín","COL",47.1,-2.209451913833618,,,,,-5.720296859741211,-1.2717489004135132,-1.0443477630615234,,,-0.02813985012471676,,,"Jhoulys Chacin",2608,468504
"Ross Detwiler","CIN",26.1,-1.5090974569320679,,-3.0805163383483887,,,-0.3264116644859314,,0.03407691419124603,,,-0.3526414632797241,,,"Ross Detwiler",2859,446321
"Kenley Jansen","ATL",64,,,12.025967597961426,,,-3.291372776031494,-0.1731330007314682,,,,,,,"Kenley Jansen",3096,445276
"Max Scherzer","NYM",145.1,14.633700370788574,,0.3851560652256012,,,,15.876028060913086,1.9419418573379517,,,-3.098348379135132,,,"Max Scherzer",3137,453286
"David Price","LAD",40.1,2.992065191268921,,1.8265846967697144,,,-0.8998299241065979,,,0.9335294961929321,,-4.166265964508057,,,"David Price",3184,456034
"T.J. McFarland","STL",32.2,,,,,,-3.156611919403076,1.6147971153259277,,,,-4.400085926055908,,,"T.J. McFarland",3237,519008
"Joe Smith","MIN",27.1,-0.8393722772598267,,,,,-0.3270539343357086,-4.57593297958374,,,,,,,"Joe Smith",3281,501925
"Aníbal Sánchez","WSN",69.1,-1.3504047393798828,,4.371169567108154,,,0.7464573979377747,-0.8837432265281677,-0.5967131853103638,,,-1.4286562204360962,,,"Anibal Sanchez",3284,434671
"Darren O'Day","ATL",21.2,1.0654557943344116,,,,,-1.4430416822433472,-0.7738944888114929,,,,,,,"Darren O'Day",3321,503285
"Liam Hendriks","CHW",57.2,6.1140875816345215,,,,,,2.120945692062378,-0.7295632362365723,,,,,,"Liam Hendriks",3548,521230
"Mark Melancon","ARI",56,-1.0295559167861938,,0.3807324469089508,0.5222302079200745,,,0.8043569326400757,,-1.2109870910644531,,,,,"Mark Melancon",4264,453343
"Charlie Morton","ATL",172,-8.136602401733398,,-2.5795724391937256,,,0.32988888025283813,,8.480616569519043,,,-0.409163236618042,,,"Charlie Morton",4676,450203
"Rich Hill","BOS",124.1,-8.05906867980957,,2.2143023014068604,,,-1.0645806789398193,-1.2742458581924438,0.9823064208030701,-0.4879217743873596,,1.5396254062652588,,,"Rich Hill",4806,448179
"Jake Diekman","- - -",57.2,0.1247016191482544,,,,,-1.4740865528583527,-6.622032642364502,,,,-0.17142702639102936,,,"Jake Diekman",5003,518617
"Anthony Gose","CLE",21,-5.812585353851318,,,,,,3.891624689102173,,,,-0.0573481023311615,,,"Anthony Gose",5097,543238
"Jeurys Familia","- - -",44.1,0.38146941363811493,,,-1.1890060901641846,,-9.630032300949097,-0.9025956392288208,,,,,,,"Jeurys Familia",5114,544727
"Manny Banuelos","- - -",41,-0.40252387523651123,,,,,3.1412269473075867,-4.910489082336426,4.850709795951843,,,0.5390372201800346,,,"Manny Banuelos",5365,544365
"Michael Pineda","DET",46.2,-8.174083709716797,,,,,,1.3166979551315308,,,,-3.6089086532592773,,,"Michael Pineda",5372,501381
"Jesse Chavez","- - -",69.1,0.866265008226037,,6.809608042240143,,,-10.96560463309288,,0.518202930688858,,,0.044879794120788574,,,"Jesse Chavez",5448,445926
"Madison Bumgarner","ARI",158.2,-20.11519432067871,,-8.171488761901855,,,-2.8386459350585938,-1.0430430173873901,3.216313362121582,,,5.712523460388184,,,"Madison Bumgarner",5524,518516
"Ryan Brasier","BOS",62.1,-4.56359338760376,,,,,-3.7262542247772217,4.046376705169678,,,,-0.1595357358455658,,,"Ryan Brasier",5615,518489
"Huascar Brazobán","MIA",32,-4.054495334625244,,4.755116939544678,,,-0.6483980417251587,,,,,-0.4976552128791809,,,"Huascar Brazoban",6107,623211
"David Phelps","TOR",63.2,3.6670217514038086,,-2.078235298395157,,,1.7886660695075989,,,2.8111077547073364,,0.681100457906723,,,"David Phelps",6316,475479
"Chris Archer","MIN",102.2,-10.432893753051758,,,,,,8.49015998840332,0.8088513612747192,,,0.9902288913726807,,,"Chris Archer",6345,502042
"Jake Odorizzi","- - -",106.1,1.8644757270812988,,1.1611888408660889,-0.6134912967681885,,,-1.2220056653022766,-1.2504936754703522,,,,,,"Jake Odorizzi",6397,543606
"Trevor May","NYM",25,-4.539198875427246,,,0.37660688161849976,,,0.9353850483894348,,,,1.7991913557052612,,,"Trevor May",6398,543507
"José Cisnero","DET",25,0.5520702004432678,,2.7511398792266846,,,-0.40047356486320496,2.7145495414733887,,,,0.5862130522727966,,,"Jose Cisnero",6399,542585
"Steve Cishek","WSN",66.1,5.704684734344482,,,,,-0.8462072610855103,-7.004834175109863,,,,-0.005218189209699631,,,"Steve Cishek",6483,518553
"Alex Cobb","SFG",149.2,0.1250743418931961,,,5.915622711181641,,2.6579344272613525,0,,0.800889790058136,,,,,"Alex Cobb",6562,502171
"Carlos Carrasco","NYM",152,-7.4167962074279785,,,,,-4.576907157897949,5.2505292892456055,-1.8975244760513306,,,6.036075592041016,,,"Carlos Carrasco",6632,471911
"Craig Kimbrel","LAD",60,1.1625328063964844,,,,,,,,1.1711126565933228,,,,,"Craig Kimbrel",6655,518886
"Alex Colomé","COL",47,-5.053874969482422,,-3.3255679607391357,,,,,,,,,,,"Alex Colome",6661,517008
"Johnny Cueto","CHW",158.1,7.623946130275726,,-5.916716486215591,,,1.0586408376693726,4.131858378648758,-1.243343710899353,,,-0.6596326231956482,,,"Johnny Cueto",6893,456501
"Chase Anderson","CIN",24,0.30314258486032486,,-0.6355572938919067,,,-2.715974122285843,0.34767284989356995,-1.0186184346675873,,,2.7846517860889435,,,"Chase Anderson",6895,502624
"Martín Pérez","TEX",196.1,0.596569836139679,,10.273116111755371,,,7.160278797149658,1.0428787469863892,-4.103558540344238,,,3.87829852104187,,,"Martin Perez",6902,527048
"Luis García","SDP",61,-1.8222907781600952,,,0.40371012687683105,,0.6068716645240784,7.412838935852051,,,,,,,"Luis Garcia",6984,472610
"Ian Kennedy","ARI",50.1,0.6327108144760132,,-2.847043037414551,-4.135502815246582,,,-0.5831976532936096,,-2.3278322219848633,,-0.6000075936317444,,,"Ian Kennedy",6986,453178
