Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Giovanny Gallegos","STL",59,0.34932821,0.71092077,0.52024291,0.41758242,0.80421687,0.66731518,0.47267206,30.84897959,"Giovanny Gallegos",14986,606149
"Devin Williams","MIL",60.2,0.35714286,0.62389381,0.47003745,0.44545455,0.73758865,0.60956175,0.42322097,30.54522924,"Devin Williams",15816,642207
"Alex Colomé","COL",47,0.28509719,0.7020649,0.46134663,0.64393939,0.90756303,0.81351351,0.42269327,29.96466431,"Alex Colome",6661,517008
"Kenley Jansen","ATL",64,0.29082774,0.67148014,0.5014985,0.63846154,0.81451613,0.7689243,0.55344655,29.42265193,"Kenley Jansen",3096,445276
"Andrew Bellatti","PHI",54.1,0.33274021,0.65679012,0.46845915,0.44919786,0.80075188,0.65562914,0.4188211,28.96393897,"Andrew Bellatti",10657,571479
"Kyle Finnegan","WSN",66.2,0.24229075,0.68280467,0.49287749,0.55454545,0.79706601,0.74566474,0.5688509,28.95769231,"Kyle Finnegan",15009,640448
"Alex Vesia","LAD",54.1,0.28541226,0.67364017,0.48054679,0.57037037,0.74223602,0.69146608,0.50262881,28.90960452,"Alex Vesia",25007,681911
"Dominic Leone","SFG",49.1,0.39956803,0.74380165,0.55084746,0.42162162,0.82962963,0.66373626,0.43946731,28.71548822,"Dominic Leone",13763,608678
"Tyler Kinley","COL",24,0.28235294,0.74634146,0.536,0.39583333,0.77777778,0.68656716,0.54666667,28.6641791,"Tyler Kinley",18297,641755
"Aroldis Chapman","NYY",36.1,0.24585635,0.60567823,0.41384389,0.57303371,0.75,0.69395018,0.46686303,28.61952191,"Aroldis Chapman",10233,547973
"Jonathan Loáisiga","NYY",48,0.32061069,0.69251337,0.50195567,0.63492063,0.83397683,0.76883117,0.48761408,28.56079855,"Jonathan Loaisiga",19753,642528
"Hunter Strickland","CIN",62.1,0.25782689,0.68274583,0.46950092,0.5,0.86141304,0.76181102,0.49815157,28.50126263,"Hunter Strickland",7836,519326
"Ryan Helsley","STL",64.2,0.34663866,0.70781893,0.52910603,0.38181818,0.78197674,0.65225933,0.50519751,28.20786517,"Ryan Helsley",18138,664854
"Josh Staumont","KCR",37.2,0.24736842,0.62678063,0.42954856,0.5106383,0.84545455,0.74522293,0.48016416,28.18853974,"Josh Staumont",18335,622251
"JT Chargois","TBR",22.1,0.35849057,0.61142857,0.49101796,0.52631579,0.92523364,0.78658537,0.5239521,28.16115702,"JT Chargois",13767,608638
"Hirokazu Sawamura","BOS",50.2,0.3015873,0.67,0.47681332,0.61654135,0.84328358,0.7680798,0.47562426,28.05813953,"Hirokazu Sawamura",27515,617228
"Matt Foster","CHW",45,0.26086957,0.715,0.49739583,0.65625,0.85314685,0.80366492,0.52083333,27.96289753,"Matt Foster",19647,641582
"Emilio Pagán","MIN",63,0.31826401,0.70979021,0.51733333,0.58522727,0.78817734,0.72680412,0.50844444,27.84844869,"Emilio Pagan",14771,641941
"Ryan Thompson","TBR",42.2,0.31132075,0.60110803,0.46539028,0.61616162,0.85714286,0.78164557,0.53166421,27.83950617,"Ryan Thompson",16647,657044
"Chris Martin","- - -",56,0.30623306,0.71106557,0.53675613,0.59292035,0.81268012,0.75869565,0.56942824,27.74308943,"Chris Martin",11847,455119
"James Karinchak","CLE",39,0.25706941,0.54285714,0.38494318,0.46,0.79532164,0.67158672,0.44744318,27.68714012,"James Karinchak",20151,675916
"Noé Ramirez","ARI",50,0.30071599,0.62823529,0.46563981,0.57936508,0.82022472,0.74300254,0.5035545,27.64667747,"Noe Ramirez",12800,598287
"Mark Melancon","ARI",56,0.25829384,0.67456897,0.47629797,0.58715596,0.86900958,0.79620853,0.52370203,27.6035313,"Mark Melancon",4264,453343
"Dany Jiménez","OAK",34.1,0.27946128,0.58677686,0.4174397,0.36144578,0.84507042,0.66666667,0.44897959,27.53141361,"Dany Jimenez",21170,666204
"Víctor Arano","WSN",42,0.36260623,0.64615385,0.49852507,0.515625,0.84285714,0.71893491,0.47935103,27.51859504,"Victor Arano",15915,644364
"Matt Barnes","BOS",39.2,0.28534031,0.61093248,0.43145743,0.5412844,0.85263158,0.73913043,0.44877345,27.328125,"Matt Barnes",12863,598264
"Joe Kelly","CHW",37,0.30183727,0.53726708,0.40967283,0.46086957,0.83236994,0.68402778,0.45803698,27.2739726,"Joe Kelly",9761,523260
"Jake Diekman","- - -",57.2,0.24410774,0.61072664,0.42491468,0.43448276,0.79603399,0.69076305,0.49317406,27.26447219,"Jake Diekman",5003,518617
"Brad Hand","PHI",45,0.2278481,0.56532067,0.40196078,0.7,0.86134454,0.81707317,0.51593137,27.25944171,"Brad Hand",9111,543272
"A.J. Minter","ATL",70,0.31450094,0.69655172,0.5139514,0.49101796,0.77970297,0.69527145,0.52205221,27.19183168,"A.J. Minter",18655,621345
"Daniel Hudson","LAD",24.1,0.25373134,0.76585366,0.51231527,0.39215686,0.77070064,0.67788462,0.50492611,27.15635179,"Daniel Hudson",7146,543339
"Craig Stammen","SDP",40.2,0.26944444,0.64222874,0.45078459,0.51546392,0.85844749,0.75316456,0.48644793,26.94921875,"Craig Stammen",7274,489334
"Reynaldo López","CHW",65.1,0.32595573,0.67342799,0.4989899,0.5617284,0.80120482,0.72267206,0.4979798,26.90416667,"Reynaldo Lopez",16400,625643
"Jeurys Familia","- - -",44.1,0.2737819,0.5984456,0.42717258,0.53389831,0.85281385,0.74498567,0.47246022,26.90284757,"Jeurys Familia",5114,544727
"Dennis Santana","TEX",58.2,0.31464738,0.60273973,0.4419778,0.53448276,0.87878788,0.74200913,0.4419778,26.89393939,"Dennis Santana",17878,642701
"José Quijada","LAA",40.2,0.33888889,0.69486405,0.50940666,0.55737705,0.78695652,0.70738636,0.47901592,26.83757339,"Jose Quijada",19200,650671
"Josh Sborz","TEX",22.1,0.27966102,0.64480874,0.43914081,0.43939394,0.79661017,0.66847826,0.43675418,26.753125,"Josh Sborz",18323,622250
"Ryan Tepera","LAA",57.1,0.30136986,0.69028871,0.46748879,0.47402597,0.86692015,0.72182254,0.42713004,26.7492163,"Ryan Tepera",10291,572193
"Ryne Stanek","HOU",54.2,0.29249012,0.70437018,0.47150838,0.48648649,0.77007299,0.67061611,0.43463687,26.71537291,"Ryne Stanek",15947,592773
"Joe Barlow","TEX",35,0.3024911,0.67765568,0.48736462,0.55294118,0.81621622,0.73333333,0.49277978,26.71393035,"Joe Barlow",22296,669618
"Taylor Rogers","- - -",64.1,0.28714859,0.560477,0.43502304,0.45454545,0.82978723,0.71610169,0.54101382,26.6729798,"Taylor Rogers",13449,573124
"José Alvarado","PHI",51,0.3306288,0.63917526,0.46651532,0.41104294,0.78225806,0.6350365,0.44040863,26.66717325,"Jose Alvarado",17780,621237
"Pete Fairbanks","TBR",24,0.40236686,0.6284153,0.51988636,0.55882353,0.74782609,0.67759563,0.51988636,26.65267176,"Pete Fairbanks",17998,664126
"Josh Hader","- - -",50,0.30321285,0.65168539,0.46765642,0.49006623,0.74482759,0.65759637,0.4718982,26.65063649,"Josh Hader",14212,623352
"Heath Hembree","- - -",22,0.17801047,0.62980769,0.41353383,0.67647059,0.88549618,0.84242424,0.52130326,26.62068966,"Heath Hembree",11632,592390
"Camilo Doval","SFG",67.2,0.29964539,0.6427289,0.47011597,0.49112426,0.80446927,0.70398482,0.49687779,26.60731707,"Camilo Doval",21992,666808
"Hansel Robles","BOS",24.2,0.18957346,0.71090047,0.45023697,0.675,0.82,0.78947368,0.5,26.60526316,"Hansel Robles",11801,570663
"Shohei Ohtani","LAA",166,0.2936772,0.65101612,0.48763789,0.38243626,0.80947255,0.69188768,0.54279194,26.60372478,"Shohei Ohtani",19755,660271
"Daniel Castano","MIA",35.2,0.29699248,0.68488746,0.50606586,0.73417722,0.90140845,0.85616438,0.5389948,26.60336538,"Daniel Castano",19805,641447
"Jake McGee","- - -",37,0.21755725,0.74659401,0.52623211,0.70175439,0.86131387,0.83383686,0.58346582,26.56926407,"Jake McGee",7550,459429
"Jason Adam","TBR",63.1,0.35095137,0.64605544,0.49787686,0.43975904,0.74917492,0.63965885,0.49787686,26.44189383,"Jason Adam",11861,592094
"Craig Kimbrel","LAD",60,0.27238095,0.62137681,0.45125348,0.5034965,0.82507289,0.73045267,0.51253482,26.39227895,"Craig Kimbrel",6655,518886
"Anthony Misiewicz","- - -",29,0.29613734,0.65948276,0.47741935,0.63768116,0.8496732,0.78378378,0.49892473,26.38988095,"Anthony Misiewicz",18152,664948
"Cionel Pérez","BAL",57.2,0.28271028,0.64904863,0.47502775,0.54545455,0.84039088,0.75700935,0.52497225,26.35595777,"Cionel Perez",19614,672335
"Ryan Pressly","HOU",48.1,0.36153846,0.63522013,0.48446328,0.40425532,0.79207921,0.63265306,0.44915254,26.34682081,"Ryan Pressly",7005,519151
"Dylan Floro","MIA",53.2,0.31325301,0.64508929,0.48551564,0.65384615,0.87197232,0.80429594,0.51911935,26.33123028,"Dylan Floro",13394,571670
"Erasmo Ramírez","WSN",86.1,0.29946524,0.698941,0.51554828,0.63095238,0.86147186,0.8,0.54091653,26.3160323,"Erasmo Ramirez",10314,541640
"Emmanuel Clase","CLE",72.2,0.45520581,0.73622047,0.6102063,0.55319149,0.80748663,0.72241993,0.55157438,26.30804954,"Emmanuel Clase",21032,661403
"Daniel Bard","COL",60.1,0.22836538,0.61824953,0.44805876,0.52631579,0.80722892,0.74473068,0.56348374,26.30272597,"Daniel Bard",7115,453268
"JP Sears","- - -",70,0.268,0.62348877,0.45875811,0.62686567,0.90027701,0.82626263,0.53660797,26.2099872,"JP Sears",23429,676664
"Garrett Cleavinger","- - -",23,0.34857143,0.55172414,0.44985673,0.50819672,0.84375,0.7133758,0.49856734,26.11023622,"Garrett Cleavinger",17897,664076
"Clay Holmes","NYY",63.2,0.27402863,0.6496945,0.4622449,0.45522388,0.8338558,0.7218543,0.50102041,26.09722222,"Clay Holmes",13649,605280
"Tyler Matzek","ATL",43.2,0.26804124,0.73636364,0.48328691,0.58653846,0.8436214,0.76657061,0.45961003,26.08458647,"Tyler Matzek",10058,554431
"Bennett Sousa","CHW",20.1,0.24719101,0.73262032,0.49589041,0.63636364,0.80291971,0.76243094,0.51232877,26.0669145,"Bennett Sousa",21345,656986
"Aaron Bummer","CHW",26.2,0.22746781,0.54017857,0.38074398,0.49056604,0.84297521,0.73563218,0.49015317,26.05120482,"Aaron Bummer",16258,607481
"Manny Banuelos","- - -",41,0.29274611,0.62650602,0.44707521,0.48672566,0.875,0.73831776,0.46239554,26.04868914,"Manny Banuelos",5365,544365
"Shane Baz","TBR",27,0.27358491,0.65086207,0.47072072,0.5,0.8013245,0.71770335,0.52252252,26.04643963,"Shane Baz",22264,669358
"Domingo Acevedo","OAK",67.2,0.31950207,0.75334608,0.54527363,0.48701299,0.79695431,0.70985401,0.52039801,26.04223433,"Domingo Acevedo",17092,642758
"Jacob Barnes","- - -",22.1,0.25423729,0.70652174,0.48476454,0.57777778,0.9,0.81714286,0.50969529,26.03053435,"Jacob Barnes",12323,606930
"Michael King","NYY",51,0.29189189,0.59850374,0.45136187,0.46296296,0.775,0.67816092,0.52010376,26.02304965,"Michael King",19853,650633
