Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Jake Arrieta","PHI",135.2,91.89545232599431,,,,,92.45624743009868,89.71558638307985,80.59726962457339,,,87.52663709170854,,,"Jake Arrieta",4153,453562
"David Hernandez","CIN",42.2,93.63611291956019,,85.90287205430327,,,93.3957853618421,,81.992,,,88,,,"David Hernandez",4259,456696
"Mark Melancon","- - -",67.1,92.1513900756836,,91.79450794740973,83.37857273646763,,,,,82.06646820713746,,,,,"Mark Melancon",4264,453343
"Matt Albers","MIL",59.2,93.17059206495098,,,,,92.66566355954936,83.40120002815316,,,,83.65961162860577,,,"Matt Albers",4300,458006
"Justin Wilson","NYM",39,94.99283316115702,,90.07601331872694,,,,83.76140179550438,,,,,,,"Justin Wilson",4301,458677
"Tyler Chatwood","CHC",76.2,96.08599508599508,,90.18778886867844,,,95.65443555843196,,81.44315202268835,,,87.73297768450797,,,"Tyler Chatwood",4338,543022
"Jeremy Hellickson","WSN",39,88.58823529411765,,85.65999828836192,,,88.71147084663419,,,73.66333346896701,,79.79482997148887,,,"Jeremy Hellickson",4371,476451
"Jordan Zimmermann","DET",112,90.45716510903426,,,,,90.26077586206897,85.82665269524618,80.23736371050825,,,87.10513070913461,,,"Jordan Zimmermann",4505,519455
"Charlie Morton","TBR",194.2,94.71688034188034,,85.4155975248471,84.87745098039215,,93.8910149750416,,78.61416115614334,,,,,,"Charlie Morton",4676,450203
"Félix Hernández","SEA",71.2,89.92747682005495,,,,,89.44117647058823,83.7908274799312,79.33060747663552,,,84.6588773001269,,,"Felix Hernandez",4772,433587
"Matt Shoemaker","TOR",28.2,90.29583062065973,,,84.3448486328125,,90.47856987847223,81.71216480152027,,76.44000244140625,,,,,"Matt Shoemaker",4776,533167
"Rich Hill","LAD",58.2,90.3217549276447,,84.83333333333333,,,88.08571079799107,72.86666757089121,74.5201999307266,66.24285888671875,,82.0999984741211,,,"Rich Hill",4806,448179
"Mike Montgomery","- - -",91,91.58709407402074,,87.67873143438084,,,92.28436018957346,,77.718864029753,,,84.32335036957335,,,"Mike Montgomery",4869,543557
"Jon Lester","CHC",171.2,90.56102269431554,,87.86644381009616,,,89.52329844255664,,74.54273504273505,,,84.3400541695442,,,"Jon Lester",4930,452657
