Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,NameASCII,PlayerId,MLBAMID
"Marco Estrada","OAK",23.2,47.46282620166438,92.56479621254725,51.27524678883339,183.82665949693848,45.65382925602123,89.03678926899026,96.07295884812429,97.1972378117005,69.76780459763503,86.30489186860737,153.93444917271393,167.97503433225634,180.6978763816284,68.24005019258057,45.56030612655585,181.53774440136607,"Marco Estrada",1118,462136
"Cody Allen","LAA",23,128.75622321114304,238.1196192253718,54.07207843186067,243.199280680159,109.98422598573168,203.4030101510146,99.20577272360659,141.9561548648562,86.83385162744446,124.1617723688419,134.69929216911345,178.63599703144968,152.93698725242834,71.51419389695343,46.55262325243055,178.48711009826474,"Cody Allen",12183,592102
"Colin Poche","TBR",51.2,142.30498761036316,100.70155547535573,141.31359879773794,108.26290599856345,153.02153138542613,108.28508010755633,71.55826229243755,74.683091724729,79.00177873555731,94.08010737108171,107.41316414570265,93.50903865167167,97.02455601936802,90.93456224053588,43.36588766233261,170.90892911086422,"Colin Poche",19403,621363
"Heath Hembree","BOS",39.2,118.42137018905731,124.26239153463325,95.29944855650847,109.67807907572013,116.97744233377396,122.7472492163137,88.76305980533222,97.27627083649628,91.57024353439596,107.81746826384466,79.76986509736986,105.5468223381659,124.18319703739172,84.6026409832525,51.28220785232822,165.40797554197155,"Heath Hembree",11632,592390
"Lucas Sims","CIN",43,133.48357404679135,120.42648320143883,110.84236734272326,123.0458780294209,138.87208265112903,125.28790385936321,80.59729115497188,88.04148448646238,85.78887510510947,101.08473692757276,99.87189271759826,96.53999447257146,103.12065895128775,85.56430303771488,56.97226684500959,162.54189175523973,"Lucas Sims",13470,608371
"Yimi García","LAD",62.1,106.62155440060761,61.21312368574198,174.18086298713817,159.15359208624545,115.22861478901305,66.15457529050867,71.46896359343819,65.59325993056613,58.12081324125194,112.80019878964937,84.83602949100623,117.00765837245474,110.55845959929718,66.69949697397128,68.06513758604271,160.46016591280906,"Yimi Garcia",12095,554340
"Sean Doolittle","WSN",60,110.76793289285574,68.13602707828782,162.56880546451498,121.2514421226776,109.46718398487727,67.3359073047559,105.15202143516045,98.43036597550758,106.32607569339389,112.78928545500979,90.90167816508335,94.6249305302166,114.67200270659754,87.44934032498276,58.22740310424239,159.80738345703898,"Sean Doolittle",1581,448281
"Josh Hader","MIL",75.2,183.65208070318008,72.03809082762386,254.93744493298937,131.1088891130292,205.91813831395882,80.77202328165241,62.75109850604992,61.03950221853103,78.79521680849727,128.1019302691815,58.958018092687894,69.2753936558136,52.73475573035664,105.28975683693827,50.76662615481039,158.00421548111817,"Josh Hader",14212,623352
"Neil Ramírez","- - -",25,98.03234361707713,164.30256942126698,59.66574171791523,174.02263045588245,94.27219367063164,158.00055253855365,106.36495219850603,121.69516385118287,96.65747928630687,111.56935818332884,117.01281927813042,147.16822216230108,140.286851385824,90.51933589229647,55.0390342339225,157.61907268166132,"Neil Ramirez",7677,519166
"Tyler Bashlor","NYM",22,91.54376629857667,210.6023117701598,43.46759503529443,180.37408574921113,83.7348275659621,192.6373544436872,99.03853181683716,130.78163386639093,84.85638733222783,97.53311107119215,169.83640479544843,168.6709492558846,155.6063977129992,56.750341222324785,77.93513950055686,154.3579643237592,"Tyler Bashlor",15203,641341
