Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Cody Allen","LAA",0.25862068965517243,0.302325581,0.151515151,0.196969696,0.651515151,0.116279069,0.209302325,5,1.9565225503849155,208,283,491,0.28787879,0.43939394,0.27272727,0.13636364,0.31818182,0.54545455,"Cody Allen",12183,592102
"Pete Fairbanks","- - -",0.35714285714285715,1.444444444,0.266666666,0.433333333,0.3,0.055555555,0.277777777,9,3.857142506813548,139,248,387,0.44262295,0.31147541,0.24590164,0.18032787,0.29508197,0.52459016,"Pete Fairbanks",17998,664126
"Zack Littell","MIN",0.297029702970297,1.142857142,0.278846153,0.384615384,0.336538461,0.257142857,0.114285714,24,5.837837235957251,184,367,551,0.42857143,0.26666667,0.3047619,0.16190476,0.33333333,0.5047619,"Zack Littell",15823,641793
"Yoan López","ARI",0.23295454545454544,1.472727272,0.264864864,0.437837837,0.297297297,0.109090909,0.2,30,4.450550756511282,317,548,865,0.38502674,0.40641711,0.20855615,0.10695187,0.39037433,0.5026738,"Yoan Lopez",17181,661255
"Craig Kimbrel","CHC",0.27906976744186046,0.6,0.2,0.3,0.5,0,0.36,0,0,151,241,392,0.25,0.48076923,0.26923077,0.07692308,0.42307692,0.5,"Craig Kimbrel",6655,518886
"Eric Skoglund","KCR",0.3048780487804878,0.81081081,0.229885057,0.344827586,0.425287356,0.135135135,0.135135135,7,3,155,240,395,0.45977011,0.32183908,0.2183908,0.13793103,0.36781609,0.49425287,"Eric Skoglund",16155,607215
"Nick Wittgren","CLE",0.2534246575342466,0.983333333,0.232258064,0.380645161,0.387096774,0.1,0.166666666,46,7.179194392418636,337,638,975,0.25641026,0.43589744,0.30769231,0.11538462,0.39102564,0.49358974,"Nick Wittgren",15594,621295
"Jake McGee","COL",0.3,0.779661016,0.186046511,0.356589147,0.457364341,0.06779661,0.186440677,26,5.6612920642028515,233,414,647,0.41984733,0.29007634,0.29007634,0.13740458,0.3740458,0.48854962,"Jake McGee",7550,459429
"Stefan Crichton","ARI",0.2597402597402597,1.68,0.1625,0.525,0.3125,0.04,0.12,13,3.857144959120047,165,302,467,0.3875,0.3,0.3125,0.2125,0.3,0.4875,"Stefan Crichton",16058,592233
"Jake Jewell","LAA",0.2777777777777778,3,0.15,0.6375,0.2125,0.058823529,0.470588235,9,3.075948847236104,139,273,412,0.5625,0.325,0.1125,0.1125,0.4,0.4875,"Jake Jewell",16958,657228
"Brad Wieck","- - -",0.26666666666666666,0.634146341,0.192771084,0.313253012,0.493975903,0.073170731,0.195121951,18,4.673077265891828,233,400,633,0.39759036,0.3373494,0.26506024,0.10843373,0.40963855,0.48192771,"Brad Wieck",16390,623364
"Tanner Anderson","OAK",0.34210526315789475,2,0.202531645,0.531645569,0.265822784,0.19047619,0.19047619,7,2.820894719338853,163,259,422,0.3164557,0.39240506,0.29113924,0.18987342,0.32911392,0.48101266,"Tanner Anderson",18029,664196
"Edwin Díaz","NYM",0.37719298245614036,0.839285714,0.1953125,0.3671875,0.4375,0.053571428,0.267857142,11,1.7068967762515332,370,703,1073,0.43410853,0.29457364,0.27131783,0.1627907,0.35658915,0.48062016,"Edwin Diaz",14710,621242
"Jordan Yamamoto","MIA",0.225130890052356,0.827586206,0.212871287,0.356435643,0.430693069,0.068965517,0.126436781,35,4.004237029238101,518,859,1377,0.44059406,0.32178218,0.23762376,0.18316832,0.33663366,0.48019802,"Jordan Yamamoto",17585,657141
"Jesse Biddle","- - -",0.3894736842105263,1.571428571,0.25,0.458333333,0.291666666,0.035714285,0.178571428,16,5.1428576683512075,261,356,617,0.48,0.35,0.17,0.11,0.41,0.48,"Jesse Biddle",11437,592145
"Adrian Sampson","TEX",0.327319587628866,0.994011976,0.1937046,0.401937046,0.404358353,0.107784431,0.173652694,63,4.523936766879893,730,1326,2056,0.42925659,0.34532374,0.22541966,0.1558753,0.36450839,0.47961631,"Adrian Sampson",13339,592716
"Adalberto Mejía","- - -",0.32222222222222224,0.595238095,0.279569892,0.268817204,0.451612903,0.095238095,0.095238095,10,2.8723420283014374,248,381,629,0.42553191,0.31914894,0.25531915,0.13829787,0.38297872,0.4787234,"Adalberto Mejia",13188,606167
"Ty Buttrey","LAA",0.32275132275132273,1.343283582,0.203045685,0.456852791,0.340101522,0.119402985,0.119402985,51,6.345623235328645,431,794,1225,0.35025381,0.27918782,0.37055838,0.1319797,0.39086294,0.47715736,"Ty Buttrey",14719,621142
"José Suarez","LAA",0.32489451476793246,0.825688073,0.219607843,0.352941176,0.42745098,0.137614678,0.211009174,52,5.777777777777778,567,919,1486,0.45384615,0.28461538,0.26153846,0.15384615,0.36923077,0.47692308,"Jose Suarez",19911,660761
"Andrew Heaney","LAA",0.31196581196581197,0.770642201,0.228,0.336,0.436,0.091743119,0.183486238,59,5.569930367099275,597,1092,1689,0.38188976,0.33858268,0.27952756,0.1496063,0.37401575,0.47637795,"Andrew Heaney",15423,571760
