Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
"CC Sabathia","NYY",107.1,4.34387241710316,,0.7652628126223225,,,8.25304474369172,-5.456223345350945,,,,5.65954824194524,,,"CC Sabathia",404,282332
"Fernando Rodney","- - -",47.2,-3.6951444799249824,,,,,-8.143152430986353,0.5066244261605399,-7.542483806610107,,,-8.900494903688006,,,"Fernando Rodney",494,407845
"Marco Estrada","OAK",23.2,-2.5152615792410713,,1.6878251295823317,,,,,3.6150313786097934,,,-7.046377418154762,,,"Marco Estrada",1118,462136
"Adam Ottavino","NYY",66.1,-5.887171869692595,,0.6510944607891614,,,-12.211491880458516,12.533202182372104,,,,,,,"Adam Ottavino",1247,493603
"Oliver Pérez","CLE",40.2,7.068716684977214,,,,,10.99664955950798,-4.18851535119743,,,,,,,"Oliver Perez",1514,424144
"Sean Doolittle","WSN",60,2.7605065544152585,,,8.297372671274038,,,-3.9287512994581655,,,,,,,"Sean Doolittle",1581,448281
"Edwin Jackson","- - -",67.2,-3.6839187223147722,,-0.4140704767571555,,,-7.798119633575606,1.2034047089314532,2.9159747229682074,,,-9.473137441307607,,,"Edwin Jackson",1841,429719
"Zack Greinke","- - -",208.2,-1.4517534391147884,,2.5162482261657715,-5.316408838544573,,-7.766132846200393,3.4345892713160695,6.510642469974986,,6.551751817975726,-7.207171935140213,,,"Zack Greinke",1943,425844
"Iván Nova","CHW",187,-7.753129438920454,,-2.9040133971387467,,,-10.249207041893733,,0.8453842041984437,,,-9.994969992528587,,,"Ivan Nova",1994,467100
"Clayton Kershaw","LAD",178.1,-0.25455007553100584,,,,,,-2.1927105143340397,-1.5949947325332228,,,6.414918899536133,,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",171.2,-2.080615008318866,,2.5433412109375,,,-7.901800283887697,,9.94069931402439,,,-8.443949381510416,,,"Adam Wainwright",2233,425794
"Héctor Rondón","HOU",60.2,-5.021515409241411,,,,,-9.700518939511996,2.6016260119451995,,,,-9.860572282658067,,,"Hector Rondon",2391,444468
"Corey Kluber","CLE",35.2,-5.49779848509197,,1.2437117409571417,,,-9.534566118673313,,9.295467703683036,,,-8.896146334134615,,,"Corey Kluber",2429,446372
"Lance Lynn","TEX",208.1,-4.433872317343918,,0.7621082046125952,,,-8.092248742055085,,3.425521057315558,,,-7.783516079771752,,,"Lance Lynn",2520,458681
"Jhoulys Chacín","- - -",103.1,-4.386665325240785,,,,,-9.057367758743112,6.56676122657491,7.16796250776811,,,-5.537366089997469,,,"Jhoulys Chacin",2608,468504
"Rick Porcello","BOS",174.1,-6.2125512931323845,,,,,-11.07404717428996,1.4271574764632486,7.647814022597446,,,-8.346122851002866,,,"Rick Porcello",2717,519144
"Ross Detwiler","CHW",69.2,6.608892547040782,,1.1869020946955278,,,9.711998285685043,-0.1810466538776051,-2.4320736166871626,,,6.576577839098479,,,"Ross Detwiler",2859,446321
"Luis Avilán","NYM",32,,,,,,8.941557975812147,,-5.131811272608091,,,8.0522265625,,,"Luis Avilan",2882,501593
"Kenley Jansen","LAD",63,,,3.4913344181241976,,,-5.237850540918662,3.081982753073522,,,,,,,"Kenley Jansen",3096,445276
"Tony Watson","SFG",54,7.818702697753906,,,,,10.358679819915254,0.1022845958841258,,,,12.259859343497984,,,"Tony Watson",3132,453265
