Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Jay Jackson","MIL",30.1,0.31186441,0.67510549,0.47368421,0.40217391,0.75,0.62301587,0.44548872,29.71025641,"Jay Jackson",7432,543351
"Hunter Strickland","- - -",24.1,0.28494624,0.72131148,0.50135501,0.62264151,0.84848485,0.78378378,0.49593496,29.31835206,"Hunter Strickland",7836,519326
"Justin Anderson","LAA",47,0.27878788,0.680798,0.45870536,0.47101449,0.86813187,0.73479319,0.44754464,29.23308271,"Justin Anderson",16201,605121
"Emilio Pagán","TBR",70,0.3752495,0.69860627,0.54790698,0.50531915,0.75810474,0.67741935,0.53395349,29.17113665,"Emilio Pagan",14771,641941
"José Alvarado","TBR",30,0.24770642,0.60852713,0.40683761,0.48148148,0.81528662,0.70168067,0.44102564,29.06823529,"Jose Alvarado",17780,621237
"Greg Holland","ARI",35.2,0.30678466,0.57915058,0.42474916,0.49038462,0.88,0.72047244,0.43311037,28.75510204,"Greg Holland",7196,518813
"Carson Fulmer","CHW",27.1,0.27142857,0.68478261,0.47661871,0.53947368,0.86772487,0.77358491,0.49640288,28.57932692,"Carson Fulmer",18311,608334
"Josh Hader","MIL",75.2,0.37681159,0.7802385,0.58472344,0.5,0.66157205,0.61111111,0.51536435,28.3992891,"Josh Hader",14212,623352
"Brad Hand","CLE",57.1,0.32134831,0.61077844,0.47463002,0.4965035,0.82026144,0.71714922,0.52959831,28.27977044,"Brad Hand",9111,543272
"Cory Gearrin","- - -",55.1,0.25586354,0.63824885,0.43964563,0.66666667,0.87725632,0.81360202,0.48062016,28.1326053,"Cory Gearrin",7947,518715
"Kenley Jansen","LAD",63,0.36627907,0.68855535,0.5300286,0.57671958,0.76566757,0.70143885,0.50810296,28.1254902,"Kenley Jansen",3096,445276
"Alex Colomé","CHW",61,0.3125,0.71364653,0.49641026,0.4969697,0.85893417,0.73553719,0.45846154,28.11904762,"Alex Colome",6661,517008
"Joe Kelly","LAD",51.1,0.27529412,0.54824561,0.41657208,0.56410256,0.852,0.76021798,0.51759364,28.109375,"Joe Kelly",9761,523260
"Luis García","LAA",62,0.29830508,0.63815789,0.44646272,0.48295455,0.86941581,0.72376874,0.43594646,28.0577957,"Luis Garcia",6984,472610
"Kirby Yates","SDP",60.2,0.32706767,0.67280164,0.49265426,0.53448276,0.75987842,0.68190855,0.47894221,28.01319261,"Kirby Yates",9073,489446
"Jerry Blevins","ATL",32.1,0.28239203,0.61478599,0.43548387,0.58823529,0.82911392,0.74485597,0.46057348,27.86057692,"Jerry Blevins",7841,460283
"Pedro Báez","LAD",69.2,0.33895447,0.72379032,0.51423324,0.62189055,0.75766017,0.70892857,0.45546373,27.80199253,"Pedro Baez",5420,520980
"Cam Bedrosian","LAA",61.1,0.29343629,0.59072581,0.43885602,0.46052632,0.85324232,0.71910112,0.48915187,27.64228723,"Cam Bedrosian",13360,592135
"Sam Dyson","- - -",62.1,0.25587467,0.6875,0.49232586,0.68367347,0.86833856,0.82494005,0.54781582,27.57606838,"Sam Dyson",11710,473879
"Victor Alcántara","DET",42.2,0.35519126,0.69781931,0.51528384,0.63076923,0.90178571,0.80225989,0.46724891,27.5755102,"Victor Alcantara",15028,622505
"Matt Barnes","BOS",64.1,0.33464052,0.59266055,0.44198473,0.453125,0.82972136,0.66321244,0.41603053,27.546476,"Matt Barnes",12863,598264
"Yu Darvish","CHC",178.2,0.31127273,0.6293279,0.47577247,0.48831776,0.82200647,0.71660517,0.51720506,27.46644133,"Yu Darvish",13074,506433
"Matt Andriese","ARI",70.2,0.28719723,0.63897764,0.47009967,0.6686747,0.835,0.78621908,0.51993355,27.45549133,"Matt Andriese",12022,542882
"Aroldis Chapman","NYY",57,0.30252101,0.62768031,0.47118301,0.52083333,0.78881988,0.70600858,0.51870576,27.43273232,"Aroldis Chapman",10233,547973
"David Price","BOS",107.1,0.26410835,0.66769231,0.47555078,0.57692308,0.83102919,0.76384181,0.52391188,27.42116788,"David Price",3184,456034
"Craig Kimbrel","CHC",20.2,0.29223744,0.71518987,0.46949602,0.46875,0.79646018,0.6779661,0.41909814,27.4204947,"Craig Kimbrel",6655,518886
"Daniel Hudson","- - -",73,0.28109029,0.69206349,0.4938373,0.63030303,0.86238532,0.79866889,0.51766639,27.41528239,"Daniel Hudson",7146,543339
"Ken Giles","TOR",53,0.34976526,0.6796875,0.50617284,0.38926174,0.76628352,0.62926829,0.47407407,27.38747885,"Ken Giles",12910,571704
"Heath Hembree","BOS",39.2,0.28301887,0.69740634,0.48328691,0.61904762,0.82231405,0.76080692,0.48328691,27.26078799,"Heath Hembree",11632,592390
"Jacob Barnes","- - -",32.2,0.24533333,0.63508772,0.41363636,0.56521739,0.8839779,0.77655678,0.43181818,27.20366599,"Jacob Barnes",12323,606930
"Blake Parker","- - -",61.1,0.25740741,0.63958333,0.4372549,0.52517986,0.84364821,0.74439462,0.47058824,27.02546917,"Blake Parker",5224,453284
"Junior Guerra","MIL",83.2,0.24128312,0.71698113,0.46489283,0.59537572,0.82894737,0.76470588,0.47006652,26.91658391,"Junior Guerra",5702,448855
"Ryan Brasier","BOS",55.2,0.35452794,0.72331155,0.52760736,0.50543478,0.8253012,0.71124031,0.46932515,26.89586305,"Ryan Brasier",5615,518489
"Chris Martin","- - -",55.2,0.34042553,0.70020534,0.54345307,0.6015625,0.83870968,0.77398721,0.56431054,26.89563863,"Chris Martin",11847,455119
"Blake Treinen","OAK",58.2,0.33458647,0.67094017,0.492,0.56741573,0.85350318,0.75,0.468,26.87620358,"Blake Treinen",12572,595014
"Nick Anderson","- - -",65,0.37451737,0.68439108,0.53860127,0.45360825,0.72932331,0.6391231,0.52951862,26.75457875,"Nick Anderson",18337,623433
"Evan Phillips","BAL",28,0.24080268,0.64179104,0.4303351,0.54166667,0.8255814,0.74180328,0.47266314,26.66746988,"Evan Phillips",17734,623465
"Brandon Brennan","SEA",47.1,0.31139241,0.66772152,0.4697609,0.46341463,0.78199052,0.66467066,0.44444444,26.59375,"Brandon Brennan",13527,592165
"Jeurys Familia","NYM",60,0.27472527,0.57171717,0.41594621,0.56,0.83745583,0.74133949,0.47550432,26.57180851,"Jeurys Familia",5114,544727
"Felipe Vázquez","PIT",60,0.25064599,0.67250438,0.50208768,0.48453608,0.7734375,0.71517672,0.5960334,26.48603352,"Felipe Vazquez",12076,553878
"Ian Kennedy","KCR",63.1,0.25458248,0.66446281,0.48083942,0.6,0.85074627,0.79127135,0.5520073,26.48229548,"Ian Kennedy",6986,453178
"Mike Shawaryn","BOS",20.1,0.28985507,0.70810811,0.45770065,0.4,0.81679389,0.65876777,0.40130152,26.45723684,"Mike Shawaryn",19495,642067
"A.J. Minter","ATL",29.1,0.29508197,0.71378092,0.49659864,0.47777778,0.82673267,0.71917808,0.48129252,26.44671202,"A.J. Minter",18655,621345
"Hansel Robles","LAA",72.2,0.27052239,0.70743802,0.50219106,0.57241379,0.81074766,0.7504363,0.53023663,26.41606715,"Hansel Robles",11801,570663
"José Quijada","MIA",29.2,0.25438596,0.66229508,0.44667697,0.50574713,0.75742574,0.6816609,0.47140649,26.40755467,"Jose Quijada",19200,650671
"Marcus Walden","BOS",78,0.32951289,0.67192982,0.48343849,0.4826087,0.87467363,0.72756933,0.44952681,26.36958935,"Marcus Walden",8004,519393
"Matt Albers","MIL",59.2,0.27192982,0.59770115,0.41293532,0.59354839,0.88076923,0.77349398,0.43283582,26.36092266,"Matt Albers",4300,458006
"Clay Holmes","PIT",50,0.20258621,0.56968215,0.37457045,0.44680851,0.89699571,0.7675841,0.46849943,26.32550861,"Clay Holmes",13649,605280
"Craig Stammen","SDP",82,0.29154079,0.63435374,0.4528,0.59585492,0.90080429,0.79681979,0.4704,26.24581006,"Craig Stammen",7274,489334
"David Phelps","- - -",34.1,0.24691358,0.58990536,0.41653666,0.6375,0.88235294,0.80898876,0.49453978,26.2173913,"David Phelps",6316,475479
"Connor Sadzeck","SEA",23.2,0.1928934,0.65638767,0.44103774,0.60526316,0.81879195,0.77540107,0.53537736,26.20382166,"Connor Sadzeck",13483,592712
"Kyle Barraclough","- - -",33.2,0.25935829,0.66766467,0.4519774,0.51546392,0.80269058,0.715625,0.47175141,26.18333333,"Kyle Barraclough",13713,607457
"Mark Melancon","- - -",67.1,0.30810811,0.6042885,0.45037453,0.57894737,0.88064516,0.77338877,0.48033708,26.17477004,"Mark Melancon",4264,453343
"Ryne Harper","MIN",54.1,0.30666667,0.62761506,0.48651817,0.52173913,0.85666667,0.76385542,0.56037515,26.16746411,"Ryne Harper",12680,607560
"Juan Nicasio","PHI",47.1,0.2630273,0.69158879,0.48375451,0.68867925,0.85472973,0.81094527,0.51504212,26.13043478,"Juan Nicasio",7731,504379
"Tayron Guerrero","MIA",46,0.30021142,0.72599532,0.50222222,0.57746479,0.80967742,0.73672566,0.47444444,26.125,"Tayron Guerrero",11691,594027
