Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,NameASCII,PlayerId,MLBAMID
"CC Sabathia","NYY",107.1,1.8239151347767224,,-0.749945792449079,,,-0.47737172534388883,-0.8396340626866425,,,,0.12735294716618073,,,"CC Sabathia",404,282332
"Fernando Rodney","- - -",47.2,-2.028213915499774,,,,,0.06690403959591394,-1.7502940126827786,-3.8910727947950363,,,2.1033528362691163,,,"Fernando Rodney",494,407845
"Marco Estrada","OAK",23.2,-0.07159410204206194,,-0.34730808857159734,,,,,-13.875624111720494,,,0.9208359604790097,,,"Marco Estrada",1118,462136
"Adam Ottavino","NYY",66.1,0.8560275254042251,,-1.9898485533798798,,,1.3079928518903308,2.089042921324034,,,,,,,"Adam Ottavino",1247,493603
"Oliver Pérez","CLE",40.2,-5.816781520843506,,,,,2.006845880062022,0.5597901121478215,,,,,,,"Oliver Perez",1514,424144
"Sean Doolittle","WSN",60,0.2143096521008984,,,-2.7234779871427093,,,1.8074385581477996,,,,,,,"Sean Doolittle",1581,448281
"Edwin Jackson","- - -",67.2,-2.2022997631746177,,-3.6819602052370706,,,-4.557122355276118,-1.1307655189332644,-2.0956514092783136,,,-2.1058830347928135,,,"Edwin Jackson",1841,429719
"Zack Greinke","- - -",208.2,1.4127178267231137,,5.446921288967133,-3.0413744172879627,,-3.1537979475559634,-0.45481679255594476,3.7127124635796793,,5.170291289687157,2.8617005893561847,,,"Zack Greinke",1943,425844
"Iván Nova","CHW",187,-0.26986436410383746,,-0.8736951881662354,,,-0.2039752149451981,,-1.1106895075904,,,0.06019227717869495,,,"Ivan Nova",1994,467100
"Clayton Kershaw","LAD",178.1,1.199841673395275,,,,,,1.4192939604489987,0.40220721111793606,,,-2.0220059901475906,,,"Clayton Kershaw",2036,477132
"Adam Wainwright","STL",171.2,0.13049172345923368,,-0.5253464889526367,,,-1.1409042560320897,,0.7906629050650248,,,-3.793777499282569,,,"Adam Wainwright",2233,425794
"Héctor Rondón","HOU",60.2,0.17174049101887653,,,,,0.20951083365907058,0.1252098273539889,,,,-3.788889008899068,,,"Hector Rondon",2391,444468
"Corey Kluber","CLE",35.2,-1.8728195866451987,,-0.2863864103953043,,,-4.030041021803405,,1.4862520354134696,,,-0.29829018391095674,,,"Corey Kluber",2429,446372
"Lance Lynn","TEX",208.1,1.3352115906221618,,1.072350368704847,,,-0.6846882933277194,,-0.3803104071077586,,,-2.6899024551989985,,,"Lance Lynn",2520,458681
"Jhoulys Chacín","- - -",103.1,-4.461995497405292,,,,,-2.532898804169825,0.7962526606697264,5.5218697948889295,,,-0.0719311750597424,,,"Jhoulys Chacin",2608,468504
"Rick Porcello","BOS",174.1,-0.0720054711486292,,,,,0.7858043302790493,-1.2489639046836893,-0.7201224245050902,,,-2.1104240144221356,,,"Rick Porcello",2717,519144
