Name,Team,IP,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,ERA,xERA,NameASCII,PlayerId,MLBAMID
"Mason Miller","OAK",65,123,86.11382113821138,102.2,109.8,17.91869918699187,7,0.05691057,40,0.32520325,2.492307984843091,1.7763250263281847,"Mason Miller",31757,695243
"Kirby Yates","TEX",61.2,122,87.55289579028926,103.5,106.5,15.214876033057852,5,0.04098361,40,0.32786885,1.16756768794371,1.8576134852330684,"Kirby Yates",9073,489446
"Kris Bubic","KCR",30.1,77,83.43698496361301,101.8,110.3,3,2,0.02597403,22,0.28571429,2.6703299501785813,1.8650076644290685,"Kris Bubic",21455,663460
"Edwin Uceta","TBR",41.2,93,87.3109868646978,102.1,111.8,20.681318681318682,3,0.03225806,29,0.31182796,1.5120002307129259,1.9353554360857144,"Edwin Uceta",20539,670955
"Drew Rasmussen","TBR",28.2,75,86.23866861979167,102.4,109,6.546666666666667,0,0,27,0.36,2.8255816460171763,2.0620132099616617,"Drew Rasmussen",25385,656876
"Devin Williams","MIL",21.2,37,84.17567567567568,101.1,104.9,14.72972972972973,2,0.05405405,12,0.32432432,1.2461538827207677,2.101044831657164,"Devin Williams",15816,642207
"Sean Guenther","DET",21,57,88.6175472861842,102.3,109.7,3.3684210526315788,1,0.01754386,18,0.31578947,0.8571430906958146,2.2334509897318844,"Sean Guenther",20045,674944
"Brant Hurter","DET",45.1,131,88.47031116485596,104.5,112.1,10.1953125,6,0.04580153,48,0.36641221,2.580882425332979,2.2810669587716284,"Brant Hurter",30133,676428
"Raisel Iglesias","ATL",69.1,175,85.95029239766082,102.3,115.1,14.175438596491228,7,0.04,54,0.30857143,1.9471155274549283,2.2856490516174386,"Raisel Iglesias",17130,628452
"Dedniel Núñez","NYM",35,79,88.65769606370192,106.6,113.1,10.076923076923077,8,0.10126582,30,0.37974684,2.314286218760075,2.354676524560921,"Dedniel Nunez",23055,673380
"Griffin Jax","MIN",71,164,88.25093410326087,103.9,111.3,6.217391304347826,13,0.07926829,63,0.38414634,2.0281692320239895,2.380353069292193,"Griffin Jax",20253,643377
"Eduard Bazardo","SEA",27.2,66,87.35538611778846,101.4,108.7,10.476923076923077,3,0.04545455,22,0.33333333,4.8795185208165295,2.3818942732208837,"Eduard Bazardo",20997,660825
"Tony Santillan","CIN",30,67,90.2,104.7,112.3,19.692307692307693,4,0.05970149,27,0.40298507,3.000000572204699,2.409090045300169,"Tony Santillan",19926,663574
