Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Matt Waldron","SDP",146.2,90.62430275537635,,87.0350729413507,,,90.01586637415899,79.2860064722383,,,,,,77.58919958430816,"Matt Waldron",25550,663362
"George Kirby","SEA",191,96.0086426266137,,92.28182151100852,86.00298142591059,,96.04693072396576,87.20812188390313,,83.36460744598766,,,,73.9000015258789,"George Kirby",25436,669923
"Adam Ottavino","NYM",56,93.18125406901042,,87.90186915887851,,,92.14926885932945,79.15380739404176,,,,87.16,,,"Adam Ottavino",1247,493603
"Matt Moore","LAA",48.1,92.72511370305165,,88.18332926432292,,,,,,82.07399739583333,,82.76977903451493,,,"Matt Moore",1890,519043
"Clayton Kershaw","LAD",30,89.92712195444915,,,82.9090909090909,,90.23333740234375,85.97045454545454,72.09756097560975,,,84.15454656427556,,,"Clayton Kershaw",2036,477132
"Lance Lynn","STL",117.1,92.25981632917964,,88.13083356277534,,,91.16715542521995,81.95384803185097,80.37795275590551,,,84.7796859741211,,,"Lance Lynn",2520,458681
"Kenley Jansen","BOS",54.2,,,92.23617876838236,,,93.22711698887711,82.15484028477823,,,,,,,"Kenley Jansen",3096,445276
"Max Scherzer","TEX",43.1,92.49489795918367,,86.59756097560975,,,,84.9986473289696,74.7247301327285,,,82.83010962701613,,,"Max Scherzer",3137,453286
"T.J. McFarland","OAK",56.2,88.52000122070312,,82.19999694824219,,,88.02906596366995,78.23052959501558,,,,81.37669713288835,,,"T.J. McFarland",3237,519008
"Justin Wilson","CIN",46.2,95.48886138613861,,92.3403021364796,86.85555691189236,,,88.39082314311594,,,,,,,"Justin Wilson",4301,458677
"Charlie Morton","ATL",165.1,94.12381746277916,,88.46301548230593,,,93.52717391304348,,81.51766562764159,,,84.95276872964169,,,"Charlie Morton",4676,450203
"Jake Diekman","NYM",32,94.55702718098958,,,,,93.5999984741211,82.76519337016575,,,,87.08360815829919,,,"Jake Diekman",5003,518617
