Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Yuki Matsui","SDP",62.2,0.31793961,0.70987654,0.49952336,0.45810056,0.82608696,0.70038168,0.46329838,22.14249685,"Yuki Matsui",33826,673513
"Génesis Cabrera","TOR",62.2,0.28731343,0.69635628,0.48349515,0.6038961,0.82267442,0.75502008,0.47961165,21.71770972,"Genesis Cabrera",17490,650893
"Sean Reid-Foley","NYM",21.2,0.23115578,0.66666667,0.44155844,0.45652174,0.83870968,0.73529412,0.48311688,21.4334471,"Sean Reid-Foley",17034,656887
"Steven Wilson","CHW",34.2,0.23355263,0.68025078,0.46227929,0.56338028,0.86175115,0.78819444,0.51203852,21.36989247,"Steven Wilson",20353,621051
"Yu Darvish","SDP",81.2,0.3221831,0.66763006,0.51190476,0.57377049,0.82900433,0.75658915,0.54920635,21.23408846,"Yu Darvish",13074,506433
"Jay Jackson","MIN",26.1,0.2464455,0.68699187,0.48358862,0.57692308,0.82248521,0.76470588,0.53829322,21.14454277,"Jay Jackson",7432,543351
"Andre Pallante","STL",121.1,0.24736842,0.66869301,0.46205472,0.56595745,0.90909091,0.81899441,0.50955085,21.13816689,"Andre Pallante",26108,669467
"Aaron Nola","PHI",199.1,0.33312921,0.63946015,0.48259643,0.58639706,0.87336683,0.77192982,0.48792725,21.08100085,"Aaron Nola",16149,605400
"Luke Weaver","NYY",84,0.3125,0.70900322,0.49199418,0.53617021,0.76643991,0.68639053,0.45269287,21.07795958,"Luke Weaver",16918,596133
"Kyle Finnegan","WSN",63.2,0.29102845,0.70491803,0.52764761,0.62406015,0.84418605,0.79218472,0.57169634,21.07329193,"Kyle Finnegan",15009,640448
"Emilio Pagán","CIN",38,0.33082707,0.7037037,0.53559322,0.60227273,0.78508772,0.73417722,0.54915254,21.06511628,"Emilio Pagan",14771,641941
"Jordan Montgomery","ARI",117,0.32802249,0.69257541,0.49092794,0.59428571,0.83752094,0.74762408,0.44686366,21.0329277,"Jordan Montgomery",16511,656756
"Adam Ottavino","NYM",56,0.21809745,0.59440559,0.43270189,0.53191489,0.82352941,0.76036866,0.57028913,20.9973545,"Adam Ottavino",1247,493603
"Kenley Jansen","BOS",54.2,0.25443787,0.6587473,0.48813983,0.53488372,0.82622951,0.76214834,0.57802747,20.9343696,"Kenley Jansen",3096,445276
"Jon Gray","TEX",102.2,0.30515192,0.69872538,0.51481481,0.54112554,0.86567164,0.77577938,0.53271605,20.71983122,"Jon Gray",14916,592351
"Joe Ross","MIL",74,0.28366248,0.6734375,0.49206349,0.48734177,0.84454756,0.74872666,0.53467001,20.69679634,"Joe Ross",12972,605452
"Chris Bassitt","TOR",171,0.24476534,0.62770013,0.44846232,0.64896755,0.85728745,0.80406933,0.53193647,20.6959707,"Chris Bassitt",12304,605135
"JP Sears","OAK",180.2,0.25796426,0.6724028,0.48564426,0.63554217,0.8521327,0.80028839,0.54936975,20.66044955,"JP Sears",23429,676664
"Matt Strahm","PHI",62.2,0.32524272,0.67662566,0.52905199,0.58208955,0.81558442,0.75529865,0.58002039,20.65817694,"Matt Strahm",13799,621381
"Jacob Latz","TEX",43.2,0.29166667,0.67801047,0.47297297,0.6031746,0.80694981,0.74025974,0.46928747,20.65654952,"Jacob Latz",21306,656641
"Tyler Kinley","COL",64,0.31948882,0.68872987,0.49367089,0.425,0.81558442,0.68205128,0.47172996,20.62095875,"Tyler Kinley",18297,641755
"Alex Vesia","LAD",66.1,0.26501767,0.68190128,0.46990117,0.56,0.79356568,0.72657744,0.49146451,20.606596,"Alex Vesia",25007,681911
"Sonny Gray","STL",166.1,0.31255195,0.64453125,0.48368909,0.44680851,0.84848485,0.72273106,0.51550544,20.59010011,"Sonny Gray",12768,543243
"Giovanny Gallegos","STL",20.2,0.29816514,0.66666667,0.46633416,0.49230769,0.87704918,0.74331551,0.4563591,20.58823529,"Giovanny Gallegos",14986,606149
"Tylor Megill","NYM",78,0.29753266,0.68195266,0.48791209,0.52682927,0.82646421,0.73423423,0.4952381,20.57729941,"Tylor Megill",21318,656731
"J.T. Ginn","OAK",34,0.244,0.69056604,0.47378641,0.42622951,0.84153005,0.73770492,0.51456311,20.55080214,"J.T. Ginn",27889,669372
"Reed Garrett","NYM",57.1,0.32971014,0.62149533,0.45714286,0.43406593,0.79323308,0.64732143,0.43673469,20.54807692,"Reed Garrett",16866,657585
"Cristian Javier","HOU",34.2,0.23529412,0.66287879,0.43333333,0.625,0.82285714,0.76518219,0.46315789,20.53827751,"Cristian Javier",17606,664299
