Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Justin Anderson","CHW",53.1,0.43498378295403023,,-1.4284350805812411,,,-0.19683898800480973,-0.004506375380726748,,,,,,,"Justin Anderson",16201,605121
"Spencer Turnbull","PHI",54.1,-0.4395300318081177,,,,,-1.592714754881057,1.9795665322214617,1.9992934494483763,,,1.3493327385917002,,,"Spencer Turnbull",16207,605513
"Kyle Freeland","COL",113.1,-1.505738263689606,,,,,-1.325848465141613,-1.1146805179652883,,0.06646094200489398,,-1.64496406050753,,,"Kyle Freeland",16256,607536
"Aaron Bummer","ATL",55.1,1.639714191869362,,-4.454360689435687,,,-0.22184682875564415,0.5813931950187214,-1.8228967081416736,,,-1.2499297207052058,,,"Aaron Bummer",16258,607481
"John Means","BAL",20.2,0.7808852195739746,,,,,,1.7154313422538137,,1.3738287346703666,,0.8918476628733206,,,"John Means",16269,607644
"Jesus Tinoco","- - -",40.2,-3.9985461387692425,,21.340011060237885,,,1.5719881653785703,2.6629864992656764,,,,3.6215748017032943,,,"Jesus Tinoco",16300,622786
"Reynaldo López","ATL",135.2,1.1852718013550592,,,,,,1.4483028746420337,1.6106019254590642,,,-3.580644689960244,,,"Reynaldo Lopez",16400,625643
"Yonny Chirinos","MIA",30,-6.1768183988683365,,,0.10097856192212355,,-6.795618892495149,0.8550744744675669,,,,,,,"Yonny Chirinos",16401,630023
"Victor González","NYY",23.1,,,,,,1.442358687117293,0.5732395432212136,,,,-0.08877316019037268,,,"Victor Gonzalez",16408,624647
"Scott Blewett","MIN",20.1,-0.743946387217595,,,2.3886513710021973,,,1.5034288167953491,,,,,,,"Scott Blewett",16427,656240
"Brent Honeywell","- - -",37.2,0.6635795886579312,,,,,5.265164044168261,2.768643473235654,,,,15.06328135728836,-2.1872617674212083,,"Brent Honeywell",16466,641703
"Ryan Yarbrough","- - -",98.2,1.111277188260131,,-4.290849367777507,,,2.0395638714773097,,1.5104463467231164,,,0.4173799271279193,,,"Ryan Yarbrough",16502,642232
"Jordan Montgomery","ARI",117,-0.022251234796946635,,,,,-2.1083479568737897,3.8424284580875843,-0.8251475845581363,,,-1.9242312888996849,,,"Jordan Montgomery",16511,656756
"Austin Gomber","COL",165,-1.2255864242524868,,,,,-42.95594096183777,-0.17189916811491315,,-0.07581289717768647,,-0.14688864516502861,,,"Austin Gomber",16561,596295
"Erik Swanson","TOR",39.1,0.9729288719795846,,,-3.0761149323102344,,,-1.6117511317133904,,,,,,,"Erik Swanson",16587,657024
"Bryan Abreu","HOU",78.1,-0.6014019695680533,,,,,,1.772853878961093,,,,-4.449690239770072,,,"Bryan Abreu",16609,650556
"Ryan Thompson","ARI",66.1,-0.6590352058410645,,,,,0.8834358983146497,0.3289790742425805,,,,,,,"Ryan Thompson",16647,657044
"Tim Hill","- - -",67,-0.9747655596584082,,,,,1.1472894703900374,-4.811140953325758,,,,0.7560716941952705,,,"Tim Hill",16814,657612
"Brennan Bernardino","BOS",51,,,-0.7356003392487764,,,0.16636897437274456,1.7125699119489701,-0.6240389599705374,,,,,,"Brennan Bernardino",16835,657514
"Reed Garrett","NYM",57.1,-3.8835216451574257,,0.8722380317490677,1.6721994357001513,,-0.8611308097839356,1.3683297083928034,,,,,,,"Reed Garrett",16866,657585
"Luke Weaver","NYY",84,0.9590057281402495,,1.10980010801746,,,,,,0.6848346222849453,,0.8912720392382364,,,"Luke Weaver",16918,596133
"Touki Toussaint","CHW",23,-3.52411897558915,,,-3.3335148633181393,,-2.220342992767086,3.9364367723464966,-0.3348406869918108,,,,,,"Touki Toussaint",16929,657053
"Grant Holmes","ATL",68.1,1.5403756296447433,,-3.7131556442805698,,,,0.7112858472047029,0.8562739770691673,,,-1.3214229606091976,,,"Grant Holmes",16944,656550
"Trevor Williams","WSN",66.2,2.461246865048273,,,,,1.0989775953366774,0.7775540597393583,,,,-0.3642933661711283,,,"Trevor Williams",16977,592866
"Tanner Banks","- - -",72.1,0.30713471082540655,,,,,0.5904577145672807,-0.07456205785274506,1.2699148995535714,,,-1.8761191492443843,,,"Tanner Banks",16990,621383
"Sean Reid-Foley","NYM",21.2,1.4106804799849462,,,,,-2.093029022216797,-0.008046867636342842,,,,1.121511349552556,,,"Sean Reid-Foley",17034,656887
"Pablo López","MIN",185.1,1.654710722519499,,,,,-2.774554082792099,-0.840187657830174,-1.284211914011296,,,-0.13957226614721233,,,"Pablo Lopez",17085,641154
"Raisel Iglesias","ATL",69.1,2.364630048925226,,,,,2.5747434340696285,1.6892693936824799,,,,3.459212989137884,,,"Raisel Iglesias",17130,628452
"Domingo Germán","PIT",20.2,-3.035497345380335,,,,,7.5362833216786385,,-0.8307289332151413,,,-0.9374250968297323,,,"Domingo German",17149,593334
"Gabe Speier","SEA",23.2,3.7269540384513182,,,,,-3.193460191999163,0.4124195076698481,,,,-2.914387732744217,,,"Gabe Speier",17170,642100
"Jalen Beeks","- - -",70,0.5363008168028631,,-0.5997302125415531,,,-0.44788941740989685,0.6105805436770122,0.8881379229327043,,,-1.1608541995385298,-2.4242933839559555,,"Jalen Beeks",17192,656222
"Ranger Suárez","PHI",150.2,0.6688113825513387,,-1.6761938730875652,,,0.8416027192644745,-4.6212270855903625,1.0157720395990535,,,-0.6258659685651462,,,"Ranger Suarez",17277,624133
"Michael Kopech","- - -",67.2,1.0422779881874544,,1.2738095472256343,,,,-2.2121712684631345,,,,,,,"Michael Kopech",17282,656629
"Framber Valdez","HOU",176.1,-4.638964335123698,,,,,1.4555099333305133,-0.19587267722402302,1.5903840059137284,,,0.618076166917574,,,"Framber Valdez",17295,664285
"Emmanuel Ramirez","MIA",20.2,-2.15883832989317,,,0.38726434220362754,,,0.014502679308255514,,,,,,,"Emmanuel Ramirez",17304,642629
"Justin Steele","CHC",134.2,0.3753282753704804,,,,,0.4320041302147261,1.8071358141146208,2.7608876878565005,,,0.3194094593845197,,,"Justin Steele",17312,657006
"Erick Fedde","- - -",177.1,-6.184403763877021,,0.42889992481125494,,,0.5946513545499773,1.281083182241659,,,,-0.5366933119447925,,,"Erick Fedde",17425,607200
"Jeff Hoffman","PHI",66.1,1.2011975583517949,,,-0.6029671927293142,,3.4562910475381994,1.2515579952913172,,,,,,,"Jeff Hoffman",17432,656546
"Jonathan Hernández","- - -",43.1,,,,,,-2.064642531646265,0.7323179880777995,,,,-0.03930176297823588,,,"Jonathan Hernandez",17464,642546
"Jack Flaherty","- - -",162,0.4955132802327474,,,,,-5.048938878511978,0.019107555256452382,,2.1886917522975375,,-0.5545902039323534,,,"Jack Flaherty",17479,656427
"Génesis Cabrera","TOR",62.2,-5.054452795731394,,1.4702025754952137,,,-1.9401420807016307,,1.4149422607114237,,,1.4769397204435324,,,"Genesis Cabrera",17490,650893
"Ryan Burr","TOR",32.2,-0.36345386505126953,,,,,,0.5996520450149757,,,,,,,"Ryan Burr",17536,621114
"Tanner Scott","- - -",72,1.7725939328507867,,,,,,0.9819982671838482,,,,-2.10469514131546,,,"Tanner Scott",17586,656945
