Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
"George Kirby","SEA",191,9.165172891323238,,5.1656362360174,1.0784190601070984,,6.88062045849679,-1.2451278816940439,,-7.790859897440844,,,,3.4521148204803467,"George Kirby",25436,669923
"Matt Waldron","SDP",146.2,8.1468015937395,,5.339806181559631,,,4.701853138866911,2.517463158187552,,,,,,-2.152071137861772,"Matt Waldron",25550,663362
"Adam Ottavino","NYM",56,8.28193219502767,,3.216864184798481,,,3.1765581581404883,0.1338453738050906,,,,1.2734053039550781,,,"Adam Ottavino",1247,493603
"Matt Moore","LAA",48.1,10.309578335900822,,5.789798736572266,,,,,,-5.542071533203125,,4.8074144961229015,,,"Matt Moore",1890,519043
"Clayton Kershaw","LAD",30,10.013318767655367,,,7.174819252707741,,11.658030192057291,4.313031005859375,-8.79574287228468,,,8.691835576837713,,,"Clayton Kershaw",2036,477132
"Lance Lynn","STL",117.1,7.490337304484683,,3.3052809122900606,,,5.08281307276393,-0.04727707459376408,-4.677926611712598,,,4.249773025512695,,,"Lance Lynn",2520,458681
"Kenley Jansen","BOS",54.2,,,10.403122127757353,,,11.469086210606461,-1.2008404885568926,,,,,,,"Kenley Jansen",3096,445276
"Max Scherzer","TEX",43.1,9.235044310693027,,3.7318911668730945,,,,2.431803522883235,-5.073544738113239,,,0.7263543733986475,,,"Max Scherzer",3137,453286
"T.J. McFarland","OAK",56.2,1.9466814041137694,,0.22363045811653137,,,-1.4952237735240919,-1.0192748453015479,,,,-1.6048342510334497,,,"T.J. McFarland",3237,519008
"Justin Wilson","CIN",46.2,10.425996383818068,,7.454889414261799,5.659346262613933,,,1.627934700049064,,,,,,,"Justin Wilson",4301,458677
"Charlie Morton","ATL",165.1,6.081167973596464,,3.3330228622645546,,,2.182608341825181,,-5.005021908680262,,,0.1942080643743956,,,"Charlie Morton",4676,450203
"Jake Diekman","NYM",32,6.568979899088542,,,,,3.9519166946411133,1.5676062146603074,,,,2.953460193071209,,,"Jake Diekman",5003,518617
"Jesse Chavez","ATL",63.1,,,7.092184843310272,,,4.342573172681273,-2.927552615894991,-4.782909236542166,,,1.3576542445591517,,,"Jesse Chavez",5448,445926
"Ryan Brasier","LAD",28,9.459745372425425,,6.415886773003472,,,7.087143319552062,0.9642219664175299,,,,,,,"Ryan Brasier",5615,518489
